GUID,Inicio,Fim,Contador
b73f-17,2020-10-11 16:47:48.011045,2020-10-11 16:50:48.011045,5
b73f-29,2020-10-11 16:47:48.010840,2020-10-11 16:50:48.010840,1
b73f-485,2020-10-11 16:48:14.741865,2020-10-11 16:51:14.741865,1
b73f-85,2020-10-11 16:47:44.440427,2020-10-11 16:50:44.440427,5
b73f-69,2020-10-11 16:48:41.071858,2020-10-11 16:51:41.071858,4
b73f-53,2020-10-11 16:48:41.068703,2020-10-11 16:51:41.068703,4
b73f-7,2020-10-11 16:48:40.868601,2020-10-11 16:51:40.868601,4
b73f-120,2020-10-11 16:48:41.062512,2020-10-11 16:51:41.062512,6
b73f-14,2020-10-11 16:48:40.812900,2020-10-11 16:51:40.812900,3
b73f-78,2020-10-11 16:48:41.071464,2020-10-11 16:51:41.071464,4
b73f-16,2020-10-11 16:48:40.871593,2020-10-11 16:51:40.871593,6
b73f-74,2020-10-11 16:48:41.072354,2020-10-11 16:51:41.072354,4
b73f-96,2020-10-11 16:48:41.065862,2020-10-11 16:51:41.065862,4
b73f-80,2020-10-11 16:48:41.071931,2020-10-11 16:51:41.071931,4
b73f-72,2020-10-11 16:48:40.870173,2020-10-11 16:51:40.870173,4
b73f-67,2020-10-11 16:48:41.065303,2020-10-11 16:51:41.065303,5
b73f-8,2020-10-11 16:48:40.869560,2020-10-11 16:51:40.869560,4
b73f-10,2020-10-11 16:48:40.847953,2020-10-11 16:51:40.847953,5
b73f-48,2020-10-11 16:48:41.072220,2020-10-11 16:51:41.072220,4
b73f-56,2020-10-11 16:48:41.063331,2020-10-11 16:51:41.063331,5
b73f-18,2020-10-11 16:48:41.069403,2020-10-11 16:51:41.069403,6
b73f-93,2020-10-11 16:48:41.066426,2020-10-11 16:51:41.066426,5
b73f-15,2020-10-11 16:48:40.869088,2020-10-11 16:51:40.869088,5
b73f-11,2020-10-11 16:48:40.870923,2020-10-11 16:51:40.870923,4
b73f-58,2020-10-11 16:48:41.070826,2020-10-11 16:51:41.070826,4
b73f-65,2020-10-11 16:48:41.071351,2020-10-11 16:51:41.071351,4
b73f-121,2020-10-11 16:48:41.070690,2020-10-11 16:51:41.070690,4
b73f-9,2020-10-11 16:48:40.871298,2020-10-11 16:51:40.871298,5
b73f-19,2020-10-11 16:48:41.072497,2020-10-11 16:51:41.072497,4
b73f-111,2020-10-11 16:48:41.068844,2020-10-11 16:51:41.068844,6
b73f-6,2020-10-11 16:48:40.869741,2020-10-11 16:51:40.869741,4
b73f-336,2020-10-11 16:48:41.071283,2020-10-11 16:51:41.071283,0
b73f-5,2020-10-11 16:48:40.871256,2020-10-11 16:51:40.871256,4
b73f-1,2020-10-11 16:48:40.847986,2020-10-11 16:51:40.847986,4
b73f-0,2020-10-11 16:48:40.846741,2020-10-11 16:51:40.846741,4
b73f-44,2020-10-11 16:48:41.072161,2020-10-11 16:51:41.072161,4
b73f-162,2020-10-11 16:48:41.070796,2020-10-11 16:51:41.070796,4
b73f-70,2020-10-11 16:48:41.065512,2020-10-11 16:51:41.065512,4
b73f-132,2020-10-11 16:49:25.901421,2020-10-11 16:52:25.901421,4
b73f-23,2020-10-11 16:49:25.901233,2020-10-11 16:52:25.901233,4
b73f-133,2020-10-11 16:48:41.068508,2020-10-11 16:51:41.068508,6
b73f-134,2020-10-11 16:48:41.062336,2020-10-11 16:51:41.062336,4
b73f-2,2020-10-11 16:48:40.869326,2020-10-11 16:51:40.869326,6
b73f-13,2020-10-11 16:49:25.776561,2020-10-11 16:52:25.776561,3
b73f-437,2020-10-11 16:49:19.760708,2020-10-11 16:52:19.760708,0
b73f-200,2020-10-11 16:50:08.700034,2020-10-11 16:53:08.700034,4
b73f-196,2020-10-11 16:50:11.185687,2020-10-11 16:53:11.185687,4
b73f-255,2020-10-11 16:51:06.096480,2020-10-11 16:54:06.096480,5
b73f-239,2020-10-11 16:51:36.946911,2020-10-11 16:54:36.946911,0
b73f-275,2020-10-11 16:51:36.946628,2020-10-11 16:54:36.946628,0
b73f-293,2020-10-11 16:51:36.946334,2020-10-11 16:54:36.946334,0
b73f-289,2020-10-11 16:51:50.173806,2020-10-11 16:54:50.173806,5
b73f-61,2020-10-11 16:52:56.946885,2020-10-11 16:55:56.946885,5
b73f-12,2020-10-11 16:53:03.693020,2020-10-11 16:56:03.693020,5
b73f-481,2020-10-11 16:53:18.791542,2020-10-11 16:56:18.791542,0
b73f-447,2020-10-11 16:53:23.551388,2020-10-11 16:56:23.551388,0
b73f-4,2020-10-11 16:53:22.334905,2020-10-11 16:56:22.334905,6
b73f-263,2020-10-11 16:54:34.542686,2020-10-11 16:57:34.542686,3
b73f-24,2020-10-11 16:55:09.203453,2020-10-11 16:58:09.203453,4
b73f-122,2020-10-11 16:55:48.131699,2020-10-11 16:58:48.131699,4
b73f-222,2020-10-11 16:55:48.131784,2020-10-11 16:58:48.131784,5
b73f-340,2020-10-11 16:56:16.632202,2020-10-11 16:59:16.632202,5
b73f-91,2020-10-11 16:58:32.537009,2020-10-11 17:01:32.537009,4
b73f-3,2020-10-11 16:59:07.171882,2020-10-11 17:02:07.171882,5
b73f-25,2020-10-11 16:59:07.227039,2020-10-11 17:02:07.227039,5
b73f-159,2020-10-11 16:59:07.227521,2020-10-11 17:02:07.227521,5
b73f-83,2020-10-11 16:58:32.406868,2020-10-11 17:01:32.406868,0
b73f-149,2020-10-11 16:59:35.709584,2020-10-11 17:02:35.709584,4
b73f-36,2020-10-11 16:59:35.708677,2020-10-11 17:02:35.708677,5
b73f-20,2020-10-11 16:59:20.163883,2020-10-11 17:02:20.163883,5
b73f-62,2020-10-11 16:59:35.709136,2020-10-11 17:02:35.709136,5
b73f-98,2020-10-11 16:59:56.407376,2020-10-11 17:02:56.407376,3
b73f-60,2020-10-11 16:59:59.273329,2020-10-11 17:02:59.273329,5
b73f-27,2020-10-11 16:59:35.708588,2020-10-11 17:02:35.708588,5
b73f-346,2020-10-11 16:59:51.595371,2020-10-11 17:02:51.595371,0
b73f-484,2020-10-11 17:00:48.842504,2020-10-11 17:03:48.842504,0
b73f-130,2020-10-11 17:01:30.248949,2020-10-11 17:04:30.248949,5
b73f-298,2020-10-11 17:01:54.277627,2020-10-11 17:04:54.277627,5
b73f-267,2020-10-11 17:01:54.278005,2020-10-11 17:04:54.278005,0
b73f-26,2020-10-11 17:01:30.248359,2020-10-11 17:04:30.248359,4
b73f-165,2020-10-11 17:01:30.248271,2020-10-11 17:04:30.248271,5
b73f-57,2020-10-11 17:03:11.858500,2020-10-11 17:06:11.858500,5
b73f-410,2020-10-11 17:03:54.544631,2020-10-11 17:06:54.544631,0
b73f-347,2020-10-11 17:03:54.544768,2020-10-11 17:06:54.544768,0
b73f-191,2020-10-11 17:04:14.494737,2020-10-11 17:07:14.494737,5
b73f-259,2020-10-11 17:03:54.544663,2020-10-11 17:06:54.544663,6
b73f-199,2020-10-11 17:06:20.010657,2020-10-11 17:09:20.010657,5
b73f-280,2020-10-11 17:06:20.010158,2020-10-11 17:09:20.010158,4
b73f-228,2020-10-11 17:06:20.010253,2020-10-11 17:09:20.010253,4
b73f-467,2020-10-11 17:06:20.679252,2020-10-11 17:09:20.679252,0
b73f-203,2020-10-11 17:06:20.010032,2020-10-11 17:09:20.010032,6
b73f-141,2020-10-11 17:09:07.194988,2020-10-11 17:12:07.194988,0
b73f-142,2020-10-11 17:09:31.504308,2020-10-11 17:12:31.504308,0
b73f-448,2020-10-11 17:09:31.726216,2020-10-11 17:12:31.726216,0
b73f-214,2020-10-11 17:09:31.587067,2020-10-11 17:12:31.587067,0
b73f-490,2020-10-11 17:09:31.773982,2020-10-11 17:12:31.773982,0
b73f-429,2020-10-11 17:09:31.629056,2020-10-11 17:12:31.629056,0
b73f-384,2020-10-11 17:09:31.654587,2020-10-11 17:12:31.654587,0
b73f-331,2020-10-11 17:09:31.570746,2020-10-11 17:12:31.570746,0
b73f-455,2020-10-11 17:09:31.651256,2020-10-11 17:12:31.651256,0
b73f-292,2020-10-11 17:09:31.636181,2020-10-11 17:12:31.636181,0
b73f-171,2020-10-11 17:09:31.359319,2020-10-11 17:12:31.359319,3
b73f-71,2020-10-11 17:09:31.533072,2020-10-11 17:12:31.533072,0
b73f-138,2020-10-11 17:09:31.599216,2020-10-11 17:12:31.599216,0
b73f-180,2020-10-11 17:09:31.517401,2020-10-11 17:12:31.517401,0
b73f-195,2020-10-11 17:09:31.596038,2020-10-11 17:12:31.596038,0
b73f-412,2020-10-11 17:09:31.696130,2020-10-11 17:12:31.696130,0
b73f-288,2020-10-11 17:09:31.625364,2020-10-11 17:12:31.625364,0
b73f-270,2020-10-11 17:09:31.586742,2020-10-11 17:12:31.586742,0
b73f-374,2020-10-11 17:09:31.636311,2020-10-11 17:12:31.636311,0
b73f-489,2020-10-11 17:09:31.743352,2020-10-11 17:12:31.743352,0
b73f-232,2020-10-11 17:09:31.583705,2020-10-11 17:12:31.583705,0
b73f-43,2020-10-11 17:09:31.464256,2020-10-11 17:12:31.464256,0
b73f-95,2020-10-11 17:09:31.521496,2020-10-11 17:12:31.521496,0
b73f-47,2020-10-11 17:09:31.402647,2020-10-11 17:12:31.402647,0
b73f-208,2020-10-11 17:09:31.509158,2020-10-11 17:12:31.509158,0
b73f-81,2020-10-11 17:09:31.598246,2020-10-11 17:12:31.598246,0
b73f-262,2020-10-11 17:09:31.613851,2020-10-11 17:12:31.613851,0
b73f-487,2020-10-11 17:09:31.769981,2020-10-11 17:12:31.769981,0
b73f-33,2020-10-11 17:09:31.420155,2020-10-11 17:12:31.420155,0
b73f-119,2020-10-11 17:09:31.513137,2020-10-11 17:12:31.513137,0
b73f-104,2020-10-11 17:09:31.602433,2020-10-11 17:12:31.602433,0
b73f-266,2020-10-11 17:09:31.604277,2020-10-11 17:12:31.604277,0
b73f-393,2020-10-11 17:09:31.613327,2020-10-11 17:12:31.613327,0
b73f-480,2020-10-11 17:09:31.695092,2020-10-11 17:12:31.695092,0
b73f-382,2020-10-11 17:09:31.652824,2020-10-11 17:12:31.652824,0
b73f-476,2020-10-11 17:09:31.715673,2020-10-11 17:12:31.715673,0
b73f-478,2020-10-11 17:09:31.754019,2020-10-11 17:12:31.754019,0
b73f-154,2020-10-11 17:09:31.470777,2020-10-11 17:12:31.470777,0
b73f-426,2020-10-11 17:09:31.695253,2020-10-11 17:12:31.695253,0
b73f-427,2020-10-11 17:09:31.636208,2020-10-11 17:12:31.636208,0
b73f-407,2020-10-11 17:09:31.664136,2020-10-11 17:12:31.664136,0
b73f-194,2020-10-11 17:09:31.505739,2020-10-11 17:12:31.505739,0
b73f-145,2020-10-11 17:09:31.464223,2020-10-11 17:12:31.464223,0
b73f-86,2020-10-11 17:09:31.513703,2020-10-11 17:12:31.513703,0
b73f-314,2020-10-11 17:09:31.604879,2020-10-11 17:12:31.604879,0
b73f-344,2020-10-11 17:09:31.624739,2020-10-11 17:12:31.624739,0
b73f-129,2020-10-11 17:09:31.491031,2020-10-11 17:12:31.491031,0
b73f-218,2020-10-11 17:09:31.617087,2020-10-11 17:12:31.617087,0
b73f-28,2020-10-11 17:09:31.470862,2020-10-11 17:12:31.470862,0
b73f-479,2020-10-11 17:09:31.755798,2020-10-11 17:12:31.755798,0
b73f-45,2020-10-11 17:09:31.464448,2020-10-11 17:12:31.464448,0
b73f-441,2020-10-11 17:09:31.724223,2020-10-11 17:12:31.724223,0
b73f-223,2020-10-11 17:09:31.470918,2020-10-11 17:12:31.470918,0
b73f-123,2020-10-11 17:09:31.487825,2020-10-11 17:12:31.487825,0
b73f-463,2020-10-11 17:09:31.704595,2020-10-11 17:12:31.704595,0
b73f-97,2020-10-11 17:09:31.566217,2020-10-11 17:12:31.566217,0
b73f-170,2020-10-11 17:09:31.420189,2020-10-11 17:12:31.420189,0
b73f-311,2020-10-11 17:09:31.603258,2020-10-11 17:12:31.603258,0
b73f-399,2020-10-11 17:09:31.632100,2020-10-11 17:12:31.632100,0
b73f-499,2020-10-11 17:09:31.716433,2020-10-11 17:12:31.716433,0
b73f-439,2020-10-11 17:09:31.716392,2020-10-11 17:12:31.716392,0
b73f-22,2020-10-11 17:09:31.464769,2020-10-11 17:12:31.464769,0
b73f-415,2020-10-11 17:09:31.675252,2020-10-11 17:12:31.675252,0
b73f-473,2020-10-11 17:09:31.728127,2020-10-11 17:12:31.728127,0
b73f-470,2020-10-11 17:09:31.699861,2020-10-11 17:12:31.699861,0
b73f-453,2020-10-11 17:09:31.713690,2020-10-11 17:12:31.713690,0
b73f-334,2020-10-11 17:09:31.656319,2020-10-11 17:12:31.656319,0
b73f-264,2020-10-11 17:09:31.566204,2020-10-11 17:12:31.566204,0
b73f-425,2020-10-11 17:09:31.660044,2020-10-11 17:12:31.660044,0
b73f-219,2020-10-11 17:09:31.618647,2020-10-11 17:12:31.618647,0
b73f-435,2020-10-11 17:09:31.704642,2020-10-11 17:12:31.704642,0
b73f-472,2020-10-11 17:09:31.732156,2020-10-11 17:12:31.732156,0
b73f-274,2020-10-11 17:09:31.571965,2020-10-11 17:12:31.571965,0
b73f-386,2020-10-11 17:09:31.663092,2020-10-11 17:12:31.663092,0
b73f-316,2020-10-11 17:09:31.555393,2020-10-11 17:12:31.555393,0
b73f-373,2020-10-11 17:09:31.655427,2020-10-11 17:12:31.655427,0
b73f-68,2020-10-11 17:09:31.470881,2020-10-11 17:12:31.470881,0
b73f-257,2020-10-11 17:09:31.573069,2020-10-11 17:12:31.573069,0
b73f-351,2020-10-11 17:09:31.618546,2020-10-11 17:12:31.618546,0
b73f-306,2020-10-11 17:09:31.598362,2020-10-11 17:12:31.598362,0
