GUID,Inicio,Fim,Contador
e713-45,2020-10-11 16:47:41.606832,2020-10-11 16:50:41.606832,1
e713-115,2020-10-11 16:47:45.277062,2020-10-11 16:50:45.277062,4
e713-122,2020-10-11 16:47:45.276195,2020-10-11 16:50:45.276195,5
e713-124,2020-10-11 16:48:04.649190,2020-10-11 16:51:04.649190,4
e713-120,2020-10-11 16:48:04.649473,2020-10-11 16:51:04.649473,4
e713-92,2020-10-11 16:48:04.650608,2020-10-11 16:51:04.650608,4
e713-136,2020-10-11 16:48:04.642975,2020-10-11 16:51:04.642975,2
e713-134,2020-10-11 16:48:04.646187,2020-10-11 16:51:04.646187,5
e713-142,2020-10-11 16:48:04.650505,2020-10-11 16:51:04.650505,3
e713-114,2020-10-11 16:48:04.647475,2020-10-11 16:51:04.647475,5
e713-147,2020-10-11 16:48:04.638645,2020-10-11 16:51:04.638645,4
e713-245,2020-10-11 16:48:05.278130,2020-10-11 16:51:05.278130,4
e713-105,2020-10-11 16:48:04.640371,2020-10-11 16:51:04.640371,5
e713-24,2020-10-11 16:48:04.646980,2020-10-11 16:51:04.646980,5
e713-26,2020-10-11 16:48:04.646707,2020-10-11 16:51:04.646707,4
e713-137,2020-10-11 16:48:04.643042,2020-10-11 16:51:04.643042,4
e713-133,2020-10-11 16:48:04.646907,2020-10-11 16:51:04.646907,4
e713-146,2020-10-11 16:48:04.648638,2020-10-11 16:51:04.648638,4
e713-66,2020-10-11 16:48:04.649262,2020-10-11 16:51:04.649262,5
e713-141,2020-10-11 16:48:04.633826,2020-10-11 16:51:04.633826,4
e713-32,2020-10-11 16:47:45.277127,2020-10-11 16:50:45.277127,4
e713-151,2020-10-11 16:48:04.644869,2020-10-11 16:51:04.644869,4
e713-140,2020-10-11 16:48:04.648153,2020-10-11 16:51:04.648153,5
e713-27,2020-10-11 16:48:04.643988,2020-10-11 16:51:04.643988,6
e713-149,2020-10-11 16:48:04.642027,2020-10-11 16:51:04.642027,4
e713-152,2020-10-11 16:48:04.649644,2020-10-11 16:51:04.649644,6
e713-131,2020-10-11 16:48:04.645782,2020-10-11 16:51:04.645782,5
e713-143,2020-10-11 16:48:04.650190,2020-10-11 16:51:04.650190,1
e713-63,2020-10-11 16:48:04.638408,2020-10-11 16:51:04.638408,4
e713-28,2020-10-11 16:48:04.648085,2020-10-11 16:51:04.648085,1
e713-51,2020-10-11 16:48:04.644574,2020-10-11 16:51:04.644574,4
e713-145,2020-10-11 16:48:04.649329,2020-10-11 16:51:04.649329,5
e713-106,2020-10-11 16:48:04.643747,2020-10-11 16:51:04.643747,5
e713-144,2020-10-11 16:48:04.649714,2020-10-11 16:51:04.649714,2
e713-139,2020-10-11 16:48:04.647636,2020-10-11 16:51:04.647636,4
e713-116,2020-10-11 16:48:04.648411,2020-10-11 16:51:04.648411,5
e713-73,2020-10-11 16:48:04.739728,2020-10-11 16:51:04.739728,7
e713-113,2020-10-11 16:48:04.650878,2020-10-11 16:51:04.650878,4
e713-129,2020-10-11 16:48:04.645142,2020-10-11 16:51:04.645142,5
e713-243,2020-10-11 16:48:05.277574,2020-10-11 16:51:05.277574,7
e713-150,2020-10-11 16:48:04.649569,2020-10-11 16:51:04.649569,1
e713-148,2020-10-11 16:48:04.639827,2020-10-11 16:51:04.639827,4
e713-472,2020-10-11 16:49:54.989727,2020-10-11 16:52:54.989727,1
e713-431,2020-10-11 16:49:58.675037,2020-10-11 16:52:58.675037,0
e713-480,2020-10-11 16:49:58.676020,2020-10-11 16:52:58.676020,1
e713-453,2020-10-11 16:49:58.675204,2020-10-11 16:52:58.675204,0
e713-488,2020-10-11 16:50:31.952655,2020-10-11 16:53:31.952655,1
e713-473,2020-10-11 16:50:31.952966,2020-10-11 16:53:31.952966,0
e713-437,2020-10-11 16:52:11.314254,2020-10-11 16:55:11.314254,0
e713-455,2020-10-11 16:52:11.314812,2020-10-11 16:55:11.314812,0
e713-421,2020-10-11 16:52:11.314742,2020-10-11 16:55:11.314742,0
e713-387,2020-10-11 16:52:11.313371,2020-10-11 16:55:11.313371,0
e713-483,2020-10-11 16:52:11.314878,2020-10-11 16:55:11.314878,0
e713-200,2020-10-11 16:53:08.723289,2020-10-11 16:56:08.723289,4
e713-279,2020-10-11 16:53:16.305418,2020-10-11 16:56:16.305418,3
e713-264,2020-10-11 16:53:12.177423,2020-10-11 16:56:12.177423,5
e713-271,2020-10-11 16:53:14.837342,2020-10-11 16:56:14.837342,4
e713-82,2020-10-11 16:53:16.305882,2020-10-11 16:56:16.305882,5
e713-471,2020-10-11 16:53:16.963454,2020-10-11 16:56:16.963454,0
e713-283,2020-10-11 16:53:14.837721,2020-10-11 16:56:14.837721,4
e713-193,2020-10-11 16:53:38.993776,2020-10-11 16:56:38.993776,3
e713-78,2020-10-11 16:53:38.973998,2020-10-11 16:56:38.973998,4
e713-188,2020-10-11 16:53:38.993620,2020-10-11 16:56:38.993620,4
e713-175,2020-10-11 16:53:08.723031,2020-10-11 16:56:08.723031,5
e713-198,2020-10-11 16:53:22.757765,2020-10-11 16:56:22.757765,4
e713-93,2020-10-11 16:53:14.836905,2020-10-11 16:56:14.836905,5
e713-4,2020-10-11 16:53:16.304916,2020-10-11 16:56:16.304916,4
e713-96,2020-10-11 16:53:14.837001,2020-10-11 16:56:14.837001,4
e713-452,2020-10-11 16:55:16.322253,2020-10-11 16:58:16.322253,0
e713-445,2020-10-11 16:55:00.594008,2020-10-11 16:58:00.594008,1
e713-493,2020-10-11 16:55:20.936778,2020-10-11 16:58:20.936778,0
e713-392,2020-10-11 16:55:07.862745,2020-10-11 16:58:07.862745,0
e713-456,2020-10-11 16:55:16.314760,2020-10-11 16:58:16.314760,0
e713-5,2020-10-11 16:55:59.329665,2020-10-11 16:58:59.329665,6
e713-0,2020-10-11 16:57:23.563598,2020-10-11 17:00:23.563598,5
e713-3,2020-10-11 16:57:23.564012,2020-10-11 17:00:23.564012,5
e713-492,2020-10-11 16:58:05.759993,2020-10-11 17:01:05.759993,0
e713-330,2020-10-11 16:58:25.338380,2020-10-11 17:01:25.338380,0
e713-481,2020-10-11 16:58:05.760308,2020-10-11 17:01:05.760308,0
e713-457,2020-10-11 16:58:25.396338,2020-10-11 17:01:25.396338,0
e713-379,2020-10-11 16:58:25.550426,2020-10-11 17:01:25.550426,0
e713-388,2020-10-11 16:58:17.871495,2020-10-11 17:01:17.871495,0
e713-487,2020-10-11 16:59:08.155967,2020-10-11 17:02:08.155967,0
e713-378,2020-10-11 16:58:25.338224,2020-10-11 17:01:25.338224,0
e713-418,2020-10-11 16:58:25.337445,2020-10-11 17:01:25.337445,0
e713-183,2020-10-11 16:58:45.554501,2020-10-11 17:01:45.554501,6
e713-58,2020-10-11 16:59:49.707402,2020-10-11 17:02:49.707402,4
e713-109,2020-10-11 16:59:51.842747,2020-10-11 17:02:51.842747,5
e713-467,2020-10-11 16:59:52.071751,2020-10-11 17:02:52.071751,0
e713-314,2020-10-11 17:01:07.434185,2020-10-11 17:04:07.434185,0
e713-46,2020-10-11 17:01:10.520192,2020-10-11 17:04:10.520192,4
e713-395,2020-10-11 17:01:30.339539,2020-10-11 17:04:30.339539,0
e713-463,2020-10-11 17:03:23.966870,2020-10-11 17:06:23.966870,0
e713-419,2020-10-11 17:05:04.637076,2020-10-11 17:08:04.637076,0
e713-252,2020-10-11 17:05:11.381133,2020-10-11 17:08:11.381133,4
e713-315,2020-10-11 17:05:57.807821,2020-10-11 17:08:57.807821,0
e713-275,2020-10-11 17:05:57.807985,2020-10-11 17:08:57.807985,5
e713-10,2020-10-11 17:06:20.533531,2020-10-11 17:09:20.533531,3
e713-409,2020-10-11 17:06:21.041236,2020-10-11 17:09:21.041236,0
e713-94,2020-10-11 17:06:20.680596,2020-10-11 17:09:20.680596,4
e713-400,2020-10-11 17:06:21.040760,2020-10-11 17:09:21.040760,0
e713-112,2020-10-11 17:06:20.680285,2020-10-11 17:09:20.680285,4
