GUID,Inicio,Fim,Contador
26d8-74,2020-10-11 15:15:37.564311,2020-10-11 15:18:37.564311,5
26d8-51,2020-10-11 15:15:37.520793,2020-10-11 15:18:37.520793,5
26d8-59,2020-10-11 15:15:37.500725,2020-10-11 15:18:37.500725,4
26d8-4,2020-10-11 15:15:37.432860,2020-10-11 15:18:37.432860,3
26d8-28,2020-10-11 15:15:37.556853,2020-10-11 15:18:37.556853,4
26d8-73,2020-10-11 15:15:37.462672,2020-10-11 15:18:37.462672,3
26d8-93,2020-10-11 15:15:37.512412,2020-10-11 15:18:37.512412,4
26d8-9,2020-10-11 15:15:37.429572,2020-10-11 15:18:37.429572,5
26d8-40,2020-10-11 15:15:37.515944,2020-10-11 15:18:37.515944,5
26d8-88,2020-10-11 15:15:37.564958,2020-10-11 15:18:37.564958,5
26d8-86,2020-10-11 15:15:37.564646,2020-10-11 15:18:37.564646,4
26d8-39,2020-10-11 15:15:37.523003,2020-10-11 15:18:37.523003,3
26d8-44,2020-10-11 15:15:37.456910,2020-10-11 15:18:37.456910,5
26d8-68,2020-10-11 15:15:37.514246,2020-10-11 15:18:37.514246,3
26d8-38,2020-10-11 15:15:37.563622,2020-10-11 15:18:37.563622,3
26d8-5,2020-10-11 15:15:37.433138,2020-10-11 15:18:37.433138,6
26d8-49,2020-10-11 15:15:37.515891,2020-10-11 15:18:37.515891,4
26d8-77,2020-10-11 15:15:37.561276,2020-10-11 15:18:37.561276,4
26d8-13,2020-10-11 15:15:37.432419,2020-10-11 15:18:37.432419,5
26d8-37,2020-10-11 15:15:37.484425,2020-10-11 15:18:37.484425,3
26d8-16,2020-10-11 15:15:37.433192,2020-10-11 15:18:37.433192,3
26d8-95,2020-10-11 15:15:37.564431,2020-10-11 15:18:37.564431,5
26d8-26,2020-10-11 15:15:37.472790,2020-10-11 15:18:37.472790,4
26d8-27,2020-10-11 15:15:37.461412,2020-10-11 15:18:37.461412,4
26d8-35,2020-10-11 15:15:37.557256,2020-10-11 15:18:37.557256,5
26d8-10,2020-10-11 15:15:37.434454,2020-10-11 15:18:37.434454,5
26d8-91,2020-10-11 15:15:37.482945,2020-10-11 15:18:37.482945,3
26d8-32,2020-10-11 15:15:37.523965,2020-10-11 15:18:37.523965,4
26d8-83,2020-10-11 15:15:37.564371,2020-10-11 15:18:37.564371,5
26d8-47,2020-10-11 15:15:37.463768,2020-10-11 15:18:37.463768,4
26d8-66,2020-10-11 15:15:37.474148,2020-10-11 15:18:37.474148,5
26d8-84,2020-10-11 15:15:37.474051,2020-10-11 15:18:37.474051,4
26d8-45,2020-10-11 15:15:37.559465,2020-10-11 15:18:37.559465,4
26d8-54,2020-10-11 15:15:37.460640,2020-10-11 15:18:37.460640,5
26d8-80,2020-10-11 15:15:37.563943,2020-10-11 15:18:37.563943,4
26d8-53,2020-10-11 15:15:37.455621,2020-10-11 15:18:37.455621,3
26d8-96,2020-10-11 15:15:37.521236,2020-10-11 15:18:37.521236,4
26d8-78,2020-10-11 15:15:37.523296,2020-10-11 15:18:37.523296,5
26d8-61,2020-10-11 15:15:37.474097,2020-10-11 15:18:37.474097,5
26d8-31,2020-10-11 15:15:37.563682,2020-10-11 15:18:37.563682,5
26d8-48,2020-10-11 15:15:37.456784,2020-10-11 15:18:37.456784,5
26d8-90,2020-10-11 15:15:37.563558,2020-10-11 15:18:37.563558,3
26d8-14,2020-10-11 15:15:37.431978,2020-10-11 15:18:37.431978,5
26d8-82,2020-10-11 15:15:37.523398,2020-10-11 15:18:37.523398,4
26d8-56,2020-10-11 15:15:37.469331,2020-10-11 15:18:37.469331,4
26d8-34,2020-10-11 15:15:37.560838,2020-10-11 15:18:37.560838,4
26d8-15,2020-10-11 15:15:37.434298,2020-10-11 15:18:37.434298,4
26d8-60,2020-10-11 15:15:37.513521,2020-10-11 15:18:37.513521,4
26d8-7,2020-10-11 15:15:37.432574,2020-10-11 15:18:37.432574,6
26d8-8,2020-10-11 15:15:37.434659,2020-10-11 15:18:37.434659,3
26d8-57,2020-10-11 15:15:37.516020,2020-10-11 15:18:37.516020,4
26d8-6,2020-10-11 15:15:37.433453,2020-10-11 15:18:37.433453,4
26d8-75,2020-10-11 15:15:37.481725,2020-10-11 15:18:37.481725,3
26d8-43,2020-10-11 15:15:37.562873,2020-10-11 15:18:37.562873,4
26d8-89,2020-10-11 15:15:37.484323,2020-10-11 15:18:37.484323,5
26d8-19,2020-10-11 15:15:37.456766,2020-10-11 15:18:37.456766,4
26d8-69,2020-10-11 15:15:37.473533,2020-10-11 15:18:37.473533,5
26d8-72,2020-10-11 15:15:37.515968,2020-10-11 15:18:37.515968,4
