GUID,Inicio,Fim,Contador
2c4f-43,2020-10-11 15:15:37.114669,2020-10-11 15:18:37.114669,4
2c4f-35,2020-10-11 15:15:37.089564,2020-10-11 15:18:37.089564,4
2c4f-89,2020-10-11 15:15:37.180055,2020-10-11 15:18:37.180055,4
2c4f-16,2020-10-11 15:15:37.061683,2020-10-11 15:18:37.061683,4
2c4f-57,2020-10-11 15:15:37.101812,2020-10-11 15:18:37.101812,4
2c4f-37,2020-10-11 15:15:37.177882,2020-10-11 15:18:37.177882,5
2c4f-67,2020-10-11 15:15:37.153712,2020-10-11 15:18:37.153712,4
2c4f-15,2020-10-11 15:15:37.068716,2020-10-11 15:18:37.068716,4
2c4f-10,2020-10-11 15:15:37.066963,2020-10-11 15:18:37.066963,6
2c4f-6,2020-10-11 15:15:37.067535,2020-10-11 15:18:37.067535,3
2c4f-54,2020-10-11 15:15:37.150862,2020-10-11 15:18:37.150862,6
2c4f-42,2020-10-11 15:15:37.152089,2020-10-11 15:18:37.152089,5
2c4f-11,2020-10-11 15:15:37.067860,2020-10-11 15:18:37.067860,5
2c4f-41,2020-10-11 15:15:37.109461,2020-10-11 15:18:37.109461,4
2c4f-55,2020-10-11 15:15:37.105393,2020-10-11 15:18:37.105393,4
2c4f-75,2020-10-11 15:15:37.176398,2020-10-11 15:18:37.176398,7
2c4f-70,2020-10-11 15:15:37.128784,2020-10-11 15:18:37.128784,5
2c4f-18,2020-10-11 15:15:37.110593,2020-10-11 15:18:37.110593,4
2c4f-71,2020-10-11 15:15:37.153021,2020-10-11 15:18:37.153021,4
2c4f-92,2020-10-11 15:15:37.176839,2020-10-11 15:18:37.176839,3
2c4f-39,2020-10-11 15:15:37.097964,2020-10-11 15:18:37.097964,4
2c4f-60,2020-10-11 15:15:37.155327,2020-10-11 15:18:37.155327,4
2c4f-9,2020-10-11 15:15:37.066125,2020-10-11 15:18:37.066125,4
2c4f-27,2020-10-11 15:15:37.118066,2020-10-11 15:18:37.118066,3
2c4f-26,2020-10-11 15:15:37.134874,2020-10-11 15:18:37.134874,5
2c4f-86,2020-10-11 15:15:37.110285,2020-10-11 15:18:37.110285,4
2c4f-20,2020-10-11 15:15:37.066711,2020-10-11 15:18:37.066711,4
2c4f-23,2020-10-11 15:15:37.095739,2020-10-11 15:18:37.095739,4
2c4f-36,2020-10-11 15:15:37.092538,2020-10-11 15:18:37.092538,4
2c4f-68,2020-10-11 15:15:37.096125,2020-10-11 15:18:37.096125,4
2c4f-28,2020-10-11 15:15:37.105723,2020-10-11 15:18:37.105723,4
2c4f-99,2020-10-11 15:15:37.186150,2020-10-11 15:18:37.186150,6
2c4f-5,2020-10-11 15:15:37.059466,2020-10-11 15:18:37.059466,4
2c4f-90,2020-10-11 15:15:37.129697,2020-10-11 15:18:37.129697,4
2c4f-96,2020-10-11 15:15:37.185711,2020-10-11 15:18:37.185711,5
2c4f-88,2020-10-11 15:15:37.180011,2020-10-11 15:18:37.180011,5
2c4f-77,2020-10-11 15:15:37.095431,2020-10-11 15:18:37.095431,4
2c4f-19,2020-10-11 15:15:37.068234,2020-10-11 15:18:37.068234,3
2c4f-49,2020-10-11 15:15:37.104574,2020-10-11 15:18:37.104574,5
2c4f-0,2020-10-11 15:15:37.067088,2020-10-11 15:18:37.067088,5
2c4f-8,2020-10-11 15:15:37.063931,2020-10-11 15:18:37.063931,4
2c4f-12,2020-10-11 15:15:37.068585,2020-10-11 15:18:37.068585,5
2c4f-95,2020-10-11 15:15:37.184939,2020-10-11 15:18:37.184939,4
2c4f-34,2020-10-11 15:15:37.178869,2020-10-11 15:18:37.178869,4
2c4f-45,2020-10-11 15:15:37.134432,2020-10-11 15:18:37.134432,4
2c4f-72,2020-10-11 15:15:37.097918,2020-10-11 15:18:37.097918,5
2c4f-4,2020-10-11 15:15:37.065250,2020-10-11 15:18:37.065250,4
2c4f-21,2020-10-11 15:15:37.154580,2020-10-11 15:18:37.154580,3
2c4f-51,2020-10-11 15:15:37.090935,2020-10-11 15:18:37.090935,4
2c4f-58,2020-10-11 15:15:37.128010,2020-10-11 15:18:37.128010,5
2c4f-40,2020-10-11 15:15:37.180617,2020-10-11 15:18:37.180617,5
2c4f-94,2020-10-11 15:15:37.185958,2020-10-11 15:18:37.185958,5
2c4f-44,2020-10-11 15:15:37.140246,2020-10-11 15:18:37.140246,6
2c4f-24,2020-10-11 15:15:37.105171,2020-10-11 15:18:37.105171,5
2c4f-25,2020-10-11 15:15:37.105444,2020-10-11 15:18:37.105444,4
2c4f-13,2020-10-11 15:15:37.067581,2020-10-11 15:18:37.067581,5
2c4f-61,2020-10-11 15:15:37.151965,2020-10-11 15:18:37.151965,4
2c4f-17,2020-10-11 15:15:37.067473,2020-10-11 15:18:37.067473,4
2c4f-79,2020-10-11 15:15:37.177442,2020-10-11 15:18:37.177442,5
2c4f-97,2020-10-11 15:15:37.185851,2020-10-11 15:18:37.185851,4
2c4f-65,2020-10-11 15:15:37.091048,2020-10-11 15:18:37.091048,6
2c4f-84,2020-10-11 15:15:37.174552,2020-10-11 15:18:37.174552,4
2c4f-3,2020-10-11 15:15:37.063282,2020-10-11 15:18:37.063282,4
2c4f-47,2020-10-11 15:15:37.129650,2020-10-11 15:18:37.129650,4
2c4f-91,2020-10-11 15:15:37.180558,2020-10-11 15:18:37.180558,4
2c4f-64,2020-10-11 15:15:37.105884,2020-10-11 15:18:37.105884,5
2c4f-29,2020-10-11 15:15:37.105543,2020-10-11 15:18:37.105543,4
2c4f-52,2020-10-11 15:15:37.127069,2020-10-11 15:18:37.127069,5
2c4f-32,2020-10-11 15:15:37.130076,2020-10-11 15:18:37.130076,3
2c4f-66,2020-10-11 15:15:37.098157,2020-10-11 15:18:37.098157,6
2c4f-59,2020-10-11 15:15:37.129813,2020-10-11 15:18:37.129813,5
2c4f-93,2020-10-11 15:15:37.179104,2020-10-11 15:18:37.179104,5
2c4f-81,2020-10-11 15:15:37.134714,2020-10-11 15:18:37.134714,5
2c4f-69,2020-10-11 15:15:37.089796,2020-10-11 15:18:37.089796,4
2c4f-48,2020-10-11 15:15:37.104629,2020-10-11 15:18:37.104629,6
2c4f-50,2020-10-11 15:15:37.155076,2020-10-11 15:18:37.155076,5
2c4f-30,2020-10-11 15:15:37.091414,2020-10-11 15:18:37.091414,4
2c4f-33,2020-10-11 15:15:37.097872,2020-10-11 15:18:37.097872,4
