GUID,Inicio,Fim,Contador
b32a-50,2020-10-11 15:15:35.221195,2020-10-11 15:18:35.221195,4
b32a-86,2020-10-11 15:15:35.231620,2020-10-11 15:18:35.231620,4
b32a-63,2020-10-11 15:15:35.253112,2020-10-11 15:18:35.253112,4
b32a-28,2020-10-11 15:15:35.220529,2020-10-11 15:18:35.220529,4
b32a-92,2020-10-11 15:15:35.228100,2020-10-11 15:18:35.228100,4
b32a-48,2020-10-11 15:15:35.252633,2020-10-11 15:18:35.252633,4
b32a-89,2020-10-11 15:15:35.227411,2020-10-11 15:18:35.227411,4
b32a-3,2020-10-11 15:15:35.177079,2020-10-11 15:18:35.177079,4
b32a-2,2020-10-11 15:15:35.165551,2020-10-11 15:18:35.165551,5
b32a-91,2020-10-11 15:15:35.285491,2020-10-11 15:18:35.285491,4
b32a-30,2020-10-11 15:15:35.250546,2020-10-11 15:18:35.250546,3
b32a-39,2020-10-11 15:15:35.275425,2020-10-11 15:18:35.275425,3
b32a-80,2020-10-11 15:15:35.276685,2020-10-11 15:18:35.276685,4
b32a-12,2020-10-11 15:15:35.199568,2020-10-11 15:18:35.199568,4
b32a-93,2020-10-11 15:15:35.255840,2020-10-11 15:18:35.255840,4
b32a-90,2020-10-11 15:15:35.287782,2020-10-11 15:18:35.287782,5
b32a-61,2020-10-11 15:15:35.228559,2020-10-11 15:18:35.228559,4
b32a-22,2020-10-11 15:15:35.250882,2020-10-11 15:18:35.250882,5
b32a-56,2020-10-11 15:15:35.273323,2020-10-11 15:18:35.273323,5
b32a-34,2020-10-11 15:15:35.277041,2020-10-11 15:18:35.277041,4
b32a-78,2020-10-11 15:15:35.199713,2020-10-11 15:18:35.199713,4
b32a-62,2020-10-11 15:15:35.247670,2020-10-11 15:18:35.247670,5
b32a-73,2020-10-11 15:15:35.257963,2020-10-11 15:18:35.257963,5
b32a-10,2020-10-11 15:15:35.171959,2020-10-11 15:18:35.171959,3
b32a-36,2020-10-11 15:15:35.225927,2020-10-11 15:18:35.225927,5
b32a-8,2020-10-11 15:15:35.177727,2020-10-11 15:18:35.177727,4
b32a-11,2020-10-11 15:15:35.199253,2020-10-11 15:18:35.199253,4
b32a-23,2020-10-11 15:15:35.276734,2020-10-11 15:18:35.276734,6
b32a-96,2020-10-11 15:15:35.219256,2020-10-11 15:18:35.219256,3
b32a-67,2020-10-11 15:15:35.256210,2020-10-11 15:18:35.256210,4
b32a-77,2020-10-11 15:15:35.254078,2020-10-11 15:18:35.254078,5
b32a-13,2020-10-11 15:15:35.177906,2020-10-11 15:18:35.177906,3
b32a-33,2020-10-11 15:15:35.271643,2020-10-11 15:18:35.271643,4
b32a-43,2020-10-11 15:15:35.275331,2020-10-11 15:18:35.275331,6
b32a-99,2020-10-11 15:15:35.257103,2020-10-11 15:18:35.257103,4
b32a-42,2020-10-11 15:15:35.268039,2020-10-11 15:18:35.268039,7
b32a-64,2020-10-11 15:15:35.287338,2020-10-11 15:18:35.287338,5
b32a-26,2020-10-11 15:15:35.221235,2020-10-11 15:18:35.221235,5
b32a-52,2020-10-11 15:15:35.273869,2020-10-11 15:18:35.273869,4
b32a-21,2020-10-11 15:15:35.199376,2020-10-11 15:18:35.199376,5
b32a-66,2020-10-11 15:15:35.255779,2020-10-11 15:18:35.255779,5
b32a-84,2020-10-11 15:15:35.287122,2020-10-11 15:18:35.287122,4
b32a-68,2020-10-11 15:15:35.275308,2020-10-11 15:18:35.275308,5
b32a-40,2020-10-11 15:15:35.258085,2020-10-11 15:18:35.258085,5
b32a-88,2020-10-11 15:15:35.256160,2020-10-11 15:18:35.256160,4
b32a-35,2020-10-11 15:15:35.257740,2020-10-11 15:18:35.257740,4
b32a-15,2020-10-11 15:15:35.177414,2020-10-11 15:18:35.177414,4
b32a-20,2020-10-11 15:15:35.227358,2020-10-11 15:18:35.227358,5
b32a-27,2020-10-11 15:15:35.226725,2020-10-11 15:18:35.226725,6
b32a-18,2020-10-11 15:15:35.219897,2020-10-11 15:18:35.219897,3
b32a-44,2020-10-11 15:15:35.276017,2020-10-11 15:18:35.276017,4
b32a-7,2020-10-11 15:15:35.168556,2020-10-11 15:18:35.168556,4
b32a-54,2020-10-11 15:15:35.224218,2020-10-11 15:18:35.224218,4
b32a-5,2020-10-11 15:15:35.177316,2020-10-11 15:18:35.177316,4
b32a-65,2020-10-11 15:15:35.227968,2020-10-11 15:18:35.227968,4
b32a-0,2020-10-11 15:15:35.171090,2020-10-11 15:18:35.171090,4
b32a-53,2020-10-11 15:15:35.277022,2020-10-11 15:18:35.277022,4
b32a-70,2020-10-11 15:15:35.272140,2020-10-11 15:18:35.272140,4
b32a-57,2020-10-11 15:15:35.220307,2020-10-11 15:18:35.220307,5
b32a-49,2020-10-11 15:15:35.219322,2020-10-11 15:18:35.219322,7
b32a-59,2020-10-11 15:15:35.233028,2020-10-11 15:18:35.233028,4
b32a-94,2020-10-11 15:15:35.275803,2020-10-11 15:18:35.275803,4
b32a-4,2020-10-11 15:15:35.171628,2020-10-11 15:18:35.171628,4
b32a-51,2020-10-11 15:15:35.274754,2020-10-11 15:18:35.274754,4
b32a-47,2020-10-11 15:15:35.273115,2020-10-11 15:18:35.273115,4
b32a-76,2020-10-11 15:15:35.276581,2020-10-11 15:18:35.276581,5
b32a-16,2020-10-11 15:15:35.199073,2020-10-11 15:18:35.199073,4
b32a-45,2020-10-11 15:15:35.276479,2020-10-11 15:18:35.276479,4
b32a-85,2020-10-11 15:15:35.257485,2020-10-11 15:18:35.257485,5
b32a-75,2020-10-11 15:15:35.219557,2020-10-11 15:18:35.219557,5
b32a-79,2020-10-11 15:15:35.228767,2020-10-11 15:18:35.228767,4
b32a-25,2020-10-11 15:15:35.286430,2020-10-11 15:18:35.286430,5
b32a-81,2020-10-11 15:15:35.257128,2020-10-11 15:18:35.257128,5
b32a-29,2020-10-11 15:15:35.275403,2020-10-11 15:18:35.275403,4
b32a-74,2020-10-11 15:15:35.288188,2020-10-11 15:18:35.288188,4
b32a-97,2020-10-11 15:15:35.277499,2020-10-11 15:18:35.277499,5
b32a-87,2020-10-11 15:15:35.250160,2020-10-11 15:18:35.250160,5
b32a-72,2020-10-11 15:15:35.276662,2020-10-11 15:18:35.276662,4
b32a-32,2020-10-11 15:15:35.277620,2020-10-11 15:18:35.277620,4
b32a-82,2020-10-11 15:15:35.277719,2020-10-11 15:18:35.277719,4
b32a-60,2020-10-11 15:15:35.250044,2020-10-11 15:18:35.250044,5
b32a-55,2020-10-11 15:15:35.221176,2020-10-11 15:18:35.221176,5
b32a-58,2020-10-11 15:15:35.270563,2020-10-11 15:18:35.270563,4
b32a-69,2020-10-11 15:15:35.253232,2020-10-11 15:18:35.253232,5
b32a-31,2020-10-11 15:15:35.274291,2020-10-11 15:18:35.274291,4
b32a-17,2020-10-11 15:15:35.169035,2020-10-11 15:18:35.169035,5
b32a-98,2020-10-11 15:15:35.260737,2020-10-11 15:18:35.260737,6
b32a-46,2020-10-11 15:15:35.257349,2020-10-11 15:18:35.257349,5
b32a-95,2020-10-11 15:15:35.287972,2020-10-11 15:18:35.287972,5
b32a-41,2020-10-11 15:15:35.197925,2020-10-11 15:18:35.197925,5
b32a-6,2020-10-11 15:15:35.171147,2020-10-11 15:18:35.171147,5
b32a-24,2020-10-11 15:15:35.277668,2020-10-11 15:18:35.277668,5
b32a-37,2020-10-11 15:15:35.226332,2020-10-11 15:18:35.226332,5
b32a-9,2020-10-11 15:15:35.171908,2020-10-11 15:18:35.171908,4
b32a-71,2020-10-11 15:15:35.286486,2020-10-11 15:18:35.286486,5
b32a-19,2020-10-11 15:15:35.177812,2020-10-11 15:18:35.177812,5
b32a-1,2020-10-11 15:15:35.170546,2020-10-11 15:18:35.170546,4
b32a-38,2020-10-11 15:15:35.276783,2020-10-11 15:18:35.276783,5
b32a-14,2020-10-11 15:15:35.171419,2020-10-11 15:18:35.171419,5
b32a-83,2020-10-11 15:15:35.228033,2020-10-11 15:18:35.228033,7
TOTAL,,,448
