GUID,Inicio,Fim,Contador
e5cd-13,2020-10-11 15:15:35.594996,2020-10-11 15:18:35.594996,4
e5cd-63,2020-10-11 15:15:35.683658,2020-10-11 15:18:35.683658,3
e5cd-96,2020-10-11 15:15:35.684588,2020-10-11 15:18:35.684588,4
e5cd-28,2020-10-11 15:15:35.650047,2020-10-11 15:18:35.650047,3
e5cd-35,2020-10-11 15:15:35.613988,2020-10-11 15:18:35.613988,5
e5cd-29,2020-10-11 15:15:35.598704,2020-10-11 15:18:35.598704,4
e5cd-93,2020-10-11 15:15:35.650092,2020-10-11 15:18:35.650092,4
e5cd-58,2020-10-11 15:15:35.614393,2020-10-11 15:18:35.614393,5
e5cd-46,2020-10-11 15:15:35.655633,2020-10-11 15:18:35.655633,4
e5cd-38,2020-10-11 15:15:35.615670,2020-10-11 15:18:35.615670,4
e5cd-85,2020-10-11 15:15:35.655308,2020-10-11 15:18:35.655308,3
e5cd-18,2020-10-11 15:15:35.597758,2020-10-11 15:18:35.597758,5
e5cd-60,2020-10-11 15:15:35.630465,2020-10-11 15:18:35.630465,4
e5cd-17,2020-10-11 15:15:35.587885,2020-10-11 15:18:35.587885,5
e5cd-45,2020-10-11 15:15:35.615602,2020-10-11 15:18:35.615602,4
e5cd-42,2020-10-11 15:15:35.684643,2020-10-11 15:18:35.684643,5
e5cd-23,2020-10-11 15:15:35.590945,2020-10-11 15:18:35.590945,4
e5cd-68,2020-10-11 15:15:35.629659,2020-10-11 15:18:35.629659,4
e5cd-74,2020-10-11 15:15:35.655681,2020-10-11 15:18:35.655681,4
e5cd-84,2020-10-11 15:15:35.602192,2020-10-11 15:18:35.602192,5
e5cd-44,2020-10-11 15:15:35.650291,2020-10-11 15:18:35.650291,3
e5cd-22,2020-10-11 15:15:35.590675,2020-10-11 15:18:35.590675,3
e5cd-27,2020-10-11 15:15:35.600093,2020-10-11 15:18:35.600093,4
e5cd-88,2020-10-11 15:15:35.615083,2020-10-11 15:18:35.615083,5
e5cd-70,2020-10-11 15:15:35.683800,2020-10-11 15:18:35.683800,5
e5cd-20,2020-10-11 15:15:35.545755,2020-10-11 15:18:35.545755,5
e5cd-57,2020-10-11 15:15:35.683902,2020-10-11 15:18:35.683902,5
e5cd-24,2020-10-11 15:15:35.599582,2020-10-11 15:18:35.599582,4
e5cd-25,2020-10-11 15:15:35.595144,2020-10-11 15:18:35.595144,4
e5cd-65,2020-10-11 15:15:35.679790,2020-10-11 15:18:35.679790,5
e5cd-48,2020-10-11 15:15:35.654260,2020-10-11 15:18:35.654260,4
e5cd-43,2020-10-11 15:15:35.624299,2020-10-11 15:18:35.624299,5
e5cd-52,2020-10-11 15:15:35.649496,2020-10-11 15:18:35.649496,4
e5cd-7,2020-10-11 15:15:35.615233,2020-10-11 15:18:35.615233,4
e5cd-87,2020-10-11 15:15:35.598772,2020-10-11 15:18:35.598772,4
e5cd-73,2020-10-11 15:15:35.686212,2020-10-11 15:18:35.686212,6
e5cd-81,2020-10-11 15:15:35.685639,2020-10-11 15:18:35.685639,5
e5cd-92,2020-10-11 15:15:35.629899,2020-10-11 15:18:35.629899,4
e5cd-47,2020-10-11 15:15:35.681582,2020-10-11 15:18:35.681582,4
e5cd-54,2020-10-11 15:15:35.650425,2020-10-11 15:18:35.650425,6
e5cd-77,2020-10-11 15:15:35.647456,2020-10-11 15:18:35.647456,4
e5cd-34,2020-10-11 15:15:35.617552,2020-10-11 15:18:35.617552,6
e5cd-49,2020-10-11 15:15:35.614566,2020-10-11 15:18:35.614566,4
e5cd-95,2020-10-11 15:15:35.614129,2020-10-11 15:18:35.614129,5
e5cd-21,2020-10-11 15:15:35.597816,2020-10-11 15:18:35.597816,5
e5cd-71,2020-10-11 15:15:35.649128,2020-10-11 15:18:35.649128,4
e5cd-76,2020-10-11 15:15:35.646414,2020-10-11 15:18:35.646414,6
e5cd-33,2020-10-11 15:15:35.628183,2020-10-11 15:18:35.628183,3
e5cd-69,2020-10-11 15:15:35.628668,2020-10-11 15:18:35.628668,6
e5cd-0,2020-10-11 15:15:35.595529,2020-10-11 15:18:35.595529,3
e5cd-62,2020-10-11 15:15:35.654068,2020-10-11 15:18:35.654068,4
e5cd-66,2020-10-11 15:15:35.649782,2020-10-11 15:18:35.649782,4
e5cd-10,2020-10-11 15:15:35.599830,2020-10-11 15:18:35.599830,7
e5cd-36,2020-10-11 15:15:35.659812,2020-10-11 15:18:35.659812,5
e5cd-82,2020-10-11 15:15:35.655437,2020-10-11 15:18:35.655437,4
e5cd-89,2020-10-11 15:15:35.615477,2020-10-11 15:18:35.615477,5
e5cd-59,2020-10-11 15:15:35.628122,2020-10-11 15:18:35.628122,3
e5cd-11,2020-10-11 15:15:35.591729,2020-10-11 15:18:35.591729,5
e5cd-8,2020-10-11 15:15:35.592734,2020-10-11 15:18:35.592734,5
e5cd-79,2020-10-11 15:15:35.684268,2020-10-11 15:18:35.684268,4
e5cd-56,2020-10-11 15:15:35.624102,2020-10-11 15:18:35.624102,4
e5cd-40,2020-10-11 15:15:35.685745,2020-10-11 15:18:35.685745,7
e5cd-55,2020-10-11 15:15:35.630396,2020-10-11 15:18:35.630396,5
e5cd-90,2020-10-11 15:15:35.655702,2020-10-11 15:18:35.655702,5
e5cd-32,2020-10-11 15:15:35.684686,2020-10-11 15:18:35.684686,4
e5cd-31,2020-10-11 15:15:35.609351,2020-10-11 15:18:35.609351,5
e5cd-97,2020-10-11 15:15:35.630096,2020-10-11 15:18:35.630096,4
e5cd-6,2020-10-11 15:15:35.598642,2020-10-11 15:18:35.598642,5
e5cd-30,2020-10-11 15:15:35.598939,2020-10-11 15:18:35.598939,5
e5cd-61,2020-10-11 15:15:35.647739,2020-10-11 15:18:35.647739,5
e5cd-15,2020-10-11 15:15:35.590427,2020-10-11 15:18:35.590427,5
e5cd-51,2020-10-11 15:15:35.681615,2020-10-11 15:18:35.681615,5
e5cd-41,2020-10-11 15:15:35.597873,2020-10-11 15:18:35.597873,5
e5cd-67,2020-10-11 15:15:35.599978,2020-10-11 15:18:35.599978,5
e5cd-14,2020-10-11 15:15:35.591225,2020-10-11 15:18:35.591225,6
e5cd-39,2020-10-11 15:15:35.613679,2020-10-11 15:18:35.613679,6
e5cd-98,2020-10-11 15:15:35.685905,2020-10-11 15:18:35.685905,5
e5cd-37,2020-10-11 15:15:35.630728,2020-10-11 15:18:35.630728,6
e5cd-16,2020-10-11 15:15:35.595472,2020-10-11 15:18:35.595472,6
e5cd-64,2020-10-11 15:15:35.648157,2020-10-11 15:18:35.648157,5
e5cd-50,2020-10-11 15:15:35.650370,2020-10-11 15:18:35.650370,4
e5cd-12,2020-10-11 15:15:35.589695,2020-10-11 15:18:35.589695,5
e5cd-4,2020-10-11 15:15:35.600146,2020-10-11 15:18:35.600146,5
e5cd-72,2020-10-11 15:15:35.683610,2020-10-11 15:18:35.683610,5
e5cd-75,2020-10-11 15:15:35.616145,2020-10-11 15:18:35.616145,4
e5cd-26,2020-10-11 15:15:35.648660,2020-10-11 15:18:35.648660,4
e5cd-94,2020-10-11 15:15:35.623913,2020-10-11 15:18:35.623913,5
e5cd-86,2020-10-11 15:15:35.647417,2020-10-11 15:18:35.647417,5
e5cd-9,2020-10-11 15:15:35.601844,2020-10-11 15:18:35.601844,4
e5cd-53,2020-10-11 15:15:35.681605,2020-10-11 15:18:35.681605,4
e5cd-78,2020-10-11 15:15:35.648032,2020-10-11 15:18:35.648032,4
e5cd-5,2020-10-11 15:15:35.590970,2020-10-11 15:18:35.590970,4
e5cd-3,2020-10-11 15:15:35.564782,2020-10-11 15:18:35.564782,5
e5cd-2,2020-10-11 15:15:35.546046,2020-10-11 15:18:35.546046,6
e5cd-99,2020-10-11 15:15:35.649450,2020-10-11 15:18:35.649450,5
e5cd-1,2020-10-11 15:15:35.545502,2020-10-11 15:18:35.545502,6
e5cd-80,2020-10-11 15:15:35.686324,2020-10-11 15:18:35.686324,5
e5cd-83,2020-10-11 15:15:35.600048,2020-10-11 15:18:35.600048,5
e5cd-19,2020-10-11 15:15:35.592295,2020-10-11 15:18:35.592295,5
e5cd-91,2020-10-11 15:15:35.614735,2020-10-11 15:18:35.614735,6
TOTAL,,,463
