GUID,Inicio,Fim,Contador
21ed-90,2020-10-11 17:17:23.786880,2020-10-11 17:20:23.786880,4
21ed-176,2020-10-11 17:17:24.118797,2020-10-11 17:20:24.118797,3
21ed-255,2020-10-11 17:17:24.128767,2020-10-11 17:20:24.128767,4
21ed-454,2020-10-11 17:17:24.308122,2020-10-11 17:20:24.308122,1
21ed-206,2020-10-11 17:17:49.204217,2020-10-11 17:20:49.204217,4
21ed-192,2020-10-11 17:17:24.025807,2020-10-11 17:20:24.025807,5
21ed-212,2020-10-11 17:17:24.118323,2020-10-11 17:20:24.118323,5
21ed-234,2020-10-11 17:17:25.212677,2020-10-11 17:20:25.212677,4
21ed-180,2020-10-11 17:17:49.092905,2020-10-11 17:20:49.092905,4
21ed-236,2020-10-11 17:17:25.213655,2020-10-11 17:20:25.213655,4
21ed-171,2020-10-11 17:17:59.990597,2020-10-11 17:20:59.990597,5
21ed-333,2020-10-11 17:17:49.597777,2020-10-11 17:20:49.597777,4
21ed-227,2020-10-11 17:17:59.962931,2020-10-11 17:20:59.962931,7
21ed-222,2020-10-11 17:17:59.991027,2020-10-11 17:20:59.991027,6
21ed-172,2020-10-11 17:18:07.213437,2020-10-11 17:21:07.213437,5
21ed-301,2020-10-11 17:18:20.072060,2020-10-11 17:21:20.072060,3
21ed-356,2020-10-11 17:18:34.171874,2020-10-11 17:21:34.171874,0
21ed-336,2020-10-11 17:18:34.172680,2020-10-11 17:21:34.172680,4
21ed-179,2020-10-11 17:18:07.212869,2020-10-11 17:21:07.212869,5
21ed-190,2020-10-11 17:18:07.213675,2020-10-11 17:21:07.213675,4
21ed-337,2020-10-11 17:18:34.171486,2020-10-11 17:21:34.171486,5
21ed-292,2020-10-11 17:18:36.378752,2020-10-11 17:21:36.378752,7
21ed-219,2020-10-11 17:17:59.963320,2020-10-11 17:20:59.963320,5
21ed-225,2020-10-11 17:19:02.195193,2020-10-11 17:22:02.195193,0
