GUID,Inicio,Fim,Contador
5d1a-364,2020-10-11 17:19:56.665759,2020-10-11 17:22:56.665759,2
5d1a-81,2020-10-11 17:21:14.637809,2020-10-11 17:24:14.637809,6
5d1a-51,2020-10-11 17:21:14.637492,2020-10-11 17:24:14.637492,5
5d1a-63,2020-10-11 17:21:14.636891,2020-10-11 17:24:14.636891,5
5d1a-458,2020-10-11 17:22:16.207101,2020-10-11 17:25:16.207101,0
5d1a-391,2020-10-11 17:22:16.206788,2020-10-11 17:25:16.206788,0
5d1a-39,2020-10-11 17:22:31.827791,2020-10-11 17:25:31.827791,5
5d1a-147,2020-10-11 17:22:31.827217,2020-10-11 17:25:31.827217,4
5d1a-449,2020-10-11 17:28:54.174701,2020-10-11 17:31:54.174701,0
5d1a-491,2020-10-11 17:29:03.950800,2020-10-11 17:32:03.950800,0
5d1a-345,2020-10-11 17:29:32.692817,2020-10-11 17:32:32.692817,0
5d1a-425,2020-10-11 17:29:32.702582,2020-10-11 17:32:32.702582,0
5d1a-337,2020-10-11 17:29:32.692933,2020-10-11 17:32:32.692933,0
5d1a-403,2020-10-11 17:29:32.702245,2020-10-11 17:32:32.702245,0
5d1a-262,2020-10-11 17:29:32.701987,2020-10-11 17:32:32.701987,3
5d1a-478,2020-10-11 17:29:40.865273,2020-10-11 17:32:40.865273,0
5d1a-334,2020-10-11 17:29:32.320091,2020-10-11 17:32:32.320091,0
5d1a-475,2020-10-11 17:29:32.693341,2020-10-11 17:32:32.693341,0
5d1a-188,2020-10-11 17:31:45.939180,2020-10-11 17:34:45.939180,4
5d1a-247,2020-10-11 17:31:49.721529,2020-10-11 17:34:49.721529,4
5d1a-340,2020-10-11 17:32:55.789220,2020-10-11 17:35:55.789220,0
5d1a-235,2020-10-11 17:34:30.210513,2020-10-11 17:37:30.210513,0
5d1a-319,2020-10-11 17:35:51.173978,2020-10-11 17:38:51.173978,5
5d1a-66,2020-10-11 17:36:36.929604,2020-10-11 17:39:36.929604,4
5d1a-350,2020-10-11 17:36:24.485168,2020-10-11 17:39:24.485168,0
5d1a-27,2020-10-11 17:36:36.898331,2020-10-11 17:39:36.898331,4
5d1a-62,2020-10-11 17:36:36.922912,2020-10-11 17:39:36.922912,4
5d1a-40,2020-10-11 17:36:24.862112,2020-10-11 17:39:24.862112,4
5d1a-489,2020-10-11 17:36:39.903022,2020-10-11 17:39:39.903022,0
5d1a-43,2020-10-11 17:37:01.284488,2020-10-11 17:40:01.284488,5
5d1a-238,2020-10-11 17:37:01.284703,2020-10-11 17:40:01.284703,4
5d1a-97,2020-10-11 17:37:01.283784,2020-10-11 17:40:01.283784,6
5d1a-318,2020-10-11 17:38:16.029719,2020-10-11 17:41:16.029719,0
5d1a-116,2020-10-11 17:38:15.931097,2020-10-11 17:41:15.931097,4
5d1a-44,2020-10-11 17:39:23.772739,2020-10-11 17:42:23.772739,0
5d1a-103,2020-10-11 17:39:23.878288,2020-10-11 17:42:23.878288,0
5d1a-69,2020-10-11 17:39:23.771175,2020-10-11 17:42:23.771175,0
5d1a-388,2020-10-11 17:39:24.073652,2020-10-11 17:42:24.073652,0
5d1a-136,2020-10-11 17:39:23.874233,2020-10-11 17:42:23.874233,0
5d1a-392,2020-10-11 17:39:24.071319,2020-10-11 17:42:24.071319,0
5d1a-250,2020-10-11 17:39:23.947483,2020-10-11 17:42:23.947483,0
5d1a-488,2020-10-11 17:39:24.077531,2020-10-11 17:42:24.077531,0
5d1a-177,2020-10-11 17:39:23.845811,2020-10-11 17:42:23.845811,0
5d1a-209,2020-10-11 17:39:23.893243,2020-10-11 17:42:23.893243,0
5d1a-152,2020-10-11 17:39:23.876447,2020-10-11 17:42:23.876447,0
5d1a-213,2020-10-11 17:39:23.874701,2020-10-11 17:42:23.874701,0
5d1a-280,2020-10-11 17:39:23.890596,2020-10-11 17:42:23.890596,0
5d1a-26,2020-10-11 17:39:23.773640,2020-10-11 17:42:23.773640,0
5d1a-323,2020-10-11 17:39:24.008888,2020-10-11 17:42:24.008888,0
