GUID,Inicio,Fim,Contador
6a5c-82,2020-10-11 17:17:49.999018,2020-10-11 17:20:49.999018,6
6a5c-348,2020-10-11 17:18:10.546695,2020-10-11 17:21:10.546695,0
6a5c-380,2020-10-11 17:18:10.633022,2020-10-11 17:21:10.633022,1
6a5c-339,2020-10-11 17:18:10.546406,2020-10-11 17:21:10.546406,4
6a5c-19,2020-10-11 17:18:34.299766,2020-10-11 17:21:34.299766,4
6a5c-118,2020-10-11 17:19:02.171611,2020-10-11 17:22:02.171611,0
6a5c-93,2020-10-11 17:19:02.751111,2020-10-11 17:22:02.751111,5
6a5c-266,2020-10-11 17:18:26.155486,2020-10-11 17:21:26.155486,4
6a5c-377,2020-10-11 17:19:08.624327,2020-10-11 17:22:08.624327,0
6a5c-338,2020-10-11 17:19:02.753838,2020-10-11 17:22:02.753838,0
6a5c-108,2020-10-11 17:19:02.751891,2020-10-11 17:22:02.751891,6
6a5c-102,2020-10-11 17:19:07.962786,2020-10-11 17:22:07.962786,4
6a5c-130,2020-10-11 17:18:28.853820,2020-10-11 17:21:28.853820,5
6a5c-53,2020-10-11 17:19:20.232045,2020-10-11 17:22:20.232045,5
6a5c-122,2020-10-11 17:19:02.707404,2020-10-11 17:22:02.707404,4
6a5c-63,2020-10-11 17:18:34.299282,2020-10-11 17:21:34.299282,4
6a5c-270,2020-10-11 17:19:20.231510,2020-10-11 17:22:20.231510,4
6a5c-121,2020-10-11 17:19:02.647545,2020-10-11 17:22:02.647545,0
6a5c-59,2020-10-11 17:19:02.752236,2020-10-11 17:22:02.752236,5
6a5c-205,2020-10-11 17:19:02.742869,2020-10-11 17:22:02.742869,5
6a5c-127,2020-10-11 17:19:20.232610,2020-10-11 17:22:20.232610,6
6a5c-52,2020-10-11 17:19:02.255570,2020-10-11 17:22:02.255570,0
6a5c-71,2020-10-11 17:19:02.193155,2020-10-11 17:22:02.193155,5
6a5c-196,2020-10-11 17:19:02.725191,2020-10-11 17:22:02.725191,7
6a5c-490,2020-10-11 17:19:42.929955,2020-10-11 17:22:42.929955,1
6a5c-114,2020-10-11 17:19:02.725230,2020-10-11 17:22:02.725230,5
6a5c-347,2020-10-11 17:19:34.933500,2020-10-11 17:22:34.933500,0
6a5c-203,2020-10-11 17:19:02.633055,2020-10-11 17:22:02.633055,0
6a5c-98,2020-10-11 17:19:02.172293,2020-10-11 17:22:02.172293,0
6a5c-390,2020-10-11 17:19:34.934402,2020-10-11 17:22:34.934402,0
6a5c-417,2020-10-11 17:19:34.934321,2020-10-11 17:22:34.934321,0
6a5c-77,2020-10-11 17:19:42.599089,2020-10-11 17:22:42.599089,5
6a5c-49,2020-10-11 17:21:48.773757,2020-10-11 17:24:48.773757,4
6a5c-57,2020-10-11 17:21:41.457370,2020-10-11 17:24:41.457370,5
6a5c-58,2020-10-11 17:21:49.225756,2020-10-11 17:24:49.225756,4
6a5c-163,2020-10-11 17:22:39.638861,2020-10-11 17:25:39.638861,5
6a5c-252,2020-10-11 17:22:57.630260,2020-10-11 17:25:57.630260,5
6a5c-468,2020-10-11 17:25:10.099431,2020-10-11 17:28:10.099431,0
6a5c-353,2020-10-11 17:29:33.021072,2020-10-11 17:32:33.021072,0
6a5c-454,2020-10-11 17:29:44.576282,2020-10-11 17:32:44.576282,0
6a5c-61,2020-10-11 17:31:28.672322,2020-10-11 17:34:28.672322,4
6a5c-33,2020-10-11 17:31:28.672244,2020-10-11 17:34:28.672244,5
6a5c-153,2020-10-11 17:31:28.673772,2020-10-11 17:34:28.673772,4
6a5c-149,2020-10-11 17:31:28.672869,2020-10-11 17:34:28.672869,4
6a5c-90,2020-10-11 17:31:28.671082,2020-10-11 17:34:28.671082,5
6a5c-3,2020-10-11 17:31:28.669900,2020-10-11 17:34:28.669900,5
6a5c-66,2020-10-11 17:31:28.668197,2020-10-11 17:34:28.668197,4
6a5c-5,2020-10-11 17:31:28.673350,2020-10-11 17:34:28.673350,5
6a5c-99,2020-10-11 17:31:28.673681,2020-10-11 17:34:28.673681,4
