GUID,Inicio,Fim,Contador
894a-71,2020-10-11 17:19:30.680126,2020-10-11 17:22:30.680126,3
894a-110,2020-10-11 17:19:30.680234,2020-10-11 17:22:30.680234,4
894a-136,2020-10-11 17:19:43.116938,2020-10-11 17:22:43.116938,5
894a-6,2020-10-11 17:19:34.933688,2020-10-11 17:22:34.933688,4
894a-73,2020-10-11 17:20:43.248264,2020-10-11 17:23:43.248264,4
894a-175,2020-10-11 17:19:43.116570,2020-10-11 17:22:43.116570,5
894a-357,2020-10-11 17:22:31.827536,2020-10-11 17:25:31.827536,0
894a-308,2020-10-11 17:23:10.582085,2020-10-11 17:26:10.582085,0
894a-40,2020-10-11 17:24:06.526908,2020-10-11 17:27:06.526908,5
894a-66,2020-10-11 17:25:06.363347,2020-10-11 17:28:06.363347,4
894a-92,2020-10-11 17:25:06.363396,2020-10-11 17:28:06.363396,5
894a-99,2020-10-11 17:25:38.518432,2020-10-11 17:28:38.518432,4
894a-170,2020-10-11 17:25:06.363640,2020-10-11 17:28:06.363640,4
894a-161,2020-10-11 17:25:13.604271,2020-10-11 17:28:13.604271,5
894a-167,2020-10-11 17:27:13.081407,2020-10-11 17:30:13.081407,3
894a-128,2020-10-11 17:27:13.206436,2020-10-11 17:30:13.206436,4
894a-21,2020-10-11 17:27:13.207214,2020-10-11 17:30:13.207214,4
894a-133,2020-10-11 17:27:13.207122,2020-10-11 17:30:13.207122,5
894a-181,2020-10-11 17:27:19.316034,2020-10-11 17:30:19.316034,6
894a-177,2020-10-11 17:27:19.316728,2020-10-11 17:30:19.316728,5
894a-210,2020-10-11 17:27:19.316218,2020-10-11 17:30:19.316218,6
894a-198,2020-10-11 17:27:19.316134,2020-10-11 17:30:19.316134,4
894a-123,2020-10-11 17:27:13.081704,2020-10-11 17:30:13.081704,4
894a-2,2020-10-11 17:27:32.980096,2020-10-11 17:30:32.980096,4
894a-192,2020-10-11 17:28:34.268594,2020-10-11 17:31:34.268594,4
894a-150,2020-10-11 17:28:34.269588,2020-10-11 17:31:34.269588,4
894a-104,2020-10-11 17:28:34.269619,2020-10-11 17:31:34.269619,5
894a-132,2020-10-11 17:29:33.021730,2020-10-11 17:32:33.021730,4
894a-299,2020-10-11 17:29:39.000792,2020-10-11 17:32:39.000792,0
