GUID,Inicio,Fim,Contador
ae4d-23,2020-10-11 17:17:21.996436,2020-10-11 17:20:21.996436,2
ae4d-247,2020-10-11 17:17:22.466369,2020-10-11 17:20:22.466369,4
ae4d-191,2020-10-11 17:17:22.455121,2020-10-11 17:20:22.455121,4
ae4d-299,2020-10-11 17:17:22.589271,2020-10-11 17:20:22.589271,3
ae4d-115,2020-10-11 17:17:22.347073,2020-10-11 17:20:22.347073,0
ae4d-212,2020-10-11 17:17:22.441773,2020-10-11 17:20:22.441773,1
ae4d-273,2020-10-11 17:17:22.458326,2020-10-11 17:20:22.458326,3
ae4d-80,2020-10-11 17:17:22.176554,2020-10-11 17:20:22.176554,5
ae4d-82,2020-10-11 17:17:22.184472,2020-10-11 17:20:22.184472,5
ae4d-344,2020-10-11 17:17:22.688124,2020-10-11 17:20:22.688124,0
ae4d-90,2020-10-11 17:17:22.415781,2020-10-11 17:20:22.415781,4
ae4d-365,2020-10-11 17:17:22.688055,2020-10-11 17:20:22.688055,0
ae4d-425,2020-10-11 17:17:22.801665,2020-10-11 17:20:22.801665,0
ae4d-424,2020-10-11 17:17:22.802146,2020-10-11 17:20:22.802146,0
ae4d-293,2020-10-11 17:17:22.589886,2020-10-11 17:20:22.589886,1
ae4d-426,2020-10-11 17:17:22.834129,2020-10-11 17:20:22.834129,0
ae4d-264,2020-10-11 17:17:22.466187,2020-10-11 17:20:22.466187,2
ae4d-359,2020-10-11 17:17:22.689186,2020-10-11 17:20:22.689186,0
ae4d-324,2020-10-11 17:17:22.598726,2020-10-11 17:20:22.598726,5
ae4d-163,2020-10-11 17:17:22.318363,2020-10-11 17:20:22.318363,4
ae4d-51,2020-10-11 17:17:21.966964,2020-10-11 17:20:21.966964,3
ae4d-176,2020-10-11 17:17:22.475990,2020-10-11 17:20:22.475990,5
ae4d-269,2020-10-11 17:17:22.476779,2020-10-11 17:20:22.476779,2
ae4d-184,2020-10-11 17:17:22.440192,2020-10-11 17:20:22.440192,2
ae4d-130,2020-10-11 17:17:22.304162,2020-10-11 17:20:22.304162,3
