GUID,Inicio,Fim,Contador
ebc2-240,2020-10-11 17:17:25.625217,2020-10-11 17:20:25.625217,4
ebc2-402,2020-10-11 17:17:30.801578,2020-10-11 17:20:30.801578,1
ebc2-480,2020-10-11 17:17:38.937164,2020-10-11 17:20:38.937164,2
ebc2-463,2020-10-11 17:17:38.959247,2020-10-11 17:20:38.959247,0
ebc2-444,2020-10-11 17:17:38.960164,2020-10-11 17:20:38.960164,0
ebc2-365,2020-10-11 17:17:30.808306,2020-10-11 17:20:30.808306,0
ebc2-440,2020-10-11 17:17:38.960186,2020-10-11 17:20:38.960186,0
ebc2-406,2020-10-11 17:17:30.792438,2020-10-11 17:20:30.792438,2
ebc2-389,2020-10-11 17:17:30.801492,2020-10-11 17:20:30.801492,1
ebc2-333,2020-10-11 17:17:52.180225,2020-10-11 17:20:52.180225,3
ebc2-408,2020-10-11 17:17:38.968515,2020-10-11 17:20:38.968515,0
ebc2-443,2020-10-11 17:17:38.951020,2020-10-11 17:20:38.951020,0
ebc2-436,2020-10-11 17:17:38.960111,2020-10-11 17:20:38.960111,1
ebc2-476,2020-10-11 17:17:38.982048,2020-10-11 17:20:38.982048,0
ebc2-462,2020-10-11 17:17:38.967953,2020-10-11 17:20:38.967953,0
ebc2-431,2020-10-11 17:17:38.951101,2020-10-11 17:20:38.951101,0
ebc2-442,2020-10-11 17:17:38.951077,2020-10-11 17:20:38.951077,0
ebc2-318,2020-10-11 17:17:52.183228,2020-10-11 17:20:52.183228,3
ebc2-321,2020-10-11 17:17:52.184251,2020-10-11 17:20:52.184251,5
ebc2-325,2020-10-11 17:17:52.182613,2020-10-11 17:20:52.182613,4
ebc2-412,2020-10-11 17:17:38.937918,2020-10-11 17:20:38.937918,1
ebc2-464,2020-10-11 17:17:38.967189,2020-10-11 17:20:38.967189,0
ebc2-453,2020-10-11 17:17:38.968352,2020-10-11 17:20:38.968352,0
ebc2-458,2020-10-11 17:17:38.968227,2020-10-11 17:20:38.968227,0
ebc2-409,2020-10-11 17:17:38.937379,2020-10-11 17:20:38.937379,1
ebc2-334,2020-10-11 17:17:52.184420,2020-10-11 17:20:52.184420,5
ebc2-448,2020-10-11 17:17:38.959668,2020-10-11 17:20:38.959668,0
ebc2-322,2020-10-11 17:17:52.182729,2020-10-11 17:20:52.182729,4
ebc2-416,2020-10-11 17:17:38.968537,2020-10-11 17:20:38.968537,1
ebc2-430,2020-10-11 17:17:38.937533,2020-10-11 17:20:38.937533,0
ebc2-419,2020-10-11 17:17:38.981728,2020-10-11 17:20:38.981728,0
ebc2-468,2020-10-11 17:17:38.973235,2020-10-11 17:20:38.973235,0
ebc2-327,2020-10-11 17:17:52.179934,2020-10-11 17:20:52.179934,4
ebc2-328,2020-10-11 17:17:52.180259,2020-10-11 17:20:52.180259,5
ebc2-41,2020-10-11 17:18:34.999901,2020-10-11 17:21:34.999901,6
ebc2-28,2020-10-11 17:18:35.001845,2020-10-11 17:21:35.001845,4
ebc2-50,2020-10-11 17:18:34.998142,2020-10-11 17:21:34.998142,4
ebc2-319,2020-10-11 17:17:52.184323,2020-10-11 17:20:52.184323,6
ebc2-160,2020-10-11 17:18:35.072067,2020-10-11 17:21:35.072067,5
ebc2-83,2020-10-11 17:18:35.001969,2020-10-11 17:21:35.001969,3
ebc2-38,2020-10-11 17:18:34.993161,2020-10-11 17:21:34.993161,6
ebc2-44,2020-10-11 17:18:35.000419,2020-10-11 17:21:35.000419,3
ebc2-144,2020-10-11 17:18:35.071481,2020-10-11 17:21:35.071481,5
ebc2-324,2020-10-11 17:17:52.184104,2020-10-11 17:20:52.184104,5
ebc2-47,2020-10-11 17:18:34.996539,2020-10-11 17:21:34.996539,6
ebc2-80,2020-10-11 17:18:35.002536,2020-10-11 17:21:35.002536,5
ebc2-34,2020-10-11 17:18:35.003274,2020-10-11 17:21:35.003274,5
ebc2-67,2020-10-11 17:18:35.003100,2020-10-11 17:21:35.003100,4
ebc2-196,2020-10-11 17:18:35.071748,2020-10-11 17:21:35.071748,6
ebc2-71,2020-10-11 17:18:34.998629,2020-10-11 17:21:34.998629,4
