GUID,Inicio,Fim,Contador
0ab1-2,2020-10-11 19:57:03.394560,2020-10-11 20:00:03.394560,3
0ab1-8,2020-10-11 19:57:03.394465,2020-10-11 20:00:03.394465,3
0ab1-10,2020-10-11 19:57:03.964668,2020-10-11 20:00:03.964668,5
0ab1-0,2020-10-11 19:57:03.394279,2020-10-11 20:00:03.394279,3
0ab1-7,2020-10-11 19:57:03.250110,2020-10-11 20:00:03.250110,4
0ab1-168,2020-10-11 19:57:20.285141,2020-10-11 20:00:20.285141,3
0ab1-13,2020-10-11 19:57:11.477330,2020-10-11 20:00:11.477330,6
0ab1-120,2020-10-11 19:57:20.244126,2020-10-11 20:00:20.244126,5
0ab1-18,2020-10-11 19:57:11.523678,2020-10-11 20:00:11.523678,5
0ab1-9,2020-10-11 19:57:03.965683,2020-10-11 20:00:03.965683,4
0ab1-12,2020-10-11 19:57:11.478463,2020-10-11 20:00:11.478463,4
0ab1-17,2020-10-11 19:57:11.478558,2020-10-11 20:00:11.478558,5
0ab1-11,2020-10-11 19:57:11.475919,2020-10-11 20:00:11.475919,4
0ab1-1,2020-10-11 19:57:03.151635,2020-10-11 20:00:03.151635,5
0ab1-3,2020-10-11 19:57:03.250899,2020-10-11 20:00:03.250899,5
0ab1-14,2020-10-11 19:57:11.476549,2020-10-11 20:00:11.476549,4
0ab1-126,2020-10-11 19:57:20.241232,2020-10-11 20:00:20.241232,3
0ab1-124,2020-10-11 19:57:20.244404,2020-10-11 20:00:20.244404,4
0ab1-6,2020-10-11 19:57:03.725896,2020-10-11 20:00:03.725896,3
0ab1-193,2020-10-11 19:57:56.412210,2020-10-11 20:00:56.412210,5
0ab1-270,2020-10-11 19:57:56.407136,2020-10-11 20:00:56.407136,4
0ab1-5,2020-10-11 19:57:03.725609,2020-10-11 20:00:03.725609,5
0ab1-122,2020-10-11 19:57:20.244351,2020-10-11 20:00:20.244351,5
0ab1-4,2020-10-11 19:57:03.303078,2020-10-11 20:00:03.303078,4
0ab1-186,2020-10-11 19:57:56.407241,2020-10-11 20:00:56.407241,5
0ab1-175,2020-10-11 19:57:20.281695,2020-10-11 20:00:20.281695,4
0ab1-167,2020-10-11 19:57:20.284712,2020-10-11 20:00:20.284712,6
0ab1-266,2020-10-11 19:57:56.410894,2020-10-11 20:00:56.410894,4
0ab1-222,2020-10-11 19:57:56.403475,2020-10-11 20:00:56.403475,5
0ab1-166,2020-10-11 19:57:20.259218,2020-10-11 20:00:20.259218,4
0ab1-225,2020-10-11 19:57:56.407885,2020-10-11 20:00:56.407885,5
0ab1-280,2020-10-11 19:57:56.404748,2020-10-11 20:00:56.404748,4
0ab1-277,2020-10-11 19:57:56.413611,2020-10-11 20:00:56.413611,6
0ab1-202,2020-10-11 19:57:56.414516,2020-10-11 20:00:56.414516,5
0ab1-287,2020-10-11 19:57:56.407782,2020-10-11 20:00:56.407782,4
0ab1-265,2020-10-11 19:57:56.414284,2020-10-11 20:00:56.414284,5
0ab1-274,2020-10-11 19:57:56.408136,2020-10-11 20:00:56.408136,6
0ab1-278,2020-10-11 19:57:56.403964,2020-10-11 20:00:56.403964,5
0ab1-185,2020-10-11 19:57:56.413223,2020-10-11 20:00:56.413223,4
0ab1-440,2020-10-11 19:58:19.897455,2020-10-11 20:01:19.897455,0
0ab1-259,2020-10-11 20:00:04.727236,2020-10-11 20:03:04.727236,3
0ab1-332,2020-10-11 20:00:11.240700,2020-10-11 20:03:11.240700,3
0ab1-328,2020-10-11 20:00:11.253567,2020-10-11 20:03:11.253567,3
0ab1-329,2020-10-11 20:00:11.239699,2020-10-11 20:03:11.239699,4
0ab1-330,2020-10-11 20:00:11.250103,2020-10-11 20:03:11.250103,4
0ab1-313,2020-10-11 20:00:11.239527,2020-10-11 20:03:11.239527,5
0ab1-338,2020-10-11 20:00:11.241278,2020-10-11 20:03:11.241278,3
0ab1-327,2020-10-11 20:00:11.252215,2020-10-11 20:03:11.252215,5
0ab1-196,2020-10-11 20:00:04.727382,2020-10-11 20:03:04.727382,4
0ab1-317,2020-10-11 20:00:11.248211,2020-10-11 20:03:11.248211,4
0ab1-320,2020-10-11 20:00:11.252430,2020-10-11 20:03:11.252430,5
0ab1-323,2020-10-11 20:00:11.246904,2020-10-11 20:03:11.246904,5
0ab1-384,2020-10-11 20:00:11.252907,2020-10-11 20:03:11.252907,0
0ab1-325,2020-10-11 20:00:11.253682,2020-10-11 20:03:11.253682,5
0ab1-335,2020-10-11 20:00:11.250189,2020-10-11 20:03:11.250189,4
