GUID,Inicio,Fim,Contador
0ffc-15,2020-10-11 19:56:18.288781,2020-10-11 19:59:18.288781,4
0ffc-30,2020-10-11 19:56:18.362464,2020-10-11 19:59:18.362464,4
0ffc-132,2020-10-11 19:56:18.643453,2020-10-11 19:59:18.643453,2
0ffc-88,2020-10-11 19:56:18.492144,2020-10-11 19:59:18.492144,1
0ffc-271,2020-10-11 19:56:18.976960,2020-10-11 19:59:18.976960,3
0ffc-212,2020-10-11 19:56:18.888006,2020-10-11 19:59:18.888006,3
0ffc-208,2020-10-11 19:56:18.889345,2020-10-11 19:59:18.889345,5
0ffc-240,2020-10-11 19:56:18.923254,2020-10-11 19:59:18.923254,1
0ffc-19,2020-10-11 19:56:19.466611,2020-10-11 19:59:19.466611,6
0ffc-213,2020-10-11 19:56:18.889728,2020-10-11 19:59:18.889728,4
0ffc-135,2020-10-11 19:56:18.643617,2020-10-11 19:59:18.643617,1
0ffc-96,2020-10-11 19:56:18.558948,2020-10-11 19:59:18.558948,0
0ffc-156,2020-10-11 19:56:18.661382,2020-10-11 19:59:18.661382,4
0ffc-79,2020-10-11 19:56:18.468194,2020-10-11 19:59:18.468194,5
0ffc-226,2020-10-11 19:56:18.897585,2020-10-11 19:59:18.897585,4
0ffc-180,2020-10-11 19:56:18.778773,2020-10-11 19:59:18.778773,4
0ffc-35,2020-10-11 19:56:18.307149,2020-10-11 19:59:18.307149,5
0ffc-223,2020-10-11 19:56:18.884379,2020-10-11 19:59:18.884379,6
0ffc-18,2020-10-11 19:56:18.301446,2020-10-11 19:59:18.301446,5
0ffc-122,2020-10-11 19:56:18.622611,2020-10-11 19:59:18.622611,4
0ffc-220,2020-10-11 19:56:18.889827,2020-10-11 19:59:18.889827,3
0ffc-214,2020-10-11 19:56:18.887090,2020-10-11 19:59:18.887090,5
0ffc-31,2020-10-11 19:56:18.322184,2020-10-11 19:59:18.322184,3
0ffc-205,2020-10-11 19:56:18.789388,2020-10-11 19:59:18.789388,4
0ffc-183,2020-10-11 19:56:18.704342,2020-10-11 19:59:18.704342,4
0ffc-234,2020-10-11 19:56:18.921926,2020-10-11 19:59:18.921926,4
0ffc-150,2020-10-11 19:56:21.329134,2020-10-11 19:59:21.329134,4
0ffc-245,2020-10-11 19:56:18.923053,2020-10-11 19:59:18.923053,0
0ffc-86,2020-10-11 19:56:18.513010,2020-10-11 19:59:18.513010,6
0ffc-46,2020-10-11 19:56:18.362361,2020-10-11 19:59:18.362361,3
0ffc-211,2020-10-11 19:56:18.889497,2020-10-11 19:59:18.889497,4
0ffc-3,2020-10-11 19:56:19.444015,2020-10-11 19:59:19.444015,3
0ffc-258,2020-10-11 19:56:18.969365,2020-10-11 19:59:18.969365,3
0ffc-16,2020-10-11 19:56:18.288858,2020-10-11 19:59:18.288858,4
0ffc-50,2020-10-11 19:56:18.336586,2020-10-11 19:59:18.336586,5
0ffc-128,2020-10-11 19:56:18.622485,2020-10-11 19:59:18.622485,4
0ffc-198,2020-10-11 19:56:18.779344,2020-10-11 19:59:18.779344,4
0ffc-199,2020-10-11 19:56:18.794543,2020-10-11 19:59:18.794543,4
0ffc-82,2020-10-11 19:56:18.469165,2020-10-11 19:59:18.469165,5
0ffc-200,2020-10-11 19:56:18.703584,2020-10-11 19:59:18.703584,6
0ffc-207,2020-10-11 19:56:18.794326,2020-10-11 19:59:18.794326,4
0ffc-163,2020-10-11 19:56:18.673871,2020-10-11 19:59:18.673871,2
0ffc-161,2020-10-11 19:56:19.955484,2020-10-11 19:59:19.955484,5
0ffc-201,2020-10-11 19:56:18.700158,2020-10-11 19:59:18.700158,4
0ffc-38,2020-10-11 19:56:18.311056,2020-10-11 19:59:18.311056,4
0ffc-130,2020-10-11 19:56:18.644349,2020-10-11 19:59:18.644349,3
0ffc-276,2020-10-11 19:56:19.004268,2020-10-11 19:59:19.004268,0
0ffc-151,2020-10-11 19:56:18.649998,2020-10-11 19:59:18.649998,5
0ffc-51,2020-10-11 19:56:18.394570,2020-10-11 19:59:18.394570,2
0ffc-2,2020-10-11 19:56:21.213526,2020-10-11 19:59:21.213526,4
0ffc-184,2020-10-11 19:56:18.792441,2020-10-11 19:59:18.792441,5
0ffc-100,2020-10-11 19:56:18.512715,2020-10-11 19:59:18.512715,0
0ffc-1,2020-10-11 19:56:18.264508,2020-10-11 19:59:18.264508,5
0ffc-111,2020-10-11 19:56:18.583629,2020-10-11 19:59:18.583629,4
0ffc-157,2020-10-11 19:56:18.672626,2020-10-11 19:59:18.672626,4
0ffc-169,2020-10-11 19:56:18.674031,2020-10-11 19:59:18.674031,5
0ffc-206,2020-10-11 19:56:18.881150,2020-10-11 19:59:18.881150,4
0ffc-251,2020-10-11 19:56:18.954360,2020-10-11 19:59:18.954360,6
0ffc-107,2020-10-11 19:56:18.589358,2020-10-11 19:59:18.589358,4
0ffc-149,2020-10-11 19:56:18.649596,2020-10-11 19:59:18.649596,4
0ffc-210,2020-10-11 19:56:18.890119,2020-10-11 19:59:18.890119,5
0ffc-202,2020-10-11 19:56:18.778559,2020-10-11 19:59:18.778559,5
0ffc-270,2020-10-11 19:56:19.000660,2020-10-11 19:59:19.000660,3
0ffc-0,2020-10-11 19:56:21.199155,2020-10-11 19:59:21.199155,6
