GUID,Inicio,Fim,Contador
2928-119,2020-10-11 19:56:26.661227,2020-10-11 19:59:26.661227,6
2928-113,2020-10-11 19:56:26.664909,2020-10-11 19:59:26.664909,4
2928-90,2020-10-11 19:56:26.662659,2020-10-11 19:59:26.662659,5
2928-377,2020-10-11 19:56:35.339157,2020-10-11 19:59:35.339157,0
2928-353,2020-10-11 19:56:35.335932,2020-10-11 19:59:35.335932,0
2928-97,2020-10-11 19:56:26.664157,2020-10-11 19:59:26.664157,4
2928-424,2020-10-11 19:56:35.320340,2020-10-11 19:59:35.320340,1
2928-400,2020-10-11 19:56:35.237221,2020-10-11 19:59:35.237221,0
2928-458,2020-10-11 19:56:35.342730,2020-10-11 19:59:35.342730,0
2928-460,2020-10-11 19:56:35.243170,2020-10-11 19:59:35.243170,0
2928-492,2020-10-11 19:56:35.237926,2020-10-11 19:59:35.237926,1
2928-364,2020-10-11 19:56:35.243008,2020-10-11 19:59:35.243008,0
2928-125,2020-10-11 19:56:26.702567,2020-10-11 19:59:26.702567,4
2928-440,2020-10-11 19:56:35.235001,2020-10-11 19:59:35.235001,0
2928-362,2020-10-11 19:56:35.232740,2020-10-11 19:59:35.232740,1
2928-465,2020-10-11 19:56:35.322136,2020-10-11 19:59:35.322136,0
2928-419,2020-10-11 19:56:35.231301,2020-10-11 19:59:35.231301,0
2928-483,2020-10-11 19:56:35.297084,2020-10-11 19:59:35.297084,0
2928-385,2020-10-11 19:56:35.316196,2020-10-11 19:59:35.316196,0
2928-473,2020-10-11 19:56:35.321262,2020-10-11 19:59:35.321262,0
2928-94,2020-10-11 19:56:26.711887,2020-10-11 19:59:26.711887,4
2928-348,2020-10-11 19:56:35.319183,2020-10-11 19:59:35.319183,0
2928-447,2020-10-11 19:56:35.234807,2020-10-11 19:59:35.234807,0
2928-342,2020-10-11 19:56:35.231359,2020-10-11 19:59:35.231359,0
2928-416,2020-10-11 19:56:35.319015,2020-10-11 19:59:35.319015,0
2928-363,2020-10-11 19:56:35.354362,2020-10-11 19:59:35.354362,0
2928-477,2020-10-11 19:56:35.318098,2020-10-11 19:59:35.318098,0
2928-488,2020-10-11 19:56:35.232635,2020-10-11 19:59:35.232635,0
2928-421,2020-10-11 19:56:35.290822,2020-10-11 19:59:35.290822,0
2928-381,2020-10-11 19:56:35.318874,2020-10-11 19:59:35.318874,0
2928-375,2020-10-11 19:56:35.336808,2020-10-11 19:59:35.336808,0
2928-463,2020-10-11 19:56:35.368090,2020-10-11 19:59:35.368090,0
2928-448,2020-10-11 19:56:35.342826,2020-10-11 19:59:35.342826,0
2928-380,2020-10-11 19:56:35.237985,2020-10-11 19:59:35.237985,2
2928-436,2020-10-11 19:56:35.341065,2020-10-11 19:59:35.341065,0
2928-495,2020-10-11 19:56:35.237519,2020-10-11 19:59:35.237519,1
2928-457,2020-10-11 19:56:35.350127,2020-10-11 19:59:35.350127,0
2928-455,2020-10-11 19:56:35.296592,2020-10-11 19:59:35.296592,0
2928-117,2020-10-11 19:56:26.665233,2020-10-11 19:59:26.665233,5
2928-478,2020-10-11 19:56:35.317996,2020-10-11 19:59:35.317996,0
2928-441,2020-10-11 19:56:35.337435,2020-10-11 19:59:35.337435,0
2928-432,2020-10-11 19:56:35.315772,2020-10-11 19:59:35.315772,0
2928-442,2020-10-11 19:56:35.237357,2020-10-11 19:59:35.237357,0
2928-428,2020-10-11 19:56:35.335805,2020-10-11 19:59:35.335805,0
2928-489,2020-10-11 19:56:35.232538,2020-10-11 19:59:35.232538,1
2928-114,2020-10-11 19:56:26.665126,2020-10-11 19:59:26.665126,3
2928-365,2020-10-11 19:56:35.321882,2020-10-11 19:59:35.321882,0
2928-384,2020-10-11 19:56:35.297628,2020-10-11 19:59:35.297628,1
2928-358,2020-10-11 19:56:35.322386,2020-10-11 19:59:35.322386,0
2928-415,2020-10-11 19:56:35.290509,2020-10-11 19:59:35.290509,0
2928-494,2020-10-11 19:56:35.226101,2020-10-11 19:59:35.226101,0
2928-91,2020-10-11 19:56:26.662216,2020-10-11 19:59:26.662216,4
2928-487,2020-10-11 19:56:35.237418,2020-10-11 19:59:35.237418,0
2928-486,2020-10-11 19:56:35.236806,2020-10-11 19:59:35.236806,0
2928-401,2020-10-11 19:56:35.354264,2020-10-11 19:59:35.354264,0
2928-130,2020-10-11 19:56:26.664442,2020-10-11 19:59:26.664442,5
2928-435,2020-10-11 19:56:35.317348,2020-10-11 19:59:35.317348,0
2928-399,2020-10-11 19:56:35.361746,2020-10-11 19:59:35.361746,0
2928-420,2020-10-11 19:56:35.229412,2020-10-11 19:59:35.229412,1
2928-491,2020-10-11 19:56:35.289312,2020-10-11 19:59:35.289312,0
2928-461,2020-10-11 19:56:35.238734,2020-10-11 19:59:35.238734,1
2928-402,2020-10-11 19:56:35.235991,2020-10-11 19:59:35.235991,0
2928-433,2020-10-11 19:56:35.237838,2020-10-11 19:59:35.237838,0
2928-453,2020-10-11 19:56:35.361318,2020-10-11 19:59:35.361318,1
2928-466,2020-10-11 19:56:35.353255,2020-10-11 19:59:35.353255,0
2928-127,2020-10-11 19:56:26.656673,2020-10-11 19:59:26.656673,5
2928-124,2020-10-11 19:56:26.712008,2020-10-11 19:59:26.712008,4
2928-387,2020-10-11 19:56:35.320573,2020-10-11 19:59:35.320573,0
2928-126,2020-10-11 19:56:26.665345,2020-10-11 19:59:26.665345,5
2928-431,2020-10-11 19:56:35.227914,2020-10-11 19:59:35.227914,1
2928-366,2020-10-11 19:56:35.243848,2020-10-11 19:59:35.243848,0
2928-396,2020-10-11 19:56:35.238127,2020-10-11 19:59:35.238127,1
2928-462,2020-10-11 19:56:35.241793,2020-10-11 19:59:35.241793,0
2928-388,2020-10-11 19:56:35.338849,2020-10-11 19:59:35.338849,0
2928-499,2020-10-11 19:56:35.289420,2020-10-11 19:59:35.289420,0
2928-379,2020-10-11 19:56:35.315889,2020-10-11 19:59:35.315889,0
2928-340,2020-10-11 19:56:35.318747,2020-10-11 19:59:35.318747,4
2928-444,2020-10-11 19:56:35.243601,2020-10-11 19:59:35.243601,0
2928-452,2020-10-11 19:56:35.339024,2020-10-11 19:59:35.339024,0
2928-390,2020-10-11 19:56:35.339482,2020-10-11 19:59:35.339482,0
2928-345,2020-10-11 19:56:35.238616,2020-10-11 19:59:35.238616,0
2928-352,2020-10-11 19:56:35.342614,2020-10-11 19:59:35.342614,1
2928-476,2020-10-11 19:56:35.242727,2020-10-11 19:59:35.242727,2
2928-104,2020-10-11 19:56:26.665015,2020-10-11 19:59:26.665015,4
2928-426,2020-10-11 19:56:35.342175,2020-10-11 19:59:35.342175,0
2928-383,2020-10-11 19:56:35.322009,2020-10-11 19:59:35.322009,0
2928-484,2020-10-11 19:56:35.322261,2020-10-11 19:59:35.322261,0
2928-497,2020-10-11 19:56:35.238076,2020-10-11 19:59:35.238076,1
2928-376,2020-10-11 19:56:35.231462,2020-10-11 19:59:35.231462,0
2928-493,2020-10-11 19:56:35.234635,2020-10-11 19:59:35.234635,0
2928-347,2020-10-11 19:56:35.352908,2020-10-11 19:59:35.352908,0
2928-468,2020-10-11 19:56:35.288978,2020-10-11 19:59:35.288978,0
2928-450,2020-10-11 19:56:35.289770,2020-10-11 19:59:35.289770,0
2928-482,2020-10-11 19:56:35.288231,2020-10-11 19:59:35.288231,0
2928-378,2020-10-11 19:56:35.312989,2020-10-11 19:59:35.312989,1
2928-438,2020-10-11 19:56:35.243271,2020-10-11 19:59:35.243271,0
2928-121,2020-10-11 19:56:26.661508,2020-10-11 19:59:26.661508,4
2928-89,2020-10-11 19:56:26.711123,2020-10-11 19:59:26.711123,6
2928-343,2020-10-11 19:56:35.337373,2020-10-11 19:59:35.337373,0
2928-391,2020-10-11 19:56:35.316591,2020-10-11 19:59:35.316591,0
2928-382,2020-10-11 19:56:35.232841,2020-10-11 19:59:35.232841,0
2928-443,2020-10-11 19:56:35.342004,2020-10-11 19:59:35.342004,0
2928-459,2020-10-11 19:56:35.354164,2020-10-11 19:59:35.354164,0
2928-389,2020-10-11 19:56:35.311820,2020-10-11 19:59:35.311820,0
2928-429,2020-10-11 19:56:35.233458,2020-10-11 19:59:35.233458,1
2928-412,2020-10-11 19:57:49.070652,2020-10-11 20:00:49.070652,0
2928-456,2020-10-11 19:57:49.072960,2020-10-11 20:00:49.072960,0
2928-474,2020-10-11 19:58:09.938024,2020-10-11 20:01:09.938024,0
2928-490,2020-10-11 19:58:09.915889,2020-10-11 20:01:09.915889,0
2928-475,2020-10-11 19:58:09.909035,2020-10-11 20:01:09.909035,0
2928-480,2020-10-11 19:58:09.939187,2020-10-11 20:01:09.939187,0
2928-109,2020-10-11 19:58:29.174207,2020-10-11 20:01:29.174207,4
2928-87,2020-10-11 19:58:29.173901,2020-10-11 20:01:29.173901,5
2928-355,2020-10-11 19:57:49.072238,2020-10-11 20:00:49.072238,1
2928-481,2020-10-11 19:58:09.938647,2020-10-11 20:01:09.938647,0
2928-469,2020-10-11 19:58:09.939065,2020-10-11 20:01:09.939065,0
2928-108,2020-10-11 19:58:52.823098,2020-10-11 20:01:52.823098,4
2928-103,2020-10-11 19:58:52.822409,2020-10-11 20:01:52.822409,4
2928-470,2020-10-11 19:58:09.939302,2020-10-11 20:01:09.939302,0
2928-112,2020-10-11 19:58:50.366902,2020-10-11 20:01:50.366902,5
2928-479,2020-10-11 19:58:09.936042,2020-10-11 20:01:09.936042,0
