GUID,Inicio,Fim,Contador
40ef-7,2020-10-11 19:56:16.346892,2020-10-11 19:59:16.346892,4
40ef-76,2020-10-11 19:56:16.616725,2020-10-11 19:59:16.616725,4
40ef-52,2020-10-11 19:56:16.564401,2020-10-11 19:59:16.564401,5
40ef-33,2020-10-11 19:56:16.542098,2020-10-11 19:59:16.542098,5
40ef-26,2020-10-11 19:56:16.625802,2020-10-11 19:59:16.625802,3
40ef-0,2020-10-11 19:56:16.346824,2020-10-11 19:59:16.346824,4
40ef-193,2020-10-11 19:56:17.254818,2020-10-11 19:59:17.254818,5
40ef-209,2020-10-11 19:56:17.370540,2020-10-11 19:59:17.370540,1
40ef-240,2020-10-11 19:56:17.572942,2020-10-11 19:59:17.572942,0
40ef-246,2020-10-11 19:56:17.576859,2020-10-11 19:59:17.576859,1
40ef-35,2020-10-11 19:56:16.612085,2020-10-11 19:59:16.612085,5
40ef-287,2020-10-11 19:56:17.834538,2020-10-11 19:59:17.834538,5
40ef-191,2020-10-11 19:56:17.294311,2020-10-11 19:59:17.294311,4
40ef-179,2020-10-11 19:56:17.251348,2020-10-11 19:59:17.251348,5
40ef-58,2020-10-11 19:56:16.547842,2020-10-11 19:59:16.547842,3
40ef-355,2020-10-11 19:56:18.081057,2020-10-11 19:59:18.081057,0
40ef-205,2020-10-11 19:56:17.370456,2020-10-11 19:59:17.370456,3
40ef-489,2020-10-11 19:56:18.513881,2020-10-11 19:59:18.513881,0
40ef-263,2020-10-11 19:56:17.644563,2020-10-11 19:59:17.644563,4
40ef-1,2020-10-11 19:56:16.347947,2020-10-11 19:59:16.347947,6
40ef-143,2020-10-11 19:56:16.875836,2020-10-11 19:59:16.875836,0
40ef-137,2020-10-11 19:56:16.875933,2020-10-11 19:59:16.875933,3
40ef-90,2020-10-11 19:56:16.620315,2020-10-11 19:59:16.620315,3
40ef-211,2020-10-11 19:56:17.406639,2020-10-11 19:59:17.406639,4
40ef-9,2020-10-11 19:56:16.485975,2020-10-11 19:59:16.485975,4
40ef-354,2020-10-11 19:56:18.025694,2020-10-11 19:59:18.025694,0
40ef-17,2020-10-11 19:56:16.492263,2020-10-11 19:59:16.492263,5
40ef-10,2020-10-11 19:56:16.489985,2020-10-11 19:59:16.489985,4
40ef-3,2020-10-11 19:56:16.347126,2020-10-11 19:59:16.347126,5
40ef-43,2020-10-11 19:56:16.506587,2020-10-11 19:59:16.506587,4
40ef-429,2020-10-11 19:56:18.286198,2020-10-11 19:59:18.286198,0
40ef-167,2020-10-11 19:56:17.057254,2020-10-11 19:59:17.057254,4
40ef-248,2020-10-11 19:56:17.575681,2020-10-11 19:59:17.575681,3
40ef-359,2020-10-11 19:56:18.025154,2020-10-11 19:59:18.025154,0
40ef-266,2020-10-11 19:56:17.692181,2020-10-11 19:59:17.692181,5
40ef-236,2020-10-11 19:56:17.516069,2020-10-11 19:59:17.516069,4
40ef-164,2020-10-11 19:56:17.014275,2020-10-11 19:59:17.014275,0
40ef-474,2020-10-11 19:56:18.471415,2020-10-11 19:59:18.471415,0
40ef-108,2020-10-11 19:56:16.760175,2020-10-11 19:59:16.760175,4
40ef-257,2020-10-11 19:56:17.642204,2020-10-11 19:59:17.642204,4
40ef-29,2020-10-11 19:56:16.638228,2020-10-11 19:59:16.638228,3
40ef-190,2020-10-11 19:56:17.291556,2020-10-11 19:59:17.291556,1
40ef-12,2020-10-11 19:56:16.490529,2020-10-11 19:59:16.490529,4
40ef-280,2020-10-11 19:56:17.791973,2020-10-11 19:59:17.791973,3
40ef-42,2020-10-11 19:56:16.615923,2020-10-11 19:59:16.615923,5
40ef-298,2020-10-11 19:56:17.882734,2020-10-11 19:59:17.882734,0
40ef-443,2020-10-11 19:56:21.217319,2020-10-11 19:59:21.217319,0
40ef-237,2020-10-11 19:56:17.514064,2020-10-11 19:59:17.514064,4
40ef-479,2020-10-11 19:56:18.472649,2020-10-11 19:59:18.472649,0
40ef-194,2020-10-11 19:56:17.249623,2020-10-11 19:59:17.249623,4
40ef-335,2020-10-11 19:56:17.949902,2020-10-11 19:59:17.949902,3
40ef-390,2020-10-11 19:56:18.150334,2020-10-11 19:59:18.150334,0
40ef-78,2020-10-11 19:56:16.628151,2020-10-11 19:59:16.628151,5
40ef-189,2020-10-11 19:56:17.246283,2020-10-11 19:59:17.246283,1
40ef-345,2020-10-11 19:56:18.078839,2020-10-11 19:59:18.078839,0
40ef-384,2020-10-11 19:56:18.095217,2020-10-11 19:59:18.095217,0
40ef-264,2020-10-11 19:56:17.692817,2020-10-11 19:59:17.692817,5
40ef-383,2020-10-11 19:56:18.097460,2020-10-11 19:59:18.097460,0
40ef-20,2020-10-11 19:56:16.542461,2020-10-11 19:59:16.542461,5
40ef-158,2020-10-11 19:56:16.969047,2020-10-11 19:59:16.969047,5
40ef-222,2020-10-11 19:56:17.472943,2020-10-11 19:59:17.472943,5
40ef-98,2020-10-11 19:56:16.663316,2020-10-11 19:59:16.663316,4
40ef-152,2020-10-11 19:56:16.924381,2020-10-11 19:59:16.924381,1
40ef-478,2020-10-11 19:56:18.496110,2020-10-11 19:59:18.496110,0
40ef-260,2020-10-11 19:56:17.648229,2020-10-11 19:59:17.648229,5
40ef-145,2020-10-11 19:56:16.921114,2020-10-11 19:59:16.921114,1
40ef-480,2020-10-11 19:56:18.496772,2020-10-11 19:59:18.496772,0
40ef-418,2020-10-11 19:56:18.188956,2020-10-11 19:59:18.188956,0
40ef-386,2020-10-11 19:56:18.097003,2020-10-11 19:59:18.097003,0
40ef-269,2020-10-11 19:56:17.690452,2020-10-11 19:59:17.690452,3
40ef-423,2020-10-11 19:56:18.230026,2020-10-11 19:59:18.230026,0
40ef-276,2020-10-11 19:56:17.750214,2020-10-11 19:59:17.750214,1
40ef-428,2020-10-11 19:56:18.301495,2020-10-11 19:59:18.301495,0
