GUID,Inicio,Fim,Contador
558f-219,2020-10-11 19:59:15.009407,2020-10-11 20:02:15.009407,5
558f-189,2020-10-11 19:59:15.010460,2020-10-11 20:02:15.010460,4
558f-171,2020-10-11 19:59:15.011453,2020-10-11 20:02:15.011453,5
558f-177,2020-10-11 19:59:15.010870,2020-10-11 20:02:15.010870,5
558f-232,2020-10-11 19:59:15.009168,2020-10-11 20:02:15.009168,5
558f-2,2020-10-11 20:00:58.902008,2020-10-11 20:03:58.902008,6
558f-1,2020-10-11 20:00:58.902685,2020-10-11 20:03:58.902685,4
558f-312,2020-10-11 20:03:18.323884,2020-10-11 20:06:18.323884,3
558f-248,2020-10-11 20:03:18.322901,2020-10-11 20:06:18.322901,5
558f-375,2020-10-11 20:03:18.323741,2020-10-11 20:06:18.323741,1
558f-128,2020-10-11 20:05:10.343677,2020-10-11 20:08:10.343677,5
558f-445,2020-10-11 20:05:38.360475,2020-10-11 20:08:38.360475,0
558f-260,2020-10-11 20:05:31.734270,2020-10-11 20:08:31.734270,5
558f-19,2020-10-11 20:07:30.908184,2020-10-11 20:10:30.908184,6
558f-87,2020-10-11 20:07:30.907513,2020-10-11 20:10:30.907513,4
558f-163,2020-10-11 20:06:44.979071,2020-10-11 20:09:44.979071,4
558f-222,2020-10-11 20:06:44.979314,2020-10-11 20:09:44.979314,5
558f-25,2020-10-11 20:07:30.907291,2020-10-11 20:10:30.907291,4
558f-9,2020-10-11 20:08:33.096663,2020-10-11 20:11:33.096663,4
558f-11,2020-10-11 20:08:33.069679,2020-10-11 20:11:33.069679,4
558f-6,2020-10-11 20:08:33.097427,2020-10-11 20:11:33.097427,4
558f-164,2020-10-11 20:10:17.792591,2020-10-11 20:13:17.792591,5
558f-320,2020-10-11 20:10:50.148164,2020-10-11 20:13:50.148164,5
558f-53,2020-10-11 20:14:44.929583,2020-10-11 20:17:44.929583,5
558f-203,2020-10-11 20:16:09.456812,2020-10-11 20:19:09.456812,4
558f-349,2020-10-11 20:16:09.352578,2020-10-11 20:19:09.352578,0
558f-123,2020-10-11 20:16:58.251859,2020-10-11 20:19:58.251859,5
558f-447,2020-10-11 20:17:53.300329,2020-10-11 20:20:53.300329,0
558f-72,2020-10-11 20:18:18.617649,2020-10-11 20:21:18.617649,0
558f-125,2020-10-11 20:18:18.672056,2020-10-11 20:21:18.672056,0
558f-351,2020-10-11 20:18:18.976930,2020-10-11 20:21:18.976930,0
558f-196,2020-10-11 20:18:18.811519,2020-10-11 20:21:18.811519,0
558f-105,2020-10-11 20:18:18.634206,2020-10-11 20:21:18.634206,0
558f-209,2020-10-11 20:18:18.865802,2020-10-11 20:21:18.865802,0
558f-294,2020-10-11 20:18:18.893261,2020-10-11 20:21:18.893261,0
558f-159,2020-10-11 20:18:18.772282,2020-10-11 20:21:18.772282,0
558f-262,2020-10-11 20:18:18.892258,2020-10-11 20:21:18.892258,0
558f-411,2020-10-11 20:18:18.993136,2020-10-11 20:21:18.993136,0
558f-385,2020-10-11 20:18:18.940228,2020-10-11 20:21:18.940228,0
558f-156,2020-10-11 20:18:18.727766,2020-10-11 20:21:18.727766,0
558f-160,2020-10-11 20:18:18.754234,2020-10-11 20:21:18.754234,0
558f-180,2020-10-11 20:18:18.837698,2020-10-11 20:21:18.837698,0
558f-275,2020-10-11 20:18:18.809774,2020-10-11 20:21:18.809774,0
558f-482,2020-10-11 20:18:19.086512,2020-10-11 20:21:19.086512,0
558f-140,2020-10-11 20:18:18.785777,2020-10-11 20:21:18.785777,0
558f-441,2020-10-11 20:18:19.042600,2020-10-11 20:21:19.042600,0
558f-109,2020-10-11 20:18:18.652246,2020-10-11 20:21:18.652246,0
558f-202,2020-10-11 20:18:18.811663,2020-10-11 20:21:18.811663,0
558f-480,2020-10-11 20:18:19.048947,2020-10-11 20:21:19.048947,0
558f-35,2020-10-11 20:18:18.728043,2020-10-11 20:21:18.728043,0
558f-442,2020-10-11 20:18:19.034578,2020-10-11 20:21:19.034578,0
558f-178,2020-10-11 20:18:18.810810,2020-10-11 20:21:18.810810,0
558f-255,2020-10-11 20:18:19.025983,2020-10-11 20:21:19.025983,0
558f-39,2020-10-11 20:18:18.673035,2020-10-11 20:21:18.673035,0
558f-420,2020-10-11 20:18:18.998062,2020-10-11 20:21:18.998062,0
558f-175,2020-10-11 20:18:18.804428,2020-10-11 20:21:18.804428,0
558f-168,2020-10-11 20:18:18.767044,2020-10-11 20:21:18.767044,0
558f-429,2020-10-11 20:18:18.977427,2020-10-11 20:21:18.977427,0
558f-408,2020-10-11 20:18:19.027717,2020-10-11 20:21:19.027717,0
558f-321,2020-10-11 20:18:18.918026,2020-10-11 20:21:18.918026,0
558f-366,2020-10-11 20:18:19.037613,2020-10-11 20:21:19.037613,0
558f-65,2020-10-11 20:18:18.688251,2020-10-11 20:21:18.688251,0
558f-327,2020-10-11 20:18:19.029246,2020-10-11 20:21:19.029246,0
558f-60,2020-10-11 20:18:18.666357,2020-10-11 20:21:18.666357,0
558f-334,2020-10-11 20:18:19.022647,2020-10-11 20:21:19.022647,0
558f-496,2020-10-11 20:18:19.087645,2020-10-11 20:21:19.087645,0
558f-413,2020-10-11 20:18:19.000235,2020-10-11 20:21:19.000235,0
