GUID,Inicio,Fim,Contador
7f16-351,2020-10-11 19:56:46.814776,2020-10-11 19:59:46.814776,0
7f16-186,2020-10-11 19:58:11.512704,2020-10-11 20:01:11.512704,4
7f16-108,2020-10-11 19:58:11.513722,2020-10-11 20:01:11.513722,4
7f16-91,2020-10-11 19:58:11.510902,2020-10-11 20:01:11.510902,3
7f16-158,2020-10-11 19:58:25.395717,2020-10-11 20:01:25.395717,4
7f16-117,2020-10-11 19:58:11.645258,2020-10-11 20:01:11.645258,4
7f16-132,2020-10-11 19:58:11.644100,2020-10-11 20:01:11.644100,4
7f16-141,2020-10-11 19:58:01.982467,2020-10-11 20:01:01.982467,5
7f16-99,2020-10-11 19:58:11.644465,2020-10-11 20:01:11.644465,4
7f16-118,2020-10-11 19:58:11.511478,2020-10-11 20:01:11.511478,4
7f16-105,2020-10-11 19:58:11.513116,2020-10-11 20:01:11.513116,4
7f16-130,2020-10-11 19:58:11.642318,2020-10-11 20:01:11.642318,4
7f16-107,2020-10-11 19:58:11.513968,2020-10-11 20:01:11.513968,5
7f16-325,2020-10-11 20:00:58.825632,2020-10-11 20:03:58.825632,4
7f16-329,2020-10-11 20:00:58.824382,2020-10-11 20:03:58.824382,6
7f16-352,2020-10-11 20:00:58.901908,2020-10-11 20:03:58.901908,0
7f16-349,2020-10-11 20:00:58.825735,2020-10-11 20:03:58.825735,0
7f16-66,2020-10-11 20:02:01.813629,2020-10-11 20:05:01.813629,4
7f16-194,2020-10-11 20:05:23.354684,2020-10-11 20:08:23.354684,7
7f16-134,2020-10-11 20:05:23.355515,2020-10-11 20:08:23.355515,4
7f16-149,2020-10-11 20:05:23.354913,2020-10-11 20:08:23.354913,4
7f16-2,2020-10-11 20:07:08.018858,2020-10-11 20:10:08.018858,6
7f16-20,2020-10-11 20:07:08.017489,2020-10-11 20:10:08.017489,4
7f16-13,2020-10-11 20:07:08.019068,2020-10-11 20:10:08.019068,5
7f16-12,2020-10-11 20:07:08.015179,2020-10-11 20:10:08.015179,5
7f16-387,2020-10-11 20:07:30.906648,2020-10-11 20:10:30.906648,0
7f16-67,2020-10-11 20:07:08.017968,2020-10-11 20:10:08.017968,4
7f16-440,2020-10-11 20:07:30.909062,2020-10-11 20:10:30.909062,0
7f16-336,2020-10-11 20:07:30.803454,2020-10-11 20:10:30.803454,0
7f16-495,2020-10-11 20:07:30.908509,2020-10-11 20:10:30.908509,0
7f16-463,2020-10-11 20:07:30.909015,2020-10-11 20:10:30.909015,0
7f16-378,2020-10-11 20:08:33.096635,2020-10-11 20:11:33.096635,0
7f16-191,2020-10-11 20:09:44.498578,2020-10-11 20:12:44.498578,3
7f16-84,2020-10-11 20:11:19.217864,2020-10-11 20:14:19.217864,5
7f16-30,2020-10-11 20:13:01.517246,2020-10-11 20:16:01.517246,6
7f16-272,2020-10-11 20:14:37.254484,2020-10-11 20:17:37.254484,4
7f16-150,2020-10-11 20:14:37.251379,2020-10-11 20:17:37.251379,4
7f16-173,2020-10-11 20:15:06.570928,2020-10-11 20:18:06.570928,5
7f16-419,2020-10-11 20:16:09.456524,2020-10-11 20:19:09.456524,0
7f16-195,2020-10-11 20:17:11.874888,2020-10-11 20:20:11.874888,5
7f16-46,2020-10-11 20:17:11.874699,2020-10-11 20:20:11.874699,6
7f16-78,2020-10-11 20:18:18.265467,2020-10-11 20:21:18.265467,0
7f16-299,2020-10-11 20:18:18.529713,2020-10-11 20:21:18.529713,0
7f16-254,2020-10-11 20:18:18.447108,2020-10-11 20:21:18.447108,0
7f16-270,2020-10-11 20:18:18.534938,2020-10-11 20:21:18.534938,0
7f16-229,2020-10-11 20:18:18.522697,2020-10-11 20:21:18.522697,0
7f16-10,2020-10-11 20:18:18.183275,2020-10-11 20:21:18.183275,0
7f16-355,2020-10-11 20:18:18.577198,2020-10-11 20:21:18.577198,0
7f16-449,2020-10-11 20:18:18.694429,2020-10-11 20:21:18.694429,0
7f16-8,2020-10-11 20:18:18.190072,2020-10-11 20:21:18.190072,0
7f16-240,2020-10-11 20:18:18.400708,2020-10-11 20:21:18.400708,0
7f16-311,2020-10-11 20:18:18.479123,2020-10-11 20:21:18.479123,0
7f16-6,2020-10-11 20:18:18.089658,2020-10-11 20:21:18.089658,0
7f16-290,2020-10-11 20:18:18.576752,2020-10-11 20:21:18.576752,0
7f16-431,2020-10-11 20:18:18.654690,2020-10-11 20:21:18.654690,0
7f16-394,2020-10-11 20:18:18.615284,2020-10-11 20:21:18.615284,0
7f16-25,2020-10-11 20:18:18.287659,2020-10-11 20:21:18.287659,0
7f16-326,2020-10-11 20:18:18.586680,2020-10-11 20:21:18.586680,0
7f16-422,2020-10-11 20:18:18.697605,2020-10-11 20:21:18.697605,0
7f16-200,2020-10-11 20:18:18.288575,2020-10-11 20:21:18.288575,0
7f16-322,2020-10-11 20:18:18.575004,2020-10-11 20:21:18.575004,0
7f16-74,2020-10-11 20:18:18.199658,2020-10-11 20:21:18.199658,0
7f16-489,2020-10-11 20:18:18.718095,2020-10-11 20:21:18.718095,0
7f16-40,2020-10-11 20:18:18.264952,2020-10-11 20:21:18.264952,0
7f16-41,2020-10-11 20:18:18.316779,2020-10-11 20:21:18.316779,0
7f16-283,2020-10-11 20:18:18.424404,2020-10-11 20:21:18.424404,0
7f16-454,2020-10-11 20:18:18.744118,2020-10-11 20:21:18.744118,0
7f16-160,2020-10-11 20:18:18.360715,2020-10-11 20:21:18.360715,0
7f16-128,2020-10-11 20:18:18.390050,2020-10-11 20:21:18.390050,0
7f16-100,2020-10-11 20:18:18.299252,2020-10-11 20:21:18.299252,0
7f16-480,2020-10-11 20:18:18.727602,2020-10-11 20:21:18.727602,0
7f16-159,2020-10-11 20:18:18.425004,2020-10-11 20:21:18.425004,0
7f16-113,2020-10-11 20:18:18.423436,2020-10-11 20:21:18.423436,0
7f16-109,2020-10-11 20:18:18.287995,2020-10-11 20:21:18.287995,0
7f16-312,2020-10-11 20:18:18.574367,2020-10-11 20:21:18.574367,0
7f16-403,2020-10-11 20:18:18.578262,2020-10-11 20:21:18.578262,0
7f16-202,2020-10-11 20:18:18.519902,2020-10-11 20:21:18.519902,0
7f16-308,2020-10-11 20:18:18.588812,2020-10-11 20:21:18.588812,0
7f16-183,2020-10-11 20:18:18.394089,2020-10-11 20:21:18.394089,0
7f16-190,2020-10-11 20:18:18.402272,2020-10-11 20:21:18.402272,0
7f16-73,2020-10-11 20:18:18.278458,2020-10-11 20:21:18.278458,0
7f16-1,2020-10-11 20:18:18.236941,2020-10-11 20:21:18.236941,0
7f16-252,2020-10-11 20:18:18.571504,2020-10-11 20:21:18.571504,0
7f16-139,2020-10-11 20:18:18.403248,2020-10-11 20:21:18.403248,0
7f16-180,2020-10-11 20:18:18.329045,2020-10-11 20:21:18.329045,0
7f16-114,2020-10-11 20:18:18.285484,2020-10-11 20:21:18.285484,0
7f16-257,2020-10-11 20:18:18.585029,2020-10-11 20:21:18.585029,0
7f16-397,2020-10-11 20:18:18.574518,2020-10-11 20:21:18.574518,0
7f16-175,2020-10-11 20:18:18.380188,2020-10-11 20:21:18.380188,0
7f16-5,2020-10-11 20:18:18.107973,2020-10-11 20:21:18.107973,0
7f16-204,2020-10-11 20:18:18.481857,2020-10-11 20:21:18.481857,0
7f16-44,2020-10-11 20:18:18.273352,2020-10-11 20:21:18.273352,0
7f16-267,2020-10-11 20:18:18.572867,2020-10-11 20:21:18.572867,0
7f16-264,2020-10-11 20:18:18.478910,2020-10-11 20:21:18.478910,0
7f16-303,2020-10-11 20:18:18.569744,2020-10-11 20:21:18.569744,0
7f16-307,2020-10-11 20:18:18.568569,2020-10-11 20:21:18.568569,0
7f16-273,2020-10-11 20:18:18.531437,2020-10-11 20:21:18.531437,0
7f16-260,2020-10-11 20:18:18.572513,2020-10-11 20:21:18.572513,0
7f16-433,2020-10-11 20:18:18.634060,2020-10-11 20:21:18.634060,0
7f16-328,2020-10-11 20:18:18.548752,2020-10-11 20:21:18.548752,0
7f16-447,2020-10-11 20:18:18.729166,2020-10-11 20:21:18.729166,0
7f16-65,2020-10-11 20:18:18.291817,2020-10-11 20:21:18.291817,0
7f16-33,2020-10-11 20:18:18.317990,2020-10-11 20:21:18.317990,0
7f16-364,2020-10-11 20:18:18.591135,2020-10-11 20:21:18.591135,0
7f16-420,2020-10-11 20:18:18.722370,2020-10-11 20:21:18.722370,0
7f16-193,2020-10-11 20:18:18.424955,2020-10-11 20:21:18.424955,0
7f16-295,2020-10-11 20:18:18.589772,2020-10-11 20:21:18.589772,0
7f16-69,2020-10-11 20:18:18.224672,2020-10-11 20:21:18.224672,0
7f16-209,2020-10-11 20:18:18.493701,2020-10-11 20:21:18.493701,0
7f16-251,2020-10-11 20:18:18.581574,2020-10-11 20:21:18.581574,0
7f16-341,2020-10-11 20:18:18.696296,2020-10-11 20:21:18.696296,0
7f16-304,2020-10-11 20:18:18.591065,2020-10-11 20:21:18.591065,0
7f16-87,2020-10-11 20:18:18.299943,2020-10-11 20:21:18.299943,0
7f16-218,2020-10-11 20:18:18.414791,2020-10-11 20:21:18.414791,0
7f16-15,2020-10-11 20:18:18.215779,2020-10-11 20:21:18.215779,0
7f16-393,2020-10-11 20:18:18.615629,2020-10-11 20:21:18.615629,0
7f16-72,2020-10-11 20:18:18.274700,2020-10-11 20:21:18.274700,0
7f16-17,2020-10-11 20:18:18.157527,2020-10-11 20:21:18.157527,0
7f16-110,2020-10-11 20:18:18.402516,2020-10-11 20:21:18.402516,0
7f16-473,2020-10-11 20:18:18.727500,2020-10-11 20:21:18.727500,0
7f16-9,2020-10-11 20:18:18.230176,2020-10-11 20:21:18.230176,0
7f16-412,2020-10-11 20:18:18.689609,2020-10-11 20:21:18.689609,0
7f16-305,2020-10-11 20:18:18.586262,2020-10-11 20:21:18.586262,0
7f16-244,2020-10-11 20:18:18.489069,2020-10-11 20:21:18.489069,0
7f16-47,2020-10-11 20:18:18.199601,2020-10-11 20:21:18.199601,0
7f16-493,2020-10-11 20:18:18.666041,2020-10-11 20:21:18.666041,0
7f16-181,2020-10-11 20:18:18.278580,2020-10-11 20:21:18.278580,0
7f16-338,2020-10-11 20:18:18.579595,2020-10-11 20:21:18.579595,0
7f16-494,2020-10-11 20:18:18.698627,2020-10-11 20:21:18.698627,0
7f16-335,2020-10-11 20:18:18.591383,2020-10-11 20:21:18.591383,0
7f16-413,2020-10-11 20:18:18.688535,2020-10-11 20:21:18.688535,0
7f16-475,2020-10-11 20:18:18.724089,2020-10-11 20:21:18.724089,0
7f16-168,2020-10-11 20:18:18.379734,2020-10-11 20:21:18.379734,0
7f16-414,2020-10-11 20:18:18.670801,2020-10-11 20:21:18.670801,0
7f16-49,2020-10-11 20:18:18.276919,2020-10-11 20:21:18.276919,0
7f16-281,2020-10-11 20:18:18.589451,2020-10-11 20:21:18.589451,0
7f16-360,2020-10-11 20:18:18.589137,2020-10-11 20:21:18.589137,0
7f16-289,2020-10-11 20:18:18.484750,2020-10-11 20:21:18.484750,0
7f16-452,2020-10-11 20:18:18.723310,2020-10-11 20:21:18.723310,0
7f16-320,2020-10-11 20:18:18.537221,2020-10-11 20:21:18.537221,0
7f16-374,2020-10-11 20:18:18.549299,2020-10-11 20:21:18.549299,0
7f16-492,2020-10-11 20:18:18.748561,2020-10-11 20:21:18.748561,0
7f16-315,2020-10-11 20:18:18.571753,2020-10-11 20:21:18.571753,0
7f16-482,2020-10-11 20:18:18.722497,2020-10-11 20:21:18.722497,0
7f16-144,2020-10-11 20:18:18.313982,2020-10-11 20:21:18.313982,0
7f16-245,2020-10-11 20:18:18.394137,2020-10-11 20:21:18.394137,0
7f16-277,2020-10-11 20:18:18.532320,2020-10-11 20:21:18.532320,0
7f16-90,2020-10-11 20:18:18.380597,2020-10-11 20:21:18.380597,0
7f16-483,2020-10-11 20:18:18.649153,2020-10-11 20:21:18.649153,0
7f16-119,2020-10-11 20:18:18.572577,2020-10-11 20:21:18.572577,0
7f16-176,2020-10-11 20:18:18.493361,2020-10-11 20:21:18.493361,0
7f16-80,2020-10-11 20:18:18.190022,2020-10-11 20:21:18.190022,0
7f16-214,2020-10-11 20:18:18.490211,2020-10-11 20:21:18.490211,0
7f16-444,2020-10-11 20:18:18.651246,2020-10-11 20:21:18.651246,0
7f16-138,2020-10-11 20:18:18.395896,2020-10-11 20:21:18.395896,0
7f16-345,2020-10-11 20:18:18.581908,2020-10-11 20:21:18.581908,0
7f16-488,2020-10-11 20:18:18.699394,2020-10-11 20:21:18.699394,0
7f16-468,2020-10-11 20:18:18.744486,2020-10-11 20:21:18.744486,0
7f16-154,2020-10-11 20:18:18.528234,2020-10-11 20:21:18.528234,0
7f16-318,2020-10-11 20:18:18.586333,2020-10-11 20:21:18.586333,0
7f16-396,2020-10-11 20:18:18.585269,2020-10-11 20:21:18.585269,0
7f16-23,2020-10-11 20:18:18.298305,2020-10-11 20:21:18.298305,0
7f16-112,2020-10-11 20:18:18.299315,2020-10-11 20:21:18.299315,0
7f16-115,2020-10-11 20:18:18.422527,2020-10-11 20:21:18.422527,0
7f16-95,2020-10-11 20:18:18.401886,2020-10-11 20:21:18.401886,0
7f16-217,2020-10-11 20:18:18.430038,2020-10-11 20:21:18.430038,0
7f16-19,2020-10-11 20:18:18.289075,2020-10-11 20:21:18.289075,0
7f16-116,2020-10-11 20:18:18.380117,2020-10-11 20:21:18.380117,0
7f16-390,2020-10-11 20:18:18.697147,2020-10-11 20:21:18.697147,0
7f16-208,2020-10-11 20:18:18.423363,2020-10-11 20:21:18.423363,0
7f16-238,2020-10-11 20:18:18.533198,2020-10-11 20:21:18.533198,0
7f16-28,2020-10-11 20:18:18.168856,2020-10-11 20:21:18.168856,0
7f16-436,2020-10-11 20:18:18.750377,2020-10-11 20:21:18.750377,0
7f16-287,2020-10-11 20:18:18.482444,2020-10-11 20:21:18.482444,0
7f16-98,2020-10-11 20:18:18.532072,2020-10-11 20:21:18.532072,0
7f16-388,2020-10-11 20:18:18.693062,2020-10-11 20:21:18.693062,0
7f16-324,2020-10-11 20:18:18.574301,2020-10-11 20:21:18.574301,0
7f16-93,2020-10-11 20:18:18.311687,2020-10-11 20:21:18.311687,0
7f16-35,2020-10-11 20:18:18.234809,2020-10-11 20:21:18.234809,0
7f16-446,2020-10-11 20:18:18.628639,2020-10-11 20:21:18.628639,0
7f16-239,2020-10-11 20:18:18.532140,2020-10-11 20:21:18.532140,0
