GUID,Inicio,Fim,Contador
a72e-22,2020-10-11 19:57:15.459364,2020-10-11 20:00:15.459364,3
a72e-20,2020-10-11 19:57:15.459880,2020-10-11 20:00:15.459880,5
a72e-62,2020-10-11 19:57:15.431510,2020-10-11 20:00:15.431510,5
a72e-15,2020-10-11 19:58:19.905184,2020-10-11 20:01:19.905184,0
a72e-389,2020-10-11 19:58:24.232572,2020-10-11 20:01:24.232572,0
a72e-412,2020-10-11 19:58:24.248428,2020-10-11 20:01:24.248428,0
a72e-466,2020-10-11 19:59:31.318563,2020-10-11 20:02:31.318563,0
a72e-272,2020-10-11 19:59:15.086231,2020-10-11 20:02:15.086231,5
a72e-51,2020-10-11 20:00:14.956791,2020-10-11 20:03:14.956791,5
a72e-228,2020-10-11 20:01:29.221786,2020-10-11 20:04:29.221786,0
a72e-154,2020-10-11 20:01:29.222188,2020-10-11 20:04:29.222188,0
a72e-257,2020-10-11 20:02:29.330183,2020-10-11 20:05:29.330183,3
a72e-56,2020-10-11 20:03:24.440657,2020-10-11 20:06:24.440657,4
a72e-128,2020-10-11 20:03:33.182884,2020-10-11 20:06:33.182884,5
a72e-140,2020-10-11 20:03:24.441488,2020-10-11 20:06:24.441488,4
a72e-150,2020-10-11 20:03:33.186035,2020-10-11 20:06:33.186035,5
a72e-123,2020-10-11 20:03:33.190272,2020-10-11 20:06:33.190272,4
a72e-149,2020-10-11 20:03:33.186481,2020-10-11 20:06:33.186481,5
a72e-41,2020-10-11 20:03:33.187302,2020-10-11 20:06:33.187302,4
a72e-114,2020-10-11 20:03:33.189251,2020-10-11 20:06:33.189251,4
a72e-38,2020-10-11 20:03:33.189728,2020-10-11 20:06:33.189728,4
a72e-124,2020-10-11 20:03:33.189831,2020-10-11 20:06:33.189831,5
a72e-99,2020-10-11 20:06:21.983331,2020-10-11 20:09:21.983331,4
a72e-156,2020-10-11 20:06:21.983877,2020-10-11 20:09:21.983877,5
a72e-249,2020-10-11 20:07:08.019354,2020-10-11 20:10:08.019354,5
a72e-223,2020-10-11 20:07:08.019787,2020-10-11 20:10:08.019787,3
a72e-113,2020-10-11 20:06:21.982109,2020-10-11 20:09:21.982109,5
a72e-188,2020-10-11 20:07:08.019657,2020-10-11 20:10:08.019657,4
a72e-213,2020-10-11 20:07:08.019106,2020-10-11 20:10:08.019106,5
a72e-137,2020-10-11 20:07:23.967536,2020-10-11 20:10:23.967536,5
