GUID,Inicio,Fim,Contador
aa20-228,2020-10-11 19:58:19.906615,2020-10-11 20:01:19.906615,0
aa20-259,2020-10-11 19:58:20.438537,2020-10-11 20:01:20.438537,4
aa20-283,2020-10-11 19:58:20.440991,2020-10-11 20:01:20.440991,0
aa20-236,2020-10-11 19:58:20.440341,2020-10-11 20:01:20.440341,0
aa20-203,2020-10-11 19:58:20.441431,2020-10-11 20:01:20.441431,0
aa20-261,2020-10-11 19:58:19.905226,2020-10-11 20:01:19.905226,0
aa20-341,2020-10-11 19:58:20.440726,2020-10-11 20:01:20.440726,0
aa20-226,2020-10-11 19:58:19.907006,2020-10-11 20:01:19.907006,0
aa20-19,2020-10-11 20:00:12.105368,2020-10-11 20:03:12.105368,0
aa20-423,2020-10-11 20:00:14.956362,2020-10-11 20:03:14.956362,1
aa20-111,2020-10-11 20:01:05.425149,2020-10-11 20:04:05.425149,5
aa20-303,2020-10-11 20:03:04.092000,2020-10-11 20:06:04.092000,6
aa20-8,2020-10-11 20:03:22.537911,2020-10-11 20:06:22.537911,5
aa20-14,2020-10-11 20:03:22.538127,2020-10-11 20:06:22.538127,3
aa20-16,2020-10-11 20:03:22.539171,2020-10-11 20:06:22.539171,5
aa20-499,2020-10-11 20:03:33.189441,2020-10-11 20:06:33.189441,0
aa20-482,2020-10-11 20:03:33.188819,2020-10-11 20:06:33.188819,0
aa20-467,2020-10-11 20:03:33.184478,2020-10-11 20:06:33.184478,0
aa20-490,2020-10-11 20:03:33.189024,2020-10-11 20:06:33.189024,0
aa20-488,2020-10-11 20:03:33.186527,2020-10-11 20:06:33.186527,0
aa20-185,2020-10-11 20:03:45.930816,2020-10-11 20:06:45.930816,4
aa20-470,2020-10-11 20:03:33.188152,2020-10-11 20:06:33.188152,0
aa20-489,2020-10-11 20:03:33.189282,2020-10-11 20:06:33.189282,0
aa20-481,2020-10-11 20:03:33.188893,2020-10-11 20:06:33.188893,0
aa20-202,2020-10-11 20:04:19.411528,2020-10-11 20:07:19.411528,4
aa20-442,2020-10-11 20:06:12.453056,2020-10-11 20:09:12.453056,0
aa20-75,2020-10-11 20:05:48.938186,2020-10-11 20:08:48.938186,5
aa20-91,2020-10-11 20:07:27.767115,2020-10-11 20:10:27.767115,3
aa20-80,2020-10-11 20:07:41.999744,2020-10-11 20:10:41.999744,4
aa20-122,2020-10-11 20:07:27.767955,2020-10-11 20:10:27.767955,6
aa20-450,2020-10-11 20:07:23.966655,2020-10-11 20:10:23.966655,0
aa20-184,2020-10-11 20:07:27.922066,2020-10-11 20:10:27.922066,4
aa20-193,2020-10-11 20:09:59.800190,2020-10-11 20:12:59.800190,3
aa20-451,2020-10-11 20:10:31.305965,2020-10-11 20:13:31.305965,0
aa20-76,2020-10-11 20:10:42.650145,2020-10-11 20:13:42.650145,4
aa20-84,2020-10-11 20:11:59.146560,2020-10-11 20:14:59.146560,0
aa20-243,2020-10-11 20:12:36.309246,2020-10-11 20:15:36.309246,3
aa20-218,2020-10-11 20:12:36.308856,2020-10-11 20:15:36.308856,3
aa20-245,2020-10-11 20:12:38.549068,2020-10-11 20:15:38.549068,5
aa20-208,2020-10-11 20:12:53.558311,2020-10-11 20:15:53.558311,5
aa20-374,2020-10-11 20:12:38.548103,2020-10-11 20:15:38.548103,0
aa20-132,2020-10-11 20:12:53.329916,2020-10-11 20:15:53.329916,4
aa20-40,2020-10-11 20:12:53.328962,2020-10-11 20:15:53.328962,4
aa20-370,2020-10-11 20:13:38.387191,2020-10-11 20:16:38.387191,0
aa20-26,2020-10-11 20:13:56.810889,2020-10-11 20:16:56.810889,4
aa20-439,2020-10-11 20:13:38.386838,2020-10-11 20:16:38.386838,0
aa20-430,2020-10-11 20:13:38.380252,2020-10-11 20:16:38.380252,0
aa20-159,2020-10-11 20:13:56.853405,2020-10-11 20:16:56.853405,4
aa20-429,2020-10-11 20:13:38.386237,2020-10-11 20:16:38.386237,0
aa20-276,2020-10-11 20:16:31.129196,2020-10-11 20:19:31.129196,5
aa20-310,2020-10-11 20:16:31.129362,2020-10-11 20:19:31.129362,4
aa20-433,2020-10-11 20:16:31.129071,2020-10-11 20:19:31.129071,0
aa20-129,2020-10-11 20:17:03.242629,2020-10-11 20:20:03.242629,5
aa20-164,2020-10-11 20:18:17.157184,2020-10-11 20:21:17.157184,0
aa20-21,2020-10-11 20:18:17.106893,2020-10-11 20:21:17.106893,0
aa20-167,2020-10-11 20:18:17.227126,2020-10-11 20:21:17.227126,0
aa20-73,2020-10-11 20:18:17.162812,2020-10-11 20:21:17.162812,0
aa20-150,2020-10-11 20:18:17.226647,2020-10-11 20:21:17.226647,0
aa20-88,2020-10-11 20:18:17.210378,2020-10-11 20:21:17.210378,0
aa20-66,2020-10-11 20:18:17.140306,2020-10-11 20:21:17.140306,0
aa20-180,2020-10-11 20:18:17.235000,2020-10-11 20:21:17.235000,0
aa20-327,2020-10-11 20:18:17.391924,2020-10-11 20:21:17.391924,0
aa20-241,2020-10-11 20:18:17.375409,2020-10-11 20:21:17.375409,0
aa20-311,2020-10-11 20:18:17.361531,2020-10-11 20:21:17.361531,0
