GUID,Inicio,Fim,Contador
ce04-107,2020-10-11 19:56:46.537066,2020-10-11 19:59:46.537066,4
ce04-62,2020-10-11 19:59:31.318776,2020-10-11 20:02:31.318776,3
ce04-429,2020-10-11 20:03:05.078692,2020-10-11 20:06:05.078692,0
ce04-179,2020-10-11 20:02:23.961957,2020-10-11 20:05:23.961957,4
ce04-471,2020-10-11 20:03:05.079283,2020-10-11 20:06:05.079283,0
ce04-199,2020-10-11 20:06:41.221403,2020-10-11 20:09:41.221403,3
ce04-428,2020-10-11 20:07:08.021931,2020-10-11 20:10:08.021931,0
ce04-407,2020-10-11 20:07:08.022123,2020-10-11 20:10:08.022123,0
ce04-417,2020-10-11 20:07:08.019088,2020-10-11 20:10:08.019088,0
ce04-381,2020-10-11 20:07:08.022020,2020-10-11 20:10:08.022020,0
ce04-391,2020-10-11 20:07:08.021203,2020-10-11 20:10:08.021203,0
ce04-396,2020-10-11 20:07:08.020934,2020-10-11 20:10:08.020934,0
ce04-397,2020-10-11 20:07:08.020132,2020-10-11 20:10:08.020132,0
ce04-399,2020-10-11 20:07:08.022643,2020-10-11 20:10:08.022643,0
ce04-438,2020-10-11 20:07:08.023008,2020-10-11 20:10:08.023008,0
ce04-403,2020-10-11 20:07:08.021862,2020-10-11 20:10:08.021862,0
ce04-388,2020-10-11 20:08:26.972147,2020-10-11 20:11:26.972147,0
ce04-411,2020-10-11 20:08:26.971802,2020-10-11 20:11:26.971802,0
ce04-418,2020-10-11 20:08:26.972227,2020-10-11 20:11:26.972227,0
ce04-177,2020-10-11 20:09:00.356445,2020-10-11 20:12:00.356445,7
ce04-389,2020-10-11 20:08:26.970328,2020-10-11 20:11:26.970328,0
ce04-299,2020-10-11 20:10:40.429315,2020-10-11 20:13:40.429315,7
ce04-337,2020-10-11 20:13:01.517676,2020-10-11 20:16:01.517676,4
ce04-200,2020-10-11 20:12:38.547396,2020-10-11 20:15:38.547396,6
ce04-72,2020-10-11 20:12:38.548211,2020-10-11 20:15:38.548211,4
ce04-343,2020-10-11 20:12:50.911761,2020-10-11 20:15:50.911761,0
ce04-464,2020-10-11 20:14:04.540286,2020-10-11 20:17:04.540286,0
