GUID,Inicio,Fim,Contador
e9d6-136,2020-10-11 19:56:16.026853,2020-10-11 19:59:16.026853,3
e9d6-152,2020-10-11 19:56:16.042127,2020-10-11 19:59:16.042127,4
e9d6-198,2020-10-11 19:56:16.044124,2020-10-11 19:59:16.044124,3
e9d6-96,2020-10-11 19:56:15.981188,2020-10-11 19:59:15.981188,4
e9d6-192,2020-10-11 19:56:16.049156,2020-10-11 19:59:16.049156,3
e9d6-47,2020-10-11 19:56:15.946150,2020-10-11 19:59:15.946150,4
e9d6-291,2020-10-11 19:56:16.625940,2020-10-11 19:59:16.625940,3
e9d6-338,2020-10-11 19:56:16.800577,2020-10-11 19:59:16.800577,4
e9d6-343,2020-10-11 19:56:17.016584,2020-10-11 19:59:17.016584,0
e9d6-137,2020-10-11 19:56:16.018327,2020-10-11 19:59:16.018327,4
e9d6-298,2020-10-11 19:56:16.611248,2020-10-11 19:59:16.611248,4
e9d6-85,2020-10-11 19:56:16.001345,2020-10-11 19:59:16.001345,3
e9d6-51,2020-10-11 19:56:15.934132,2020-10-11 19:59:15.934132,4
e9d6-222,2020-10-11 19:56:16.134836,2020-10-11 19:59:16.134836,4
e9d6-314,2020-10-11 19:56:16.664261,2020-10-11 19:59:16.664261,4
e9d6-399,2020-10-11 19:56:17.644609,2020-10-11 19:59:17.644609,0
e9d6-92,2020-10-11 19:56:15.935736,2020-10-11 19:59:15.935736,4
e9d6-17,2020-10-11 19:56:15.851732,2020-10-11 19:59:15.851732,4
e9d6-146,2020-10-11 19:56:16.016166,2020-10-11 19:59:16.016166,5
e9d6-261,2020-10-11 19:56:16.309160,2020-10-11 19:59:16.309160,4
e9d6-352,2020-10-11 19:56:16.964238,2020-10-11 19:59:16.964238,0
e9d6-189,2020-10-11 19:56:16.074574,2020-10-11 19:59:16.074574,3
e9d6-158,2020-10-11 19:56:16.022114,2020-10-11 19:59:16.022114,4
e9d6-201,2020-10-11 19:56:16.054052,2020-10-11 19:59:16.054052,5
e9d6-327,2020-10-11 19:56:16.699232,2020-10-11 19:59:16.699232,5
e9d6-214,2020-10-11 19:56:16.142788,2020-10-11 19:59:16.142788,4
