GUID,Inicio,Fim,Contador
0ec0-37,2020-10-11 15:23:07.797466,2020-10-11 15:26:07.797466,3
0ec0-19,2020-10-11 15:23:07.762684,2020-10-11 15:26:07.762684,4
0ec0-1,2020-10-11 15:23:07.755675,2020-10-11 15:26:07.755675,6
0ec0-50,2020-10-11 15:23:07.818836,2020-10-11 15:26:07.818836,4
0ec0-70,2020-10-11 15:23:07.837241,2020-10-11 15:26:07.837241,4
0ec0-99,2020-10-11 15:23:07.851177,2020-10-11 15:26:07.851177,4
0ec0-63,2020-10-11 15:23:07.811590,2020-10-11 15:26:07.811590,4
0ec0-46,2020-10-11 15:23:07.834417,2020-10-11 15:26:07.834417,4
0ec0-74,2020-10-11 15:23:07.834157,2020-10-11 15:26:07.834157,4
0ec0-54,2020-10-11 15:23:07.810955,2020-10-11 15:26:07.810955,4
0ec0-72,2020-10-11 15:23:07.801904,2020-10-11 15:26:07.801904,6
0ec0-78,2020-10-11 15:23:07.796282,2020-10-11 15:26:07.796282,3
0ec0-25,2020-10-11 15:23:07.822407,2020-10-11 15:26:07.822407,4
0ec0-89,2020-10-11 15:23:07.850274,2020-10-11 15:26:07.850274,5
0ec0-41,2020-10-11 15:23:07.822457,2020-10-11 15:26:07.822457,3
0ec0-93,2020-10-11 15:23:07.843421,2020-10-11 15:26:07.843421,4
0ec0-30,2020-10-11 15:23:07.801986,2020-10-11 15:26:07.801986,3
0ec0-15,2020-10-11 15:23:07.755627,2020-10-11 15:26:07.755627,4
0ec0-4,2020-10-11 15:23:07.757509,2020-10-11 15:26:07.757509,4
0ec0-3,2020-10-11 15:23:07.758228,2020-10-11 15:26:07.758228,5
0ec0-83,2020-10-11 15:23:07.835952,2020-10-11 15:26:07.835952,4
0ec0-57,2020-10-11 15:23:07.797057,2020-10-11 15:26:07.797057,3
0ec0-55,2020-10-11 15:23:07.801858,2020-10-11 15:26:07.801858,5
0ec0-5,2020-10-11 15:23:07.742048,2020-10-11 15:26:07.742048,5
0ec0-65,2020-10-11 15:23:07.782205,2020-10-11 15:26:07.782205,5
0ec0-69,2020-10-11 15:23:07.797075,2020-10-11 15:26:07.797075,4
0ec0-73,2020-10-11 15:23:07.821941,2020-10-11 15:26:07.821941,6
0ec0-44,2020-10-11 15:23:07.796465,2020-10-11 15:26:07.796465,4
0ec0-39,2020-10-11 15:23:07.799043,2020-10-11 15:26:07.799043,4
0ec0-67,2020-10-11 15:23:07.794602,2020-10-11 15:26:07.794602,4
0ec0-98,2020-10-11 15:23:07.847346,2020-10-11 15:26:07.847346,5
