GUID,Inicio,Fim,Contador
3d3d-80,2020-10-11 15:23:11.331951,2020-10-11 15:26:11.331951,5
3d3d-57,2020-10-11 15:23:11.279258,2020-10-11 15:26:11.279258,4
3d3d-26,2020-10-11 15:23:11.287454,2020-10-11 15:26:11.287454,3
3d3d-59,2020-10-11 15:23:11.278137,2020-10-11 15:26:11.278137,4
3d3d-7,2020-10-11 15:23:11.199044,2020-10-11 15:26:11.199044,4
3d3d-82,2020-10-11 15:23:11.331819,2020-10-11 15:26:11.331819,3
3d3d-81,2020-10-11 15:23:11.265657,2020-10-11 15:26:11.265657,6
3d3d-42,2020-10-11 15:23:11.284248,2020-10-11 15:26:11.284248,4
3d3d-75,2020-10-11 15:23:11.272831,2020-10-11 15:26:11.272831,4
3d3d-76,2020-10-11 15:23:11.275145,2020-10-11 15:26:11.275145,5
3d3d-53,2020-10-11 15:23:11.273772,2020-10-11 15:26:11.273772,5
3d3d-16,2020-10-11 15:23:11.202423,2020-10-11 15:26:11.202423,4
3d3d-60,2020-10-11 15:23:11.283811,2020-10-11 15:26:11.283811,4
3d3d-34,2020-10-11 15:23:11.306846,2020-10-11 15:26:11.306846,4
3d3d-64,2020-10-11 15:23:11.286499,2020-10-11 15:26:11.286499,3
3d3d-20,2020-10-11 15:23:11.205122,2020-10-11 15:26:11.205122,4
3d3d-68,2020-10-11 15:23:11.280191,2020-10-11 15:26:11.280191,5
3d3d-24,2020-10-11 15:23:11.287293,2020-10-11 15:26:11.287293,4
3d3d-56,2020-10-11 15:23:11.309212,2020-10-11 15:26:11.309212,4
3d3d-87,2020-10-11 15:23:11.286655,2020-10-11 15:26:11.286655,5
3d3d-90,2020-10-11 15:23:11.275383,2020-10-11 15:26:11.275383,5
3d3d-66,2020-10-11 15:23:11.283981,2020-10-11 15:26:11.283981,4
3d3d-29,2020-10-11 15:23:11.286262,2020-10-11 15:26:11.286262,5
3d3d-95,2020-10-11 15:23:11.321739,2020-10-11 15:26:11.321739,4
3d3d-10,2020-10-11 15:23:11.198052,2020-10-11 15:26:11.198052,5
3d3d-97,2020-10-11 15:23:11.272428,2020-10-11 15:26:11.272428,3
3d3d-0,2020-10-11 15:23:11.198126,2020-10-11 15:26:11.198126,5
