GUID,Inicio,Fim,Contador
67bf-88,2020-10-11 15:23:09.695030,2020-10-11 15:26:09.695030,4
67bf-29,2020-10-11 15:23:09.687811,2020-10-11 15:26:09.687811,4
67bf-1,2020-10-11 15:23:09.648007,2020-10-11 15:26:09.648007,4
67bf-40,2020-10-11 15:23:09.686236,2020-10-11 15:26:09.686236,3
67bf-15,2020-10-11 15:23:09.640451,2020-10-11 15:26:09.640451,6
67bf-11,2020-10-11 15:23:09.647532,2020-10-11 15:26:09.647532,5
67bf-42,2020-10-11 15:23:09.655700,2020-10-11 15:26:09.655700,5
67bf-31,2020-10-11 15:23:09.671630,2020-10-11 15:26:09.671630,4
67bf-72,2020-10-11 15:23:09.667632,2020-10-11 15:26:09.667632,5
67bf-81,2020-10-11 15:23:09.731789,2020-10-11 15:26:09.731789,3
67bf-67,2020-10-11 15:23:09.728157,2020-10-11 15:26:09.728157,3
67bf-76,2020-10-11 15:23:09.687648,2020-10-11 15:26:09.687648,4
67bf-98,2020-10-11 15:23:09.734503,2020-10-11 15:26:09.734503,6
67bf-47,2020-10-11 15:23:09.647429,2020-10-11 15:26:09.647429,4
67bf-60,2020-10-11 15:23:09.716038,2020-10-11 15:26:09.716038,5
67bf-75,2020-10-11 15:23:09.672951,2020-10-11 15:26:09.672951,4
67bf-27,2020-10-11 15:23:09.642375,2020-10-11 15:26:09.642375,4
67bf-28,2020-10-11 15:23:09.668377,2020-10-11 15:26:09.668377,5
67bf-6,2020-10-11 15:23:09.642853,2020-10-11 15:26:09.642853,5
67bf-54,2020-10-11 15:23:09.710381,2020-10-11 15:26:09.710381,4
67bf-25,2020-10-11 15:23:09.710432,2020-10-11 15:26:09.710432,5
67bf-20,2020-10-11 15:23:09.668045,2020-10-11 15:26:09.668045,5
67bf-44,2020-10-11 15:23:09.672558,2020-10-11 15:26:09.672558,5
67bf-26,2020-10-11 15:23:09.716207,2020-10-11 15:26:09.716207,4
67bf-90,2020-10-11 15:23:09.653884,2020-10-11 15:26:09.653884,5
67bf-32,2020-10-11 15:23:09.670651,2020-10-11 15:26:09.670651,3
67bf-39,2020-10-11 15:23:09.650944,2020-10-11 15:26:09.650944,5
67bf-82,2020-10-11 15:23:09.716187,2020-10-11 15:26:09.716187,5
67bf-79,2020-10-11 15:23:09.708729,2020-10-11 15:26:09.708729,6
67bf-2,2020-10-11 15:23:09.640516,2020-10-11 15:26:09.640516,6
67bf-30,2020-10-11 15:23:09.728987,2020-10-11 15:26:09.728987,4
67bf-24,2020-10-11 15:23:09.654788,2020-10-11 15:26:09.654788,4
