GUID,Inicio,Fim,Contador
bbf8-91,2020-10-11 15:23:08.209302,2020-10-11 15:26:08.209302,3
bbf8-78,2020-10-11 15:23:08.178887,2020-10-11 15:26:08.178887,4
bbf8-84,2020-10-11 15:23:08.231134,2020-10-11 15:26:08.231134,4
bbf8-93,2020-10-11 15:23:08.243836,2020-10-11 15:26:08.243836,5
bbf8-0,2020-10-11 15:23:08.131901,2020-10-11 15:26:08.131901,5
bbf8-48,2020-10-11 15:23:08.236194,2020-10-11 15:26:08.236194,4
bbf8-68,2020-10-11 15:23:08.232264,2020-10-11 15:26:08.232264,4
bbf8-5,2020-10-11 15:23:08.139596,2020-10-11 15:26:08.139596,4
bbf8-97,2020-10-11 15:23:08.259551,2020-10-11 15:26:08.259551,4
bbf8-35,2020-10-11 15:23:08.209256,2020-10-11 15:26:08.209256,4
bbf8-38,2020-10-11 15:23:08.241902,2020-10-11 15:26:08.241902,4
bbf8-64,2020-10-11 15:23:08.241583,2020-10-11 15:26:08.241583,4
bbf8-34,2020-10-11 15:23:08.178359,2020-10-11 15:26:08.178359,3
bbf8-14,2020-10-11 15:23:08.159380,2020-10-11 15:26:08.159380,4
bbf8-65,2020-10-11 15:23:08.254916,2020-10-11 15:26:08.254916,4
bbf8-83,2020-10-11 15:23:08.243170,2020-10-11 15:26:08.243170,4
bbf8-54,2020-10-11 15:23:08.237702,2020-10-11 15:26:08.237702,4
bbf8-10,2020-10-11 15:23:08.157124,2020-10-11 15:26:08.157124,4
bbf8-81,2020-10-11 15:23:08.203797,2020-10-11 15:26:08.203797,4
bbf8-28,2020-10-11 15:23:08.165394,2020-10-11 15:26:08.165394,5
bbf8-31,2020-10-11 15:23:08.242997,2020-10-11 15:26:08.242997,4
bbf8-42,2020-10-11 15:23:08.259072,2020-10-11 15:26:08.259072,5
bbf8-1,2020-10-11 15:23:08.128955,2020-10-11 15:26:08.128955,5
bbf8-85,2020-10-11 15:23:08.164781,2020-10-11 15:26:08.164781,5
bbf8-3,2020-10-11 15:23:08.132098,2020-10-11 15:26:08.132098,5
bbf8-29,2020-10-11 15:23:08.200036,2020-10-11 15:26:08.200036,4
bbf8-90,2020-10-11 15:23:08.243351,2020-10-11 15:26:08.243351,4
bbf8-76,2020-10-11 15:23:08.243780,2020-10-11 15:26:08.243780,4
bbf8-62,2020-10-11 15:23:08.201922,2020-10-11 15:26:08.201922,6
bbf8-67,2020-10-11 15:23:08.236831,2020-10-11 15:26:08.236831,4
bbf8-39,2020-10-11 15:23:08.235720,2020-10-11 15:26:08.235720,5
bbf8-63,2020-10-11 15:23:08.201391,2020-10-11 15:26:08.201391,3
bbf8-17,2020-10-11 15:23:08.158759,2020-10-11 15:26:08.158759,4
bbf8-79,2020-10-11 15:23:08.242386,2020-10-11 15:26:08.242386,4
bbf8-99,2020-10-11 15:23:08.260259,2020-10-11 15:26:08.260259,4
bbf8-94,2020-10-11 15:23:08.259264,2020-10-11 15:26:08.259264,4
bbf8-30,2020-10-11 15:23:08.194646,2020-10-11 15:26:08.194646,5
bbf8-77,2020-10-11 15:23:08.244956,2020-10-11 15:26:08.244956,4
bbf8-40,2020-10-11 15:23:08.241983,2020-10-11 15:26:08.241983,4
bbf8-74,2020-10-11 15:23:08.245461,2020-10-11 15:26:08.245461,4
bbf8-12,2020-10-11 15:23:08.159247,2020-10-11 15:26:08.159247,4
bbf8-61,2020-10-11 15:23:08.204477,2020-10-11 15:26:08.204477,5
bbf8-71,2020-10-11 15:23:08.232772,2020-10-11 15:26:08.232772,3
bbf8-88,2020-10-11 15:23:08.199041,2020-10-11 15:26:08.199041,4
