GUID,Inicio,Fim,Contador
d460-7,2020-10-11 15:23:08.870456,2020-10-11 15:26:08.870456,4
d460-98,2020-10-11 15:23:08.966299,2020-10-11 15:26:08.966299,3
d460-1,2020-10-11 15:23:08.838720,2020-10-11 15:26:08.838720,3
d460-66,2020-10-11 15:23:08.918966,2020-10-11 15:26:08.918966,5
d460-22,2020-10-11 15:23:08.923150,2020-10-11 15:26:08.923150,4
d460-53,2020-10-11 15:23:08.930285,2020-10-11 15:26:08.930285,3
d460-88,2020-10-11 15:23:08.973451,2020-10-11 15:26:08.973451,3
d460-64,2020-10-11 15:23:08.951735,2020-10-11 15:26:08.951735,4
d460-59,2020-10-11 15:23:08.923276,2020-10-11 15:26:08.923276,4
d460-52,2020-10-11 15:23:08.905117,2020-10-11 15:26:08.905117,5
d460-20,2020-10-11 15:23:08.943671,2020-10-11 15:26:08.943671,5
d460-8,2020-10-11 15:23:08.871742,2020-10-11 15:26:08.871742,4
d460-83,2020-10-11 15:23:08.965983,2020-10-11 15:26:08.965983,4
d460-28,2020-10-11 15:23:08.942733,2020-10-11 15:26:08.942733,4
d460-46,2020-10-11 15:23:08.922976,2020-10-11 15:26:08.922976,4
d460-2,2020-10-11 15:23:08.871689,2020-10-11 15:26:08.871689,5
d460-42,2020-10-11 15:23:08.922556,2020-10-11 15:26:08.922556,5
d460-76,2020-10-11 15:23:08.987060,2020-10-11 15:26:08.987060,4
d460-41,2020-10-11 15:23:08.942528,2020-10-11 15:26:08.942528,4
d460-71,2020-10-11 15:23:08.972485,2020-10-11 15:26:08.972485,4
d460-79,2020-10-11 15:23:08.972201,2020-10-11 15:26:08.972201,4
d460-95,2020-10-11 15:23:08.988254,2020-10-11 15:26:08.988254,3
d460-25,2020-10-11 15:23:08.921206,2020-10-11 15:26:08.921206,4
d460-12,2020-10-11 15:23:08.868597,2020-10-11 15:26:08.868597,3
d460-18,2020-10-11 15:23:08.876614,2020-10-11 15:26:08.876614,5
d460-45,2020-10-11 15:23:08.917322,2020-10-11 15:26:08.917322,4
d460-68,2020-10-11 15:23:08.951391,2020-10-11 15:26:08.951391,3
d460-99,2020-10-11 15:23:08.973402,2020-10-11 15:26:08.973402,4
d460-36,2020-10-11 15:23:08.941956,2020-10-11 15:26:08.941956,6
d460-78,2020-10-11 15:23:08.974152,2020-10-11 15:26:08.974152,3
d460-0,2020-10-11 15:23:08.872404,2020-10-11 15:26:08.872404,4
d460-11,2020-10-11 15:23:08.871615,2020-10-11 15:26:08.871615,5
d460-49,2020-10-11 15:23:08.922855,2020-10-11 15:26:08.922855,4
d460-97,2020-10-11 15:23:08.987164,2020-10-11 15:26:08.987164,4
d460-15,2020-10-11 15:23:08.872300,2020-10-11 15:26:08.872300,5
d460-70,2020-10-11 15:23:08.942027,2020-10-11 15:26:08.942027,5
d460-96,2020-10-11 15:23:08.988603,2020-10-11 15:26:08.988603,5
d460-61,2020-10-11 15:23:08.951440,2020-10-11 15:26:08.951440,6
d460-24,2020-10-11 15:23:08.919670,2020-10-11 15:26:08.919670,5
d460-17,2020-10-11 15:23:08.876926,2020-10-11 15:26:08.876926,4
d460-34,2020-10-11 15:23:08.875960,2020-10-11 15:26:08.875960,4
d460-65,2020-10-11 15:23:08.966625,2020-10-11 15:26:08.966625,6
d460-38,2020-10-11 15:23:08.941138,2020-10-11 15:26:08.941138,4
d460-23,2020-10-11 15:23:08.901329,2020-10-11 15:26:08.901329,4
d460-94,2020-10-11 15:23:08.919605,2020-10-11 15:26:08.919605,4
d460-75,2020-10-11 15:23:08.971845,2020-10-11 15:26:08.971845,4
d460-29,2020-10-11 15:23:08.897913,2020-10-11 15:26:08.897913,4
d460-82,2020-10-11 15:23:08.972431,2020-10-11 15:26:08.972431,4
d460-58,2020-10-11 15:23:08.921719,2020-10-11 15:26:08.921719,5
d460-21,2020-10-11 15:23:08.943202,2020-10-11 15:26:08.943202,6
d460-33,2020-10-11 15:23:08.899601,2020-10-11 15:26:08.899601,5
d460-90,2020-10-11 15:23:08.987955,2020-10-11 15:26:08.987955,5
d460-44,2020-10-11 15:23:08.922509,2020-10-11 15:26:08.922509,5
d460-73,2020-10-11 15:23:08.950176,2020-10-11 15:26:08.950176,4
d460-55,2020-10-11 15:23:08.901011,2020-10-11 15:26:08.901011,5
d460-77,2020-10-11 15:23:08.972538,2020-10-11 15:26:08.972538,5
d460-19,2020-10-11 15:23:08.898461,2020-10-11 15:26:08.898461,5
d460-57,2020-10-11 15:23:08.972376,2020-10-11 15:26:08.972376,5
d460-48,2020-10-11 15:23:08.922214,2020-10-11 15:26:08.922214,3
d460-62,2020-10-11 15:23:08.973932,2020-10-11 15:26:08.973932,6
d460-89,2020-10-11 15:23:08.950439,2020-10-11 15:26:08.950439,5
d460-84,2020-10-11 15:23:08.905603,2020-10-11 15:26:08.905603,5
d460-87,2020-10-11 15:23:08.987112,2020-10-11 15:26:08.987112,5
d460-39,2020-10-11 15:23:08.876660,2020-10-11 15:26:08.876660,6
d460-26,2020-10-11 15:23:08.898710,2020-10-11 15:26:08.898710,5
d460-6,2020-10-11 15:23:08.868897,2020-10-11 15:26:08.868897,4
d460-91,2020-10-11 15:23:08.943437,2020-10-11 15:26:08.943437,4
d460-63,2020-10-11 15:23:08.922262,2020-10-11 15:26:08.922262,4
d460-32,2020-10-11 15:23:08.905859,2020-10-11 15:26:08.905859,5
d460-43,2020-10-11 15:23:08.919252,2020-10-11 15:26:08.919252,4
d460-72,2020-10-11 15:23:08.949807,2020-10-11 15:26:08.949807,5
d460-86,2020-10-11 15:23:08.964137,2020-10-11 15:26:08.964137,4
d460-69,2020-10-11 15:23:08.959669,2020-10-11 15:26:08.959669,5
d460-13,2020-10-11 15:23:08.870194,2020-10-11 15:26:08.870194,4
d460-85,2020-10-11 15:23:08.942590,2020-10-11 15:26:08.942590,4
d460-40,2020-10-11 15:23:08.947542,2020-10-11 15:26:08.947542,6
d460-51,2020-10-11 15:23:08.921822,2020-10-11 15:26:08.921822,6
d460-5,2020-10-11 15:23:08.870707,2020-10-11 15:26:08.870707,4
d460-3,2020-10-11 15:23:08.847977,2020-10-11 15:26:08.847977,4
d460-27,2020-10-11 15:23:08.922875,2020-10-11 15:26:08.922875,4
d460-56,2020-10-11 15:23:08.922930,2020-10-11 15:26:08.922930,4
d460-47,2020-10-11 15:23:08.940196,2020-10-11 15:26:08.940196,6
d460-16,2020-10-11 15:23:08.876305,2020-10-11 15:26:08.876305,4
d460-30,2020-10-11 15:23:08.898440,2020-10-11 15:26:08.898440,4
d460-92,2020-10-11 15:23:08.940515,2020-10-11 15:26:08.940515,5
d460-10,2020-10-11 15:23:08.866733,2020-10-11 15:26:08.866733,4
d460-37,2020-10-11 15:23:08.920960,2020-10-11 15:26:08.920960,5
d460-31,2020-10-11 15:23:08.943246,2020-10-11 15:26:08.943246,6
d460-74,2020-10-11 15:23:08.973681,2020-10-11 15:26:08.973681,5
d460-14,2020-10-11 15:23:08.869294,2020-10-11 15:26:08.869294,5
d460-80,2020-10-11 15:23:08.988871,2020-10-11 15:26:08.988871,4
d460-9,2020-10-11 15:23:08.872354,2020-10-11 15:26:08.872354,5
d460-81,2020-10-11 15:23:08.964207,2020-10-11 15:26:08.964207,7
d460-60,2020-10-11 15:23:08.942644,2020-10-11 15:26:08.942644,5
d460-50,2020-10-11 15:23:08.965115,2020-10-11 15:26:08.965115,6
d460-93,2020-10-11 15:23:08.950393,2020-10-11 15:26:08.950393,4
d460-35,2020-10-11 15:23:08.950521,2020-10-11 15:26:08.950521,6
d460-67,2020-10-11 15:23:08.951672,2020-10-11 15:26:08.951672,5
d460-54,2020-10-11 15:23:08.923473,2020-10-11 15:26:08.923473,4
d460-4,2020-10-11 15:23:08.871352,2020-10-11 15:26:08.871352,4
TOTAL,,,451
