GUID,Inicio,Fim,Contador
d4e5-76,2020-10-11 15:23:09.345944,2020-10-11 15:26:09.345944,4
d4e5-32,2020-10-11 15:23:09.363702,2020-10-11 15:26:09.363702,5
d4e5-73,2020-10-11 15:23:09.346031,2020-10-11 15:26:09.346031,4
d4e5-72,2020-10-11 15:23:09.381813,2020-10-11 15:26:09.381813,4
d4e5-66,2020-10-11 15:23:09.366336,2020-10-11 15:26:09.366336,5
d4e5-17,2020-10-11 15:23:09.273772,2020-10-11 15:26:09.273772,4
d4e5-68,2020-10-11 15:23:09.299938,2020-10-11 15:26:09.299938,4
d4e5-16,2020-10-11 15:23:09.256739,2020-10-11 15:26:09.256739,4
d4e5-4,2020-10-11 15:23:09.250849,2020-10-11 15:26:09.250849,5
d4e5-26,2020-10-11 15:23:09.365959,2020-10-11 15:26:09.365959,5
d4e5-91,2020-10-11 15:23:09.395972,2020-10-11 15:26:09.395972,6
d4e5-36,2020-10-11 15:23:09.343729,2020-10-11 15:26:09.343729,4
d4e5-79,2020-10-11 15:23:09.343778,2020-10-11 15:26:09.343778,3
d4e5-83,2020-10-11 15:23:09.397937,2020-10-11 15:26:09.397937,4
d4e5-52,2020-10-11 15:23:09.344347,2020-10-11 15:26:09.344347,5
d4e5-12,2020-10-11 15:23:09.253016,2020-10-11 15:26:09.253016,4
d4e5-38,2020-10-11 15:23:09.345594,2020-10-11 15:26:09.345594,4
d4e5-61,2020-10-11 15:23:09.300172,2020-10-11 15:26:09.300172,4
d4e5-89,2020-10-11 15:23:09.382522,2020-10-11 15:26:09.382522,5
d4e5-2,2020-10-11 15:23:09.249359,2020-10-11 15:26:09.249359,4
d4e5-94,2020-10-11 15:23:09.294402,2020-10-11 15:26:09.294402,4
d4e5-44,2020-10-11 15:23:09.397817,2020-10-11 15:26:09.397817,3
d4e5-43,2020-10-11 15:23:09.339018,2020-10-11 15:26:09.339018,6
d4e5-11,2020-10-11 15:23:09.252961,2020-10-11 15:26:09.252961,3
d4e5-62,2020-10-11 15:23:09.397052,2020-10-11 15:26:09.397052,4
d4e5-85,2020-10-11 15:23:09.380282,2020-10-11 15:26:09.380282,4
d4e5-82,2020-10-11 15:23:09.383236,2020-10-11 15:26:09.383236,3
d4e5-98,2020-10-11 15:23:09.298100,2020-10-11 15:26:09.298100,4
d4e5-3,2020-10-11 15:23:09.252978,2020-10-11 15:26:09.252978,5
d4e5-86,2020-10-11 15:23:09.380455,2020-10-11 15:26:09.380455,4
d4e5-41,2020-10-11 15:23:09.365201,2020-10-11 15:26:09.365201,4
d4e5-24,2020-10-11 15:23:09.298468,2020-10-11 15:26:09.298468,5
d4e5-35,2020-10-11 15:23:09.304141,2020-10-11 15:26:09.304141,6
d4e5-51,2020-10-11 15:23:09.365102,2020-10-11 15:26:09.365102,4
d4e5-53,2020-10-11 15:23:09.271343,2020-10-11 15:26:09.271343,4
d4e5-64,2020-10-11 15:23:09.306089,2020-10-11 15:26:09.306089,6
d4e5-22,2020-10-11 15:23:09.299603,2020-10-11 15:26:09.299603,5
d4e5-33,2020-10-11 15:23:09.342351,2020-10-11 15:26:09.342351,4
d4e5-71,2020-10-11 15:23:09.344667,2020-10-11 15:26:09.344667,4
d4e5-0,2020-10-11 15:23:09.252097,2020-10-11 15:26:09.252097,4
d4e5-46,2020-10-11 15:23:09.396602,2020-10-11 15:26:09.396602,4
d4e5-6,2020-10-11 15:23:09.248853,2020-10-11 15:26:09.248853,4
d4e5-39,2020-10-11 15:23:09.296435,2020-10-11 15:26:09.296435,3
d4e5-87,2020-10-11 15:23:09.294733,2020-10-11 15:26:09.294733,6
d4e5-67,2020-10-11 15:23:09.397876,2020-10-11 15:26:09.397876,4
d4e5-45,2020-10-11 15:23:09.303436,2020-10-11 15:26:09.303436,4
d4e5-19,2020-10-11 15:23:09.258712,2020-10-11 15:26:09.258712,5
d4e5-9,2020-10-11 15:23:09.252700,2020-10-11 15:26:09.252700,5
d4e5-90,2020-10-11 15:23:09.383123,2020-10-11 15:26:09.383123,5
d4e5-25,2020-10-11 15:23:09.298966,2020-10-11 15:26:09.298966,5
d4e5-20,2020-10-11 15:23:09.276693,2020-10-11 15:26:09.276693,6
d4e5-60,2020-10-11 15:23:09.339247,2020-10-11 15:26:09.339247,3
d4e5-27,2020-10-11 15:23:09.366278,2020-10-11 15:26:09.366278,5
d4e5-97,2020-10-11 15:23:09.326973,2020-10-11 15:26:09.326973,5
d4e5-30,2020-10-11 15:23:09.344689,2020-10-11 15:26:09.344689,5
d4e5-57,2020-10-11 15:23:09.365604,2020-10-11 15:26:09.365604,4
d4e5-88,2020-10-11 15:23:09.395679,2020-10-11 15:26:09.395679,3
d4e5-29,2020-10-11 15:23:09.382122,2020-10-11 15:26:09.382122,4
d4e5-14,2020-10-11 15:23:09.252357,2020-10-11 15:26:09.252357,5
d4e5-93,2020-10-11 15:23:09.364954,2020-10-11 15:26:09.364954,4
d4e5-28,2020-10-11 15:23:09.382575,2020-10-11 15:26:09.382575,5
d4e5-96,2020-10-11 15:23:09.382752,2020-10-11 15:26:09.382752,4
d4e5-49,2020-10-11 15:23:09.305963,2020-10-11 15:26:09.305963,5
d4e5-21,2020-10-11 15:23:09.294085,2020-10-11 15:26:09.294085,5
d4e5-56,2020-10-11 15:23:09.366017,2020-10-11 15:26:09.366017,5
d4e5-40,2020-10-11 15:23:09.366393,2020-10-11 15:26:09.366393,5
d4e5-48,2020-10-11 15:23:09.298411,2020-10-11 15:26:09.298411,5
d4e5-77,2020-10-11 15:23:09.380203,2020-10-11 15:26:09.380203,4
d4e5-13,2020-10-11 15:23:09.251048,2020-10-11 15:26:09.251048,4
d4e5-1,2020-10-11 15:23:09.248518,2020-10-11 15:26:09.248518,5
d4e5-5,2020-10-11 15:23:09.248946,2020-10-11 15:26:09.248946,5
d4e5-69,2020-10-11 15:23:09.306167,2020-10-11 15:26:09.306167,5
d4e5-78,2020-10-11 15:23:09.378888,2020-10-11 15:26:09.378888,3
d4e5-74,2020-10-11 15:23:09.306106,2020-10-11 15:26:09.306106,6
d4e5-55,2020-10-11 15:23:09.381320,2020-10-11 15:26:09.381320,4
d4e5-75,2020-10-11 15:23:09.383407,2020-10-11 15:26:09.383407,5
d4e5-99,2020-10-11 15:23:09.395907,2020-10-11 15:26:09.395907,6
d4e5-92,2020-10-11 15:23:09.396045,2020-10-11 15:26:09.396045,4
d4e5-84,2020-10-11 15:23:09.342886,2020-10-11 15:26:09.342886,5
d4e5-63,2020-10-11 15:23:09.300368,2020-10-11 15:26:09.300368,4
d4e5-10,2020-10-11 15:23:09.251947,2020-10-11 15:26:09.251947,5
d4e5-65,2020-10-11 15:23:09.362142,2020-10-11 15:26:09.362142,4
d4e5-37,2020-10-11 15:23:09.305719,2020-10-11 15:26:09.305719,5
d4e5-50,2020-10-11 15:23:09.378948,2020-10-11 15:26:09.378948,4
d4e5-18,2020-10-11 15:23:09.270903,2020-10-11 15:26:09.270903,7
d4e5-34,2020-10-11 15:23:09.306045,2020-10-11 15:26:09.306045,4
d4e5-23,2020-10-11 15:23:09.297109,2020-10-11 15:26:09.297109,5
d4e5-59,2020-10-11 15:23:09.396642,2020-10-11 15:26:09.396642,5
d4e5-81,2020-10-11 15:23:09.397543,2020-10-11 15:26:09.397543,5
d4e5-7,2020-10-11 15:23:09.252422,2020-10-11 15:26:09.252422,4
d4e5-54,2020-10-11 15:23:09.299393,2020-10-11 15:26:09.299393,5
d4e5-58,2020-10-11 15:23:09.342795,2020-10-11 15:26:09.342795,5
d4e5-42,2020-10-11 15:23:09.383177,2020-10-11 15:26:09.383177,5
d4e5-8,2020-10-11 15:23:09.253067,2020-10-11 15:26:09.253067,5
d4e5-47,2020-10-11 15:23:09.363326,2020-10-11 15:26:09.363326,4
d4e5-31,2020-10-11 15:23:09.361783,2020-10-11 15:26:09.361783,5
d4e5-70,2020-10-11 15:23:09.382444,2020-10-11 15:26:09.382444,7
d4e5-80,2020-10-11 15:23:09.386109,2020-10-11 15:26:09.386109,5
d4e5-95,2020-10-11 15:23:09.366856,2020-10-11 15:26:09.366856,5
d4e5-15,2020-10-11 15:23:09.259568,2020-10-11 15:26:09.259568,5
TOTAL,,,455
