GUID,Inicio,Fim,Contador
f732-94,2020-10-11 15:23:08.628597,2020-10-11 15:26:08.628597,3
f732-0,2020-10-11 15:23:08.485863,2020-10-11 15:26:08.485863,5
f732-20,2020-10-11 15:23:08.521699,2020-10-11 15:26:08.521699,5
f732-12,2020-10-11 15:23:08.505006,2020-10-11 15:26:08.505006,4
f732-8,2020-10-11 15:23:08.505297,2020-10-11 15:26:08.505297,4
f732-72,2020-10-11 15:23:08.601722,2020-10-11 15:26:08.601722,6
f732-86,2020-10-11 15:23:08.629053,2020-10-11 15:26:08.629053,3
f732-22,2020-10-11 15:23:08.569482,2020-10-11 15:26:08.569482,4
f732-4,2020-10-11 15:23:08.485755,2020-10-11 15:26:08.485755,4
f732-16,2020-10-11 15:23:08.506430,2020-10-11 15:26:08.506430,6
f732-33,2020-10-11 15:23:08.591674,2020-10-11 15:26:08.591674,3
f732-28,2020-10-11 15:23:08.604280,2020-10-11 15:26:08.604280,4
f732-71,2020-10-11 15:23:08.565687,2020-10-11 15:26:08.565687,4
f732-52,2020-10-11 15:23:08.598372,2020-10-11 15:26:08.598372,5
f732-54,2020-10-11 15:23:08.544943,2020-10-11 15:26:08.544943,3
f732-89,2020-10-11 15:23:08.603887,2020-10-11 15:26:08.603887,4
f732-6,2020-10-11 15:23:08.506235,2020-10-11 15:26:08.506235,4
f732-43,2020-10-11 15:23:08.570899,2020-10-11 15:26:08.570899,5
f732-5,2020-10-11 15:23:08.506940,2020-10-11 15:26:08.506940,5
f732-69,2020-10-11 15:23:08.561107,2020-10-11 15:26:08.561107,5
f732-73,2020-10-11 15:23:08.569266,2020-10-11 15:26:08.569266,3
f732-30,2020-10-11 15:23:08.571023,2020-10-11 15:26:08.571023,3
f732-79,2020-10-11 15:23:08.633739,2020-10-11 15:26:08.633739,4
f732-68,2020-10-11 15:23:08.632911,2020-10-11 15:26:08.632911,5
f732-65,2020-10-11 15:23:08.601921,2020-10-11 15:26:08.601921,3
f732-60,2020-10-11 15:23:08.601753,2020-10-11 15:26:08.601753,7
f732-63,2020-10-11 15:23:08.569429,2020-10-11 15:26:08.569429,4
f732-23,2020-10-11 15:23:08.602954,2020-10-11 15:26:08.602954,4
f732-81,2020-10-11 15:23:08.633501,2020-10-11 15:26:08.633501,4
f732-40,2020-10-11 15:23:08.578010,2020-10-11 15:26:08.578010,4
f732-36,2020-10-11 15:23:08.587029,2020-10-11 15:26:08.587029,4
f732-83,2020-10-11 15:23:08.599964,2020-10-11 15:26:08.599964,4
f732-70,2020-10-11 15:23:08.633279,2020-10-11 15:26:08.633279,5
f732-1,2020-10-11 15:23:08.492660,2020-10-11 15:26:08.492660,4
f732-41,2020-10-11 15:23:08.604259,2020-10-11 15:26:08.604259,4
f732-96,2020-10-11 15:23:08.633387,2020-10-11 15:26:08.633387,4
f732-95,2020-10-11 15:23:08.633445,2020-10-11 15:26:08.633445,4
f732-50,2020-10-11 15:23:08.595385,2020-10-11 15:26:08.595385,4
f732-34,2020-10-11 15:23:08.562896,2020-10-11 15:26:08.562896,4
f732-25,2020-10-11 15:23:08.602303,2020-10-11 15:26:08.602303,4
f732-61,2020-10-11 15:23:08.602584,2020-10-11 15:26:08.602584,4
f732-3,2020-10-11 15:23:08.486010,2020-10-11 15:26:08.486010,4
f732-39,2020-10-11 15:23:08.602875,2020-10-11 15:26:08.602875,6
f732-49,2020-10-11 15:23:08.602532,2020-10-11 15:26:08.602532,6
f732-17,2020-10-11 15:23:08.521094,2020-10-11 15:26:08.521094,4
f732-7,2020-10-11 15:23:08.507635,2020-10-11 15:26:08.507635,5
f732-62,2020-10-11 15:23:08.567318,2020-10-11 15:26:08.567318,5
f732-42,2020-10-11 15:23:08.568887,2020-10-11 15:26:08.568887,3
f732-9,2020-10-11 15:23:08.507127,2020-10-11 15:26:08.507127,4
f732-37,2020-10-11 15:23:08.544922,2020-10-11 15:26:08.544922,4
f732-21,2020-10-11 15:23:08.594943,2020-10-11 15:26:08.594943,5
f732-26,2020-10-11 15:23:08.529219,2020-10-11 15:26:08.529219,4
f732-66,2020-10-11 15:23:08.631932,2020-10-11 15:26:08.631932,6
f732-56,2020-10-11 15:23:08.630168,2020-10-11 15:26:08.630168,3
f732-44,2020-10-11 15:23:08.569780,2020-10-11 15:26:08.569780,6
f732-14,2020-10-11 15:23:08.507807,2020-10-11 15:26:08.507807,6
f732-91,2020-10-11 15:23:08.634160,2020-10-11 15:26:08.634160,6
f732-84,2020-10-11 15:23:08.602497,2020-10-11 15:26:08.602497,5
f732-59,2020-10-11 15:23:08.544461,2020-10-11 15:26:08.544461,4
f732-31,2020-10-11 15:23:08.560263,2020-10-11 15:26:08.560263,6
f732-51,2020-10-11 15:23:08.633562,2020-10-11 15:26:08.633562,5
f732-27,2020-10-11 15:23:08.569594,2020-10-11 15:26:08.569594,4
f732-47,2020-10-11 15:23:08.634141,2020-10-11 15:26:08.634141,4
f732-19,2020-10-11 15:23:08.520702,2020-10-11 15:26:08.520702,5
