GUID,Inicio,Fim,Contador
02ff-7,2020-10-11 17:54:38.135633,2020-10-11 17:57:38.135633,5
02ff-262,2020-10-11 17:54:52.420066,2020-10-11 17:57:52.420066,4
02ff-280,2020-10-11 17:54:52.420624,2020-10-11 17:57:52.420624,3
02ff-267,2020-10-11 17:54:52.418569,2020-10-11 17:57:52.418569,6
02ff-256,2020-10-11 17:54:52.417142,2020-10-11 17:57:52.417142,4
02ff-425,2020-10-11 17:55:01.043187,2020-10-11 17:58:01.043187,0
02ff-265,2020-10-11 17:54:52.420098,2020-10-11 17:57:52.420098,4
02ff-426,2020-10-11 17:55:01.043677,2020-10-11 17:58:01.043677,1
02ff-268,2020-10-11 17:54:52.417477,2020-10-11 17:57:52.417477,4
02ff-278,2020-10-11 17:54:52.419601,2020-10-11 17:57:52.419601,4
02ff-283,2020-10-11 17:54:52.441639,2020-10-11 17:57:52.441639,4
02ff-430,2020-10-11 17:55:01.042127,2020-10-11 17:58:01.042127,0
02ff-277,2020-10-11 17:54:52.419792,2020-10-11 17:57:52.419792,4
02ff-275,2020-10-11 17:54:52.417818,2020-10-11 17:57:52.417818,4
02ff-306,2020-10-11 17:54:52.478643,2020-10-11 17:57:52.478643,4
02ff-239,2020-10-11 17:55:32.272011,2020-10-11 17:58:32.272011,4
02ff-241,2020-10-11 17:54:52.420303,2020-10-11 17:57:52.420303,5
02ff-279,2020-10-11 17:54:52.441452,2020-10-11 17:57:52.441452,4
02ff-30,2020-10-11 17:55:37.518953,2020-10-11 17:58:37.518953,4
02ff-46,2020-10-11 17:55:37.528901,2020-10-11 17:58:37.528901,5
02ff-147,2020-10-11 17:56:14.201025,2020-10-11 17:59:14.201025,4
02ff-84,2020-10-11 17:56:14.199343,2020-10-11 17:59:14.199343,6
02ff-167,2020-10-11 17:56:14.200452,2020-10-11 17:59:14.200452,6
02ff-382,2020-10-11 17:56:39.669549,2020-10-11 17:59:39.669549,0
02ff-238,2020-10-11 17:56:39.670078,2020-10-11 17:59:39.670078,3
02ff-141,2020-10-11 17:56:14.200854,2020-10-11 17:59:14.200854,5
02ff-146,2020-10-11 17:56:14.591968,2020-10-11 17:59:14.591968,0
02ff-155,2020-10-11 17:56:14.199590,2020-10-11 17:59:14.199590,5
02ff-254,2020-10-11 17:56:57.169277,2020-10-11 17:59:57.169277,0
02ff-333,2020-10-11 17:57:04.115791,2020-10-11 18:00:04.115791,5
02ff-213,2020-10-11 17:56:39.669396,2020-10-11 17:59:39.669396,7
02ff-212,2020-10-11 17:57:38.490819,2020-10-11 18:00:38.490819,4
02ff-49,2020-10-11 17:58:01.513249,2020-10-11 18:01:01.513249,3
02ff-50,2020-10-11 17:58:01.513315,2020-10-11 18:01:01.513315,5
02ff-352,2020-10-11 17:58:01.594675,2020-10-11 18:01:01.594675,1
02ff-380,2020-10-11 17:58:10.352310,2020-10-11 18:01:10.352310,0
02ff-136,2020-10-11 17:58:01.512765,2020-10-11 18:01:01.512765,4
02ff-339,2020-10-11 17:58:10.349246,2020-10-11 18:01:10.349246,1
02ff-80,2020-10-11 17:58:09.716698,2020-10-11 18:01:09.716698,4
02ff-378,2020-10-11 17:58:01.595156,2020-10-11 18:01:01.595156,0
02ff-410,2020-10-11 17:57:38.490739,2020-10-11 18:00:38.490739,0
02ff-336,2020-10-11 17:58:10.346060,2020-10-11 18:01:10.346060,4
02ff-361,2020-10-11 17:58:10.351074,2020-10-11 18:01:10.351074,0
02ff-400,2020-10-11 17:58:10.352381,2020-10-11 18:01:10.352381,0
02ff-343,2020-10-11 17:58:10.350819,2020-10-11 18:01:10.350819,0
02ff-76,2020-10-11 17:58:09.716257,2020-10-11 18:01:09.716257,4
02ff-236,2020-10-11 17:57:38.491153,2020-10-11 18:00:38.491153,0
02ff-353,2020-10-11 17:58:27.737826,2020-10-11 18:01:27.737826,0
02ff-411,2020-10-11 17:58:10.351798,2020-10-11 18:01:10.351798,0
02ff-82,2020-10-11 17:58:01.512318,2020-10-11 18:01:01.512318,5
02ff-81,2020-10-11 17:58:01.512696,2020-10-11 18:01:01.512696,6
02ff-338,2020-10-11 17:58:10.352223,2020-10-11 18:01:10.352223,0
02ff-45,2020-10-11 18:04:44.351384,2020-10-11 18:07:44.351384,5
02ff-67,2020-10-11 18:04:25.895570,2020-10-11 18:07:25.895570,5
02ff-170,2020-10-11 18:05:42.250090,2020-10-11 18:08:42.250090,5
02ff-403,2020-10-11 18:06:41.626418,2020-10-11 18:09:41.626418,0
02ff-471,2020-10-11 18:06:41.627132,2020-10-11 18:09:41.627132,0
02ff-305,2020-10-11 18:06:45.643819,2020-10-11 18:09:45.643819,4
02ff-287,2020-10-11 18:06:45.644309,2020-10-11 18:09:45.644309,5
02ff-101,2020-10-11 18:07:31.269952,2020-10-11 18:10:31.269952,5
02ff-0,2020-10-11 18:08:09.295138,2020-10-11 18:11:09.295138,0
02ff-232,2020-10-11 18:08:18.064581,2020-10-11 18:11:18.064581,4
02ff-199,2020-10-11 18:08:50.302214,2020-10-11 18:11:50.302214,4
02ff-288,2020-10-11 18:13:48.598447,2020-10-11 18:16:48.598447,6
02ff-131,2020-10-11 18:16:35.620954,2020-10-11 18:19:35.620954,0
02ff-406,2020-10-11 18:16:35.878950,2020-10-11 18:19:35.878950,0
02ff-488,2020-10-11 18:16:35.836471,2020-10-11 18:19:35.836471,0
02ff-4,2020-10-11 18:16:35.407973,2020-10-11 18:19:35.407973,0
02ff-39,2020-10-11 18:16:35.571021,2020-10-11 18:19:35.571021,0
02ff-217,2020-10-11 18:16:35.702134,2020-10-11 18:19:35.702134,0
02ff-389,2020-10-11 18:16:35.744677,2020-10-11 18:19:35.744677,0
02ff-91,2020-10-11 18:16:35.667711,2020-10-11 18:19:35.667711,0
02ff-455,2020-10-11 18:16:35.914785,2020-10-11 18:19:35.914785,0
02ff-42,2020-10-11 18:16:35.608167,2020-10-11 18:19:35.608167,0
02ff-405,2020-10-11 18:16:35.859681,2020-10-11 18:19:35.859681,0
02ff-362,2020-10-11 18:16:35.765156,2020-10-11 18:19:35.765156,0
02ff-207,2020-10-11 18:16:35.701934,2020-10-11 18:19:35.701934,0
02ff-284,2020-10-11 18:16:35.741745,2020-10-11 18:19:35.741745,0
02ff-188,2020-10-11 18:16:35.638400,2020-10-11 18:19:35.638400,0
02ff-477,2020-10-11 18:16:35.906113,2020-10-11 18:19:35.906113,0
02ff-52,2020-10-11 18:16:35.524271,2020-10-11 18:19:35.524271,0
02ff-176,2020-10-11 18:16:35.694355,2020-10-11 18:19:35.694355,0
02ff-194,2020-10-11 18:16:35.566729,2020-10-11 18:19:35.566729,0
02ff-436,2020-10-11 18:16:35.885945,2020-10-11 18:19:35.885945,0
02ff-71,2020-10-11 18:16:35.543060,2020-10-11 18:19:35.543060,0
02ff-209,2020-10-11 18:16:35.697720,2020-10-11 18:19:35.697720,0
02ff-490,2020-10-11 18:16:35.947161,2020-10-11 18:19:35.947161,0
02ff-384,2020-10-11 18:16:35.744947,2020-10-11 18:19:35.744947,0
02ff-246,2020-10-11 18:16:35.751976,2020-10-11 18:19:35.751976,0
02ff-381,2020-10-11 18:16:35.881911,2020-10-11 18:19:35.881911,0
02ff-291,2020-10-11 18:16:35.756136,2020-10-11 18:19:35.756136,0
02ff-363,2020-10-11 18:16:35.856628,2020-10-11 18:19:35.856628,0
02ff-442,2020-10-11 18:16:35.890810,2020-10-11 18:19:35.890810,0
02ff-248,2020-10-11 18:16:35.718146,2020-10-11 18:19:35.718146,0
02ff-397,2020-10-11 18:16:35.855767,2020-10-11 18:19:35.855767,0
02ff-272,2020-10-11 18:16:35.781076,2020-10-11 18:19:35.781076,0
02ff-2,2020-10-11 18:16:35.571043,2020-10-11 18:19:35.571043,0
02ff-331,2020-10-11 18:16:35.780930,2020-10-11 18:19:35.780930,0
02ff-467,2020-10-11 18:16:35.865085,2020-10-11 18:19:35.865085,0
02ff-402,2020-10-11 18:16:35.857286,2020-10-11 18:19:35.857286,0
02ff-484,2020-10-11 18:16:35.865221,2020-10-11 18:19:35.865221,0
02ff-420,2020-10-11 18:16:35.787759,2020-10-11 18:19:35.787759,0
02ff-399,2020-10-11 18:16:35.859115,2020-10-11 18:19:35.859115,0
02ff-152,2020-10-11 18:16:35.636806,2020-10-11 18:19:35.636806,0
02ff-27,2020-10-11 18:16:35.606918,2020-10-11 18:19:35.606918,0
02ff-66,2020-10-11 18:16:35.551204,2020-10-11 18:19:35.551204,0
02ff-48,2020-10-11 18:16:35.553067,2020-10-11 18:19:35.553067,0
02ff-296,2020-10-11 18:16:35.780994,2020-10-11 18:19:35.780994,0
02ff-17,2020-10-11 18:16:35.608115,2020-10-11 18:19:35.608115,0
02ff-106,2020-10-11 18:16:35.644272,2020-10-11 18:19:35.644272,0
02ff-432,2020-10-11 18:16:35.890377,2020-10-11 18:19:35.890377,0
02ff-177,2020-10-11 18:16:35.720888,2020-10-11 18:19:35.720888,0
02ff-79,2020-10-11 18:16:35.502350,2020-10-11 18:19:35.502350,0
02ff-135,2020-10-11 18:16:35.577943,2020-10-11 18:19:35.577943,0
02ff-316,2020-10-11 18:16:35.841287,2020-10-11 18:19:35.841287,0
02ff-228,2020-10-11 18:16:35.701714,2020-10-11 18:19:35.701714,0
02ff-107,2020-10-11 18:16:35.636925,2020-10-11 18:19:35.636925,0
02ff-3,2020-10-11 18:16:35.453170,2020-10-11 18:19:35.453170,0
02ff-65,2020-10-11 18:16:35.557355,2020-10-11 18:19:35.557355,0
02ff-129,2020-10-11 18:16:35.667087,2020-10-11 18:19:35.667087,0
02ff-396,2020-10-11 18:16:35.814461,2020-10-11 18:19:35.814461,1
02ff-224,2020-10-11 18:16:35.743365,2020-10-11 18:19:35.743365,0
02ff-190,2020-10-11 18:16:35.654986,2020-10-11 18:19:35.654986,0
02ff-401,2020-10-11 18:16:35.841672,2020-10-11 18:19:35.841672,0
02ff-24,2020-10-11 18:16:35.590120,2020-10-11 18:19:35.590120,0
02ff-341,2020-10-11 18:16:35.887359,2020-10-11 18:19:35.887359,0
02ff-187,2020-10-11 18:16:35.667042,2020-10-11 18:19:35.667042,0
02ff-175,2020-10-11 18:16:35.721224,2020-10-11 18:19:35.721224,0
02ff-440,2020-10-11 18:16:35.815194,2020-10-11 18:19:35.815194,0
02ff-427,2020-10-11 18:16:35.915774,2020-10-11 18:19:35.915774,0
02ff-127,2020-10-11 18:16:35.607314,2020-10-11 18:19:35.607314,0
02ff-184,2020-10-11 18:16:35.667661,2020-10-11 18:19:35.667661,0
02ff-311,2020-10-11 18:16:35.835463,2020-10-11 18:19:35.835463,0
02ff-86,2020-10-11 18:16:35.667137,2020-10-11 18:19:35.667137,0
02ff-165,2020-10-11 18:16:35.636872,2020-10-11 18:19:35.636872,0
02ff-255,2020-10-11 18:16:35.750674,2020-10-11 18:19:35.750674,0
02ff-166,2020-10-11 18:16:35.576937,2020-10-11 18:19:35.576937,0
02ff-69,2020-10-11 18:16:35.598929,2020-10-11 18:19:35.598929,0
02ff-494,2020-10-11 18:16:35.843471,2020-10-11 18:19:35.843471,0
02ff-229,2020-10-11 18:16:35.720518,2020-10-11 18:19:35.720518,0
02ff-235,2020-10-11 18:16:35.781231,2020-10-11 18:19:35.781231,0
02ff-142,2020-10-11 18:16:35.592792,2020-10-11 18:19:35.592792,0
