GUID,Inicio,Fim,Contador
030f-496,2020-10-11 17:55:13.094648,2020-10-11 17:58:13.094648,0
030f-447,2020-10-11 17:55:13.099772,2020-10-11 17:58:13.099772,0
030f-469,2020-10-11 17:55:13.097499,2020-10-11 17:58:13.097499,0
030f-490,2020-10-11 17:55:13.099467,2020-10-11 17:58:13.099467,0
030f-463,2020-10-11 17:55:13.099118,2020-10-11 17:58:13.099118,0
030f-476,2020-10-11 17:55:13.097921,2020-10-11 17:58:13.097921,0
030f-58,2020-10-11 17:55:08.192167,2020-10-11 17:58:08.192167,4
030f-364,2020-10-11 17:55:12.435084,2020-10-11 17:58:12.435084,1
030f-20,2020-10-11 17:55:08.201058,2020-10-11 17:58:08.201058,5
030f-452,2020-10-11 17:55:13.095502,2020-10-11 17:58:13.095502,0
030f-393,2020-10-11 17:55:12.436379,2020-10-11 17:58:12.436379,2
030f-482,2020-10-11 17:55:13.087518,2020-10-11 17:58:13.087518,1
030f-456,2020-10-11 17:55:13.092844,2020-10-11 17:58:13.092844,1
030f-451,2020-10-11 17:55:13.098001,2020-10-11 17:58:13.098001,0
030f-453,2020-10-11 17:55:13.094778,2020-10-11 17:58:13.094778,0
030f-481,2020-10-11 17:55:13.097844,2020-10-11 17:58:13.097844,0
030f-492,2020-10-11 17:55:13.089112,2020-10-11 17:58:13.089112,0
030f-388,2020-10-11 17:55:12.436456,2020-10-11 17:58:12.436456,0
030f-362,2020-10-11 17:55:12.436966,2020-10-11 17:58:12.436966,1
030f-491,2020-10-11 17:55:13.094717,2020-10-11 17:58:13.094717,0
030f-450,2020-10-11 17:55:13.088224,2020-10-11 17:58:13.088224,0
030f-480,2020-10-11 17:55:13.099330,2020-10-11 17:58:13.099330,0
030f-473,2020-10-11 17:55:13.096826,2020-10-11 17:58:13.096826,0
030f-446,2020-10-11 17:55:13.100203,2020-10-11 17:58:13.100203,0
030f-455,2020-10-11 17:55:13.087004,2020-10-11 17:58:13.087004,0
030f-478,2020-10-11 17:55:13.088818,2020-10-11 17:58:13.088818,3
030f-470,2020-10-11 17:55:13.095783,2020-10-11 17:58:13.095783,0
030f-468,2020-10-11 17:55:13.097436,2020-10-11 17:58:13.097436,0
030f-479,2020-10-11 17:55:13.098338,2020-10-11 17:58:13.098338,0
030f-498,2020-10-11 17:55:13.088612,2020-10-11 17:58:13.088612,0
030f-486,2020-10-11 17:55:13.084044,2020-10-11 17:58:13.084044,1
030f-458,2020-10-11 17:55:13.090139,2020-10-11 17:58:13.090139,0
030f-462,2020-10-11 17:55:13.088687,2020-10-11 17:58:13.088687,0
030f-477,2020-10-11 17:55:13.098408,2020-10-11 17:58:13.098408,0
030f-465,2020-10-11 17:55:13.088011,2020-10-11 17:58:13.088011,1
030f-483,2020-10-11 17:55:13.098881,2020-10-11 17:58:13.098881,0
030f-466,2020-10-11 17:55:13.100107,2020-10-11 17:58:13.100107,0
030f-36,2020-10-11 17:55:19.570042,2020-10-11 17:58:19.570042,4
030f-493,2020-10-11 17:55:13.084410,2020-10-11 17:58:13.084410,0
030f-499,2020-10-11 17:55:13.099390,2020-10-11 17:58:13.099390,0
030f-461,2020-10-11 17:55:13.095590,2020-10-11 17:58:13.095590,0
030f-448,2020-10-11 17:55:13.095850,2020-10-11 17:58:13.095850,0
030f-485,2020-10-11 17:55:13.093738,2020-10-11 17:58:13.093738,0
030f-444,2020-10-11 17:55:13.092300,2020-10-11 17:58:13.092300,0
030f-475,2020-10-11 17:55:13.100545,2020-10-11 17:58:13.100545,0
030f-425,2020-10-11 17:55:12.437036,2020-10-11 17:58:12.437036,0
030f-459,2020-10-11 17:55:13.099798,2020-10-11 17:58:13.099798,0
030f-353,2020-10-11 17:54:55.358352,2020-10-11 17:57:55.358352,1
030f-449,2020-10-11 17:55:13.099209,2020-10-11 17:58:13.099209,0
030f-494,2020-10-11 17:55:13.088897,2020-10-11 17:58:13.088897,0
030f-497,2020-10-11 17:55:13.098941,2020-10-11 17:58:13.098941,0
030f-495,2020-10-11 17:55:13.099271,2020-10-11 17:58:13.099271,0
030f-357,2020-10-11 17:55:12.436629,2020-10-11 17:58:12.436629,0
030f-460,2020-10-11 17:55:13.099712,2020-10-11 17:58:13.099712,0
030f-63,2020-10-11 17:55:19.569942,2020-10-11 17:58:19.569942,6
030f-487,2020-10-11 17:55:13.099647,2020-10-11 17:58:13.099647,1
030f-454,2020-10-11 17:55:13.099908,2020-10-11 17:58:13.099908,0
030f-488,2020-10-11 17:55:13.099850,2020-10-11 17:58:13.099850,0
030f-472,2020-10-11 17:55:13.093429,2020-10-11 17:58:13.093429,0
030f-399,2020-10-11 17:55:57.412131,2020-10-11 17:58:57.412131,2
030f-464,2020-10-11 17:55:13.100046,2020-10-11 17:58:13.100046,0
030f-348,2020-10-11 17:55:12.436237,2020-10-11 17:58:12.436237,1
030f-474,2020-10-11 17:55:13.090590,2020-10-11 17:58:13.090590,0
030f-489,2020-10-11 17:55:13.097868,2020-10-11 17:58:13.097868,0
030f-457,2020-10-11 17:55:13.095309,2020-10-11 17:58:13.095309,1
030f-471,2020-10-11 17:55:13.095377,2020-10-11 17:58:13.095377,0
030f-484,2020-10-11 17:55:13.097947,2020-10-11 17:58:13.097947,0
030f-435,2020-10-11 17:55:59.983277,2020-10-11 17:58:59.983277,1
030f-345,2020-10-11 17:55:59.984036,2020-10-11 17:58:59.984036,1
030f-467,2020-10-11 17:55:13.100264,2020-10-11 17:58:13.100264,0
030f-338,2020-10-11 17:55:59.983932,2020-10-11 17:58:59.983932,0
030f-430,2020-10-11 17:55:59.983859,2020-10-11 17:58:59.983859,1
030f-346,2020-10-11 17:55:59.982687,2020-10-11 17:58:59.982687,1
030f-332,2020-10-11 17:55:59.984121,2020-10-11 17:58:59.984121,0
030f-395,2020-10-11 17:55:59.982870,2020-10-11 17:58:59.982870,0
030f-329,2020-10-11 17:55:57.412398,2020-10-11 17:58:57.412398,4
030f-380,2020-10-11 17:57:10.073154,2020-10-11 18:00:10.073154,0
030f-54,2020-10-11 17:58:03.205491,2020-10-11 18:01:03.205491,5
030f-24,2020-10-11 17:58:03.209196,2020-10-11 18:01:03.209196,4
030f-57,2020-10-11 17:58:03.209509,2020-10-11 18:01:03.209509,4
030f-139,2020-10-11 17:58:03.211617,2020-10-11 18:01:03.211617,4
030f-67,2020-10-11 17:58:03.207396,2020-10-11 18:01:03.207396,4
030f-31,2020-10-11 17:58:03.212156,2020-10-11 18:01:03.212156,6
030f-59,2020-10-11 17:58:03.205524,2020-10-11 18:01:03.205524,5
030f-120,2020-10-11 17:58:03.212756,2020-10-11 18:01:03.212756,4
030f-102,2020-10-11 17:58:03.211962,2020-10-11 18:01:03.211962,5
030f-112,2020-10-11 17:58:03.213310,2020-10-11 18:01:03.213310,4
030f-191,2020-10-11 17:58:23.269445,2020-10-11 18:01:23.269445,6
030f-23,2020-10-11 17:58:03.203368,2020-10-11 18:01:03.203368,5
030f-11,2020-10-11 17:58:03.210316,2020-10-11 18:01:03.210316,5
030f-56,2020-10-11 17:58:03.211789,2020-10-11 18:01:03.211789,5
030f-80,2020-10-11 17:58:03.213008,2020-10-11 18:01:03.213008,5
030f-55,2020-10-11 17:58:03.211764,2020-10-11 18:01:03.211764,4
030f-222,2020-10-11 18:01:07.111601,2020-10-11 18:04:07.111601,6
030f-260,2020-10-11 18:02:13.109299,2020-10-11 18:05:13.109299,6
030f-285,2020-10-11 18:02:05.980184,2020-10-11 18:05:05.980184,5
030f-355,2020-10-11 18:03:53.955064,2020-10-11 18:06:53.955064,0
030f-217,2020-10-11 18:04:57.079183,2020-10-11 18:07:57.079183,4
030f-240,2020-10-11 18:04:57.022726,2020-10-11 18:07:57.022726,4
030f-385,2020-10-11 18:04:57.022982,2020-10-11 18:07:57.022982,1
030f-46,2020-10-11 18:08:38.633363,2020-10-11 18:11:38.633363,4
030f-382,2020-10-11 18:08:34.447893,2020-10-11 18:11:34.447893,0
030f-298,2020-10-11 18:08:44.956888,2020-10-11 18:11:44.956888,5
030f-368,2020-10-11 18:08:54.163147,2020-10-11 18:11:54.163147,0
030f-257,2020-10-11 18:08:44.956790,2020-10-11 18:11:44.956790,7
030f-416,2020-10-11 18:08:54.163103,2020-10-11 18:11:54.163103,0
030f-251,2020-10-11 18:09:53.049203,2020-10-11 18:12:53.049203,4
030f-132,2020-10-11 18:10:59.080565,2020-10-11 18:13:59.080565,3
030f-189,2020-10-11 18:11:17.457917,2020-10-11 18:14:17.457917,5
030f-398,2020-10-11 18:12:03.615695,2020-10-11 18:15:03.615695,0
030f-149,2020-10-11 18:16:37.419883,2020-10-11 18:19:37.419883,0
030f-99,2020-10-11 18:16:37.542932,2020-10-11 18:19:37.542932,0
030f-227,2020-10-11 18:16:37.579925,2020-10-11 18:19:37.579925,0
030f-432,2020-10-11 18:16:37.777040,2020-10-11 18:19:37.777040,0
030f-33,2020-10-11 18:16:37.385891,2020-10-11 18:19:37.385891,0
030f-172,2020-10-11 18:16:37.611046,2020-10-11 18:19:37.611046,0
030f-296,2020-10-11 18:16:37.583845,2020-10-11 18:19:37.583845,0
030f-351,2020-10-11 18:16:37.686754,2020-10-11 18:19:37.686754,0
030f-244,2020-10-11 18:16:37.558489,2020-10-11 18:19:37.558489,0
030f-163,2020-10-11 18:16:37.491289,2020-10-11 18:19:37.491289,0
030f-119,2020-10-11 18:16:37.460400,2020-10-11 18:19:37.460400,0
030f-64,2020-10-11 18:16:37.483659,2020-10-11 18:19:37.483659,0
030f-186,2020-10-11 18:16:37.559637,2020-10-11 18:19:37.559637,0
030f-83,2020-10-11 18:16:37.483612,2020-10-11 18:19:37.483612,0
030f-265,2020-10-11 18:16:37.679526,2020-10-11 18:19:37.679526,0
030f-309,2020-10-11 18:16:37.696563,2020-10-11 18:19:37.696563,0
030f-62,2020-10-11 18:16:37.471453,2020-10-11 18:19:37.471453,0
030f-13,2020-10-11 18:16:37.340344,2020-10-11 18:19:37.340344,0
030f-165,2020-10-11 18:16:37.561015,2020-10-11 18:19:37.561015,0
030f-97,2020-10-11 18:16:37.511685,2020-10-11 18:19:37.511685,0
030f-386,2020-10-11 18:16:37.696173,2020-10-11 18:19:37.696173,0
030f-17,2020-10-11 18:16:37.312030,2020-10-11 18:19:37.312030,0
030f-410,2020-10-11 18:16:37.679714,2020-10-11 18:19:37.679714,0
030f-384,2020-10-11 18:16:37.665301,2020-10-11 18:19:37.665301,0
030f-85,2020-10-11 18:16:37.531289,2020-10-11 18:19:37.531289,0
030f-389,2020-10-11 18:16:37.740690,2020-10-11 18:19:37.740690,0
030f-280,2020-10-11 18:16:37.574506,2020-10-11 18:19:37.574506,0
030f-199,2020-10-11 18:16:37.569948,2020-10-11 18:19:37.569948,0
030f-434,2020-10-11 18:16:37.645567,2020-10-11 18:19:37.645567,0
030f-377,2020-10-11 18:16:37.661563,2020-10-11 18:19:37.661563,0
030f-302,2020-10-11 18:16:37.671324,2020-10-11 18:19:37.671324,0
030f-40,2020-10-11 18:16:37.457012,2020-10-11 18:19:37.457012,0
030f-50,2020-10-11 18:16:37.489233,2020-10-11 18:19:37.489233,0
030f-202,2020-10-11 18:16:37.612509,2020-10-11 18:19:37.612509,0
030f-77,2020-10-11 18:16:37.471013,2020-10-11 18:19:37.471013,0
030f-73,2020-10-11 18:16:37.557637,2020-10-11 18:19:37.557637,0
030f-261,2020-10-11 18:16:37.609057,2020-10-11 18:19:37.609057,0
030f-87,2020-10-11 18:16:37.479705,2020-10-11 18:19:37.479705,0
030f-178,2020-10-11 18:16:37.570141,2020-10-11 18:19:37.570141,0
030f-129,2020-10-11 18:16:37.419817,2020-10-11 18:19:37.419817,0
030f-319,2020-10-11 18:16:37.657947,2020-10-11 18:19:37.657947,0
030f-321,2020-10-11 18:16:37.622079,2020-10-11 18:19:37.622079,0
030f-415,2020-10-11 18:16:37.745365,2020-10-11 18:19:37.745365,0
030f-16,2020-10-11 18:16:37.256210,2020-10-11 18:19:37.256210,0
030f-270,2020-10-11 18:16:37.613680,2020-10-11 18:19:37.613680,0
030f-303,2020-10-11 18:16:37.584338,2020-10-11 18:19:37.584338,0
030f-107,2020-10-11 18:16:37.293366,2020-10-11 18:19:37.293366,0
030f-250,2020-10-11 18:16:37.549123,2020-10-11 18:19:37.549123,0
030f-370,2020-10-11 18:16:37.695129,2020-10-11 18:19:37.695129,0
030f-98,2020-10-11 18:16:37.455970,2020-10-11 18:19:37.455970,0
030f-375,2020-10-11 18:16:37.770902,2020-10-11 18:19:37.770902,0
030f-27,2020-10-11 18:16:37.465574,2020-10-11 18:19:37.465574,0
030f-168,2020-10-11 18:16:37.541366,2020-10-11 18:19:37.541366,0
030f-341,2020-10-11 18:16:37.702477,2020-10-11 18:19:37.702477,0
030f-291,2020-10-11 18:16:37.622409,2020-10-11 18:19:37.622409,0
030f-176,2020-10-11 18:16:37.575225,2020-10-11 18:19:37.575225,0
030f-404,2020-10-11 18:16:37.749433,2020-10-11 18:19:37.749433,0
030f-164,2020-10-11 18:16:37.559291,2020-10-11 18:19:37.559291,0
030f-79,2020-10-11 18:16:37.379671,2020-10-11 18:19:37.379671,0
030f-256,2020-10-11 18:16:37.579875,2020-10-11 18:19:37.579875,0
030f-131,2020-10-11 18:16:37.557182,2020-10-11 18:19:37.557182,0
030f-44,2020-10-11 18:16:37.479732,2020-10-11 18:19:37.479732,0
030f-74,2020-10-11 18:16:37.496971,2020-10-11 18:19:37.496971,0
030f-61,2020-10-11 18:16:37.490432,2020-10-11 18:19:37.490432,0
030f-101,2020-10-11 18:16:37.559672,2020-10-11 18:19:37.559672,0
030f-208,2020-10-11 18:16:37.602600,2020-10-11 18:19:37.602600,0
030f-214,2020-10-11 18:16:37.578258,2020-10-11 18:19:37.578258,0
030f-381,2020-10-11 18:16:37.766125,2020-10-11 18:19:37.766125,0
030f-35,2020-10-11 18:16:37.540509,2020-10-11 18:19:37.540509,0
030f-124,2020-10-11 18:16:37.503601,2020-10-11 18:19:37.503601,0
030f-310,2020-10-11 18:16:37.659059,2020-10-11 18:19:37.659059,0
030f-156,2020-10-11 18:16:37.373178,2020-10-11 18:19:37.373178,0
030f-247,2020-10-11 18:16:37.559472,2020-10-11 18:19:37.559472,0
030f-423,2020-10-11 18:16:37.739876,2020-10-11 18:19:37.739876,0
030f-369,2020-10-11 18:16:37.665227,2020-10-11 18:19:37.665227,0
030f-133,2020-10-11 18:16:37.466737,2020-10-11 18:19:37.466737,0
030f-376,2020-10-11 18:16:37.739934,2020-10-11 18:19:37.739934,0
030f-155,2020-10-11 18:16:37.557200,2020-10-11 18:19:37.557200,0
030f-205,2020-10-11 18:16:37.559011,2020-10-11 18:19:37.559011,0
030f-72,2020-10-11 18:16:37.465548,2020-10-11 18:19:37.465548,0
030f-436,2020-10-11 18:16:37.740833,2020-10-11 18:19:37.740833,0
030f-396,2020-10-11 18:16:37.755404,2020-10-11 18:19:37.755404,0
030f-255,2020-10-11 18:16:37.686879,2020-10-11 18:19:37.686879,0
030f-249,2020-10-11 18:16:37.618140,2020-10-11 18:19:37.618140,0
030f-177,2020-10-11 18:16:37.579028,2020-10-11 18:19:37.579028,1
030f-210,2020-10-11 18:16:37.509318,2020-10-11 18:19:37.509318,0
030f-197,2020-10-11 18:16:37.677441,2020-10-11 18:19:37.677441,0
030f-109,2020-10-11 18:16:37.511443,2020-10-11 18:19:37.511443,0
030f-336,2020-10-11 18:16:37.686668,2020-10-11 18:19:37.686668,0
030f-53,2020-10-11 18:16:37.541446,2020-10-11 18:19:37.541446,0
030f-305,2020-10-11 18:16:37.661948,2020-10-11 18:19:37.661948,0
030f-272,2020-10-11 18:16:37.670192,2020-10-11 18:19:37.670192,1
030f-331,2020-10-11 18:16:37.677429,2020-10-11 18:19:37.677429,0
030f-411,2020-10-11 18:16:37.718359,2020-10-11 18:19:37.718359,0
030f-266,2020-10-11 18:16:37.671856,2020-10-11 18:19:37.671856,0
030f-422,2020-10-11 18:16:37.739993,2020-10-11 18:19:37.739993,0
030f-10,2020-10-11 18:16:37.406686,2020-10-11 18:19:37.406686,0
030f-403,2020-10-11 18:16:37.742661,2020-10-11 18:19:37.742661,0
030f-181,2020-10-11 18:16:37.614965,2020-10-11 18:19:37.614965,0
030f-365,2020-10-11 18:16:37.671873,2020-10-11 18:19:37.671873,0
030f-116,2020-10-11 18:16:37.455866,2020-10-11 18:19:37.455866,0
030f-271,2020-10-11 18:16:37.621340,2020-10-11 18:19:37.621340,1
030f-218,2020-10-11 18:16:37.677396,2020-10-11 18:19:37.677396,0
030f-301,2020-10-11 18:16:37.638758,2020-10-11 18:19:37.638758,0
030f-308,2020-10-11 18:16:37.580286,2020-10-11 18:19:37.580286,0
030f-195,2020-10-11 18:16:37.579976,2020-10-11 18:19:37.579976,0
030f-284,2020-10-11 18:16:37.615249,2020-10-11 18:19:37.615249,0
030f-405,2020-10-11 18:16:37.662243,2020-10-11 18:19:37.662243,0
030f-3,2020-10-11 18:16:37.420684,2020-10-11 18:19:37.420684,0
030f-111,2020-10-11 18:16:37.466504,2020-10-11 18:19:37.466504,0
030f-233,2020-10-11 18:16:37.645544,2020-10-11 18:19:37.645544,0
030f-420,2020-10-11 18:16:37.609991,2020-10-11 18:19:37.609991,0
030f-307,2020-10-11 18:16:37.638784,2020-10-11 18:19:37.638784,0
030f-183,2020-10-11 18:16:37.580108,2020-10-11 18:19:37.580108,0
030f-7,2020-10-11 18:16:37.325996,2020-10-11 18:19:37.325996,0
030f-0,2020-10-11 18:16:37.370212,2020-10-11 18:19:37.370212,0
030f-297,2020-10-11 18:16:37.626903,2020-10-11 18:19:37.626903,0
030f-93,2020-10-11 18:16:37.379121,2020-10-11 18:19:37.379121,0
030f-158,2020-10-11 18:16:37.466576,2020-10-11 18:19:37.466576,0
030f-117,2020-10-11 18:16:37.507791,2020-10-11 18:19:37.507791,0
030f-51,2020-10-11 18:16:37.542482,2020-10-11 18:19:37.542482,0
030f-417,2020-10-11 18:16:37.695940,2020-10-11 18:19:37.695940,0
030f-135,2020-10-11 18:16:37.491117,2020-10-11 18:19:37.491117,0
030f-196,2020-10-11 18:16:37.555903,2020-10-11 18:19:37.555903,1
030f-153,2020-10-11 18:16:37.492053,2020-10-11 18:19:37.492053,0
030f-152,2020-10-11 18:16:37.511475,2020-10-11 18:19:37.511475,0
030f-424,2020-10-11 18:16:37.739332,2020-10-11 18:19:37.739332,0
030f-258,2020-10-11 18:16:37.645129,2020-10-11 18:19:37.645129,0
030f-88,2020-10-11 18:16:37.540128,2020-10-11 18:19:37.540128,0
030f-379,2020-10-11 18:16:37.660654,2020-10-11 18:19:37.660654,0
030f-293,2020-10-11 18:16:37.669674,2020-10-11 18:19:37.669674,0
030f-360,2020-10-11 18:16:37.740779,2020-10-11 18:19:37.740779,0
030f-95,2020-10-11 18:16:37.479745,2020-10-11 18:19:37.479745,0
030f-337,2020-10-11 18:16:37.660766,2020-10-11 18:19:37.660766,0
030f-339,2020-10-11 18:16:37.575051,2020-10-11 18:19:37.575051,0
030f-304,2020-10-11 18:16:37.622343,2020-10-11 18:19:37.622343,0
030f-350,2020-10-11 18:16:37.738041,2020-10-11 18:19:37.738041,0
030f-223,2020-10-11 18:16:37.551358,2020-10-11 18:19:37.551358,0
030f-65,2020-10-11 18:16:37.511025,2020-10-11 18:19:37.511025,0
030f-254,2020-10-11 18:16:37.577919,2020-10-11 18:19:37.577919,0
030f-439,2020-10-11 18:16:37.707012,2020-10-11 18:19:37.707012,0
030f-278,2020-10-11 18:16:37.569374,2020-10-11 18:19:37.569374,1
030f-268,2020-10-11 18:16:37.658962,2020-10-11 18:19:37.658962,0
030f-342,2020-10-11 18:16:37.686945,2020-10-11 18:19:37.686945,0
030f-281,2020-10-11 18:16:37.696528,2020-10-11 18:19:37.696528,0
030f-354,2020-10-11 18:16:37.747904,2020-10-11 18:19:37.747904,0
030f-192,2020-10-11 18:16:37.659475,2020-10-11 18:19:37.659475,0
030f-413,2020-10-11 18:16:37.740022,2020-10-11 18:19:37.740022,0
030f-162,2020-10-11 18:16:37.553693,2020-10-11 18:19:37.553693,0
030f-6,2020-10-11 18:16:37.459540,2020-10-11 18:19:37.459540,0
030f-211,2020-10-11 18:16:37.559423,2020-10-11 18:19:37.559423,0
030f-248,2020-10-11 18:16:37.569999,2020-10-11 18:19:37.569999,0
030f-306,2020-10-11 18:16:37.609853,2020-10-11 18:19:37.609853,0
030f-151,2020-10-11 18:16:37.490766,2020-10-11 18:19:37.490766,0
030f-295,2020-10-11 18:16:37.659689,2020-10-11 18:19:37.659689,3
030f-115,2020-10-11 18:16:37.455422,2020-10-11 18:19:37.455422,0
030f-213,2020-10-11 18:16:37.580074,2020-10-11 18:19:37.580074,0
030f-143,2020-10-11 18:16:37.462098,2020-10-11 18:19:37.462098,0
030f-311,2020-10-11 18:16:37.612848,2020-10-11 18:19:37.612848,0
030f-288,2020-10-11 18:16:37.661443,2020-10-11 18:19:37.661443,0
030f-76,2020-10-11 18:16:37.459965,2020-10-11 18:19:37.459965,0
030f-320,2020-10-11 18:16:37.696354,2020-10-11 18:19:37.696354,0
030f-130,2020-10-11 18:16:37.374011,2020-10-11 18:19:37.374011,0
030f-5,2020-10-11 18:16:37.378070,2020-10-11 18:19:37.378070,0
030f-412,2020-10-11 18:16:37.749371,2020-10-11 18:19:37.749371,0
030f-39,2020-10-11 18:16:37.407013,2020-10-11 18:19:37.407013,0
030f-224,2020-10-11 18:16:37.585151,2020-10-11 18:19:37.585151,0
030f-105,2020-10-11 18:16:37.491229,2020-10-11 18:19:37.491229,0
030f-259,2020-10-11 18:16:37.618884,2020-10-11 18:19:37.618884,0
030f-60,2020-10-11 18:16:37.461065,2020-10-11 18:19:37.461065,0
030f-32,2020-10-11 18:16:37.549179,2020-10-11 18:19:37.549179,0
030f-169,2020-10-11 18:16:37.580025,2020-10-11 18:19:37.580025,0
030f-25,2020-10-11 18:16:37.374043,2020-10-11 18:19:37.374043,0
030f-418,2020-10-11 18:16:37.749068,2020-10-11 18:19:37.749068,0
030f-273,2020-10-11 18:16:37.666266,2020-10-11 18:19:37.666266,0
030f-146,2020-10-11 18:16:37.483532,2020-10-11 18:19:37.483532,0
030f-78,2020-10-11 18:16:37.375348,2020-10-11 18:19:37.375348,0
030f-127,2020-10-11 18:16:37.458087,2020-10-11 18:19:37.458087,0
030f-184,2020-10-11 18:16:37.551299,2020-10-11 18:19:37.551299,2
030f-314,2020-10-11 18:16:37.661895,2020-10-11 18:19:37.661895,2
030f-400,2020-10-11 18:16:37.665216,2020-10-11 18:19:37.665216,0
030f-359,2020-10-11 18:16:37.742517,2020-10-11 18:19:37.742517,0
030f-206,2020-10-11 18:16:37.617918,2020-10-11 18:19:37.617918,0
030f-274,2020-10-11 18:16:37.655922,2020-10-11 18:19:37.655922,0
030f-179,2020-10-11 18:16:37.559649,2020-10-11 18:19:37.559649,0
030f-81,2020-10-11 18:16:37.540073,2020-10-11 18:19:37.540073,1
030f-378,2020-10-11 18:16:37.679693,2020-10-11 18:19:37.679693,0
030f-204,2020-10-11 18:16:37.617767,2020-10-11 18:19:37.617767,0
030f-108,2020-10-11 18:16:37.466552,2020-10-11 18:19:37.466552,0
030f-335,2020-10-11 18:16:37.638847,2020-10-11 18:19:37.638847,0
030f-148,2020-10-11 18:16:37.559712,2020-10-11 18:19:37.559712,0
030f-324,2020-10-11 18:16:37.676362,2020-10-11 18:19:37.676362,0
030f-134,2020-10-11 18:16:37.542877,2020-10-11 18:19:37.542877,0
030f-287,2020-10-11 18:16:37.686070,2020-10-11 18:19:37.686070,0
