GUID,Inicio,Fim,Contador
7ef6-104,2020-10-11 17:54:35.597637,2020-10-11 17:57:35.597637,2
7ef6-89,2020-10-11 17:54:35.624145,2020-10-11 17:57:35.624145,1
7ef6-68,2020-10-11 17:54:35.574353,2020-10-11 17:57:35.574353,4
7ef6-261,2020-10-11 17:54:37.238544,2020-10-11 17:57:37.238544,2
7ef6-168,2020-10-11 17:54:35.655836,2020-10-11 17:57:35.655836,1
7ef6-26,2020-10-11 17:54:35.570501,2020-10-11 17:57:35.570501,4
7ef6-16,2020-10-11 17:54:35.482313,2020-10-11 17:57:35.482313,1
7ef6-330,2020-10-11 17:54:35.746626,2020-10-11 17:57:35.746626,1
7ef6-161,2020-10-11 17:54:35.645531,2020-10-11 17:57:35.645531,5
7ef6-178,2020-10-11 17:54:35.694027,2020-10-11 17:57:35.694027,0
7ef6-142,2020-10-11 17:54:35.597042,2020-10-11 17:57:35.597042,1
7ef6-115,2020-10-11 17:54:39.048867,2020-10-11 17:57:39.048867,0
7ef6-309,2020-10-11 17:54:35.730855,2020-10-11 17:57:35.730855,2
7ef6-367,2020-10-11 17:54:35.747869,2020-10-11 17:57:35.747869,0
7ef6-45,2020-10-11 17:54:35.550721,2020-10-11 17:57:35.550721,4
7ef6-69,2020-10-11 17:54:35.591041,2020-10-11 17:57:35.591041,1
7ef6-21,2020-10-11 17:54:35.482987,2020-10-11 17:57:35.482987,3
7ef6-124,2020-10-11 17:54:35.621631,2020-10-11 17:57:35.621631,1
7ef6-15,2020-10-11 17:54:35.400616,2020-10-11 17:57:35.400616,3
7ef6-222,2020-10-11 17:54:35.699308,2020-10-11 17:57:35.699308,1
7ef6-18,2020-10-11 17:54:35.528437,2020-10-11 17:57:35.528437,1
7ef6-160,2020-10-11 17:54:35.645420,2020-10-11 17:57:35.645420,2
7ef6-159,2020-10-11 17:54:35.643788,2020-10-11 17:57:35.643788,2
7ef6-110,2020-10-11 17:54:35.624803,2020-10-11 17:57:35.624803,1
7ef6-98,2020-10-11 17:54:35.575871,2020-10-11 17:57:35.575871,1
7ef6-287,2020-10-11 17:54:35.722762,2020-10-11 17:57:35.722762,1
7ef6-282,2020-10-11 17:54:37.329888,2020-10-11 17:57:37.329888,1
7ef6-34,2020-10-11 17:54:35.550764,2020-10-11 17:57:35.550764,5
7ef6-218,2020-10-11 17:54:35.671496,2020-10-11 17:57:35.671496,0
7ef6-438,2020-10-11 17:54:35.775122,2020-10-11 17:57:35.775122,1
7ef6-9,2020-10-11 17:54:35.400283,2020-10-11 17:57:35.400283,1
7ef6-54,2020-10-11 17:54:35.511349,2020-10-11 17:57:35.511349,1
7ef6-308,2020-10-11 17:54:35.737800,2020-10-11 17:57:35.737800,1
7ef6-247,2020-10-11 17:54:35.712027,2020-10-11 17:57:35.712027,0
7ef6-230,2020-10-11 17:54:35.685541,2020-10-11 17:57:35.685541,4
7ef6-25,2020-10-11 17:54:35.527013,2020-10-11 17:57:35.527013,1
7ef6-316,2020-10-11 17:54:35.737556,2020-10-11 17:57:35.737556,1
7ef6-283,2020-10-11 17:54:35.724642,2020-10-11 17:57:35.724642,0
7ef6-319,2020-10-11 17:54:35.737853,2020-10-11 17:57:35.737853,1
7ef6-323,2020-10-11 17:54:35.740144,2020-10-11 17:57:35.740144,0
7ef6-472,2020-10-11 17:54:37.503798,2020-10-11 17:57:37.503798,1
7ef6-286,2020-10-11 17:54:35.724581,2020-10-11 17:57:35.724581,0
7ef6-329,2020-10-11 17:54:37.132328,2020-10-11 17:57:37.132328,1
7ef6-53,2020-10-11 17:54:35.622079,2020-10-11 17:57:35.622079,3
7ef6-254,2020-10-11 17:54:35.693264,2020-10-11 17:57:35.693264,3
7ef6-464,2020-10-11 17:54:35.775892,2020-10-11 17:57:35.775892,0
7ef6-311,2020-10-11 17:54:35.730831,2020-10-11 17:57:35.730831,1
7ef6-484,2020-10-11 17:54:35.784957,2020-10-11 17:57:35.784957,0
7ef6-193,2020-10-11 17:54:35.670366,2020-10-11 17:57:35.670366,1
7ef6-437,2020-10-11 17:54:35.776313,2020-10-11 17:57:35.776313,0
7ef6-57,2020-10-11 17:54:35.512689,2020-10-11 17:57:35.512689,1
7ef6-20,2020-10-11 17:54:35.528413,2020-10-11 17:57:35.528413,0
