GUID,Inicio,Fim,Contador
8ba5-76,2020-10-11 17:54:35.806574,2020-10-11 17:57:35.806574,1
8ba5-34,2020-10-11 17:54:35.809029,2020-10-11 17:57:35.809029,1
8ba5-95,2020-10-11 17:54:35.833384,2020-10-11 17:57:35.833384,1
8ba5-29,2020-10-11 17:54:35.856899,2020-10-11 17:57:35.856899,5
8ba5-123,2020-10-11 17:54:35.856395,2020-10-11 17:57:35.856395,5
8ba5-35,2020-10-11 17:54:41.168862,2020-10-11 17:57:41.168862,3
8ba5-19,2020-10-11 17:54:37.612039,2020-10-11 17:57:37.612039,1
8ba5-39,2020-10-11 17:54:51.950918,2020-10-11 17:57:51.950918,4
8ba5-22,2020-10-11 17:54:51.951167,2020-10-11 17:57:51.951167,4
8ba5-103,2020-10-11 17:54:35.833560,2020-10-11 17:57:35.833560,2
8ba5-89,2020-10-11 17:54:35.808746,2020-10-11 17:57:35.808746,1
8ba5-71,2020-10-11 17:54:41.166051,2020-10-11 17:57:41.166051,1
8ba5-69,2020-10-11 17:54:35.833122,2020-10-11 17:57:35.833122,6
8ba5-56,2020-10-11 17:54:35.809163,2020-10-11 17:57:35.809163,1
8ba5-63,2020-10-11 17:54:51.900412,2020-10-11 17:57:51.900412,4
8ba5-78,2020-10-11 17:54:35.833151,2020-10-11 17:57:35.833151,1
8ba5-7,2020-10-11 17:54:39.426498,2020-10-11 17:57:39.426498,5
8ba5-33,2020-10-11 17:54:41.168785,2020-10-11 17:57:41.168785,4
8ba5-75,2020-10-11 17:54:41.168527,2020-10-11 17:57:41.168527,1
8ba5-128,2020-10-11 17:55:16.546944,2020-10-11 17:58:16.546944,3
8ba5-25,2020-10-11 17:54:39.481587,2020-10-11 17:57:39.481587,1
8ba5-44,2020-10-11 17:55:16.547021,2020-10-11 17:58:16.547021,5
8ba5-105,2020-10-11 17:55:16.560279,2020-10-11 17:58:16.560279,4
8ba5-58,2020-10-11 17:54:37.189211,2020-10-11 17:57:37.189211,4
8ba5-85,2020-10-11 17:55:19.165501,2020-10-11 17:58:19.165501,6
8ba5-82,2020-10-11 17:55:16.544610,2020-10-11 17:58:16.544610,4
8ba5-314,2020-10-11 17:54:37.957471,2020-10-11 17:57:37.957471,4
8ba5-57,2020-10-11 17:54:51.905151,2020-10-11 17:57:51.905151,4
8ba5-8,2020-10-11 17:54:37.188986,2020-10-11 17:57:37.188986,6
8ba5-3,2020-10-11 17:54:41.110202,2020-10-11 17:57:41.110202,6
8ba5-97,2020-10-11 17:55:16.545048,2020-10-11 17:58:16.545048,4
8ba5-31,2020-10-11 17:54:35.809097,2020-10-11 17:57:35.809097,2
8ba5-4,2020-10-11 17:54:41.109595,2020-10-11 17:57:41.109595,6
8ba5-101,2020-10-11 17:54:35.808416,2020-10-11 17:57:35.808416,5
8ba5-72,2020-10-11 17:55:16.544034,2020-10-11 17:58:16.544034,5
8ba5-62,2020-10-11 17:55:16.560602,2020-10-11 17:58:16.560602,5
8ba5-96,2020-10-11 17:55:16.547491,2020-10-11 17:58:16.547491,5
8ba5-30,2020-10-11 17:54:39.635992,2020-10-11 17:57:39.635992,1
8ba5-113,2020-10-11 17:55:16.564081,2020-10-11 17:58:16.564081,3
8ba5-98,2020-10-11 17:55:16.548051,2020-10-11 17:58:16.548051,5
8ba5-11,2020-10-11 17:55:44.303904,2020-10-11 17:58:44.303904,5
8ba5-336,2020-10-11 17:55:37.392375,2020-10-11 17:58:37.392375,5
8ba5-77,2020-10-11 17:55:16.548452,2020-10-11 17:58:16.548452,5
8ba5-388,2020-10-11 17:57:48.335271,2020-10-11 18:00:48.335271,2
8ba5-355,2020-10-11 17:57:48.335148,2020-10-11 18:00:48.335148,0
8ba5-232,2020-10-11 17:58:08.382472,2020-10-11 18:01:08.382472,5
8ba5-325,2020-10-11 17:57:56.755913,2020-10-11 18:00:56.755913,1
8ba5-204,2020-10-11 17:58:08.382639,2020-10-11 18:01:08.382639,5
8ba5-149,2020-10-11 17:57:56.754530,2020-10-11 18:00:56.754530,0
8ba5-238,2020-10-11 17:58:08.383436,2020-10-11 18:01:08.383436,5
8ba5-171,2020-10-11 17:58:09.519342,2020-10-11 18:01:09.519342,4
8ba5-227,2020-10-11 17:58:09.518556,2020-10-11 18:01:09.518556,5
8ba5-247,2020-10-11 17:57:56.756858,2020-10-11 18:00:56.756858,1
8ba5-303,2020-10-11 17:57:56.756452,2020-10-11 18:00:56.756452,1
8ba5-198,2020-10-11 17:58:10.800942,2020-10-11 18:01:10.800942,4
8ba5-269,2020-10-11 17:58:42.552053,2020-10-11 18:01:42.552053,6
8ba5-418,2020-10-11 17:58:52.150538,2020-10-11 18:01:52.150538,0
8ba5-38,2020-10-11 17:59:21.122297,2020-10-11 18:02:21.122297,2
8ba5-319,2020-10-11 17:59:50.880323,2020-10-11 18:02:50.880323,4
8ba5-382,2020-10-11 17:59:42.878412,2020-10-11 18:02:42.878412,0
8ba5-323,2020-10-11 17:59:58.502183,2020-10-11 18:02:58.502183,5
8ba5-282,2020-10-11 17:59:42.877734,2020-10-11 18:02:42.877734,4
8ba5-312,2020-10-11 17:59:50.880725,2020-10-11 18:02:50.880725,0
8ba5-284,2020-10-11 17:59:42.878287,2020-10-11 18:02:42.878287,4
8ba5-279,2020-10-11 17:59:23.800798,2020-10-11 18:02:23.800798,5
8ba5-262,2020-10-11 17:59:52.943284,2020-10-11 18:02:52.943284,6
8ba5-335,2020-10-11 18:01:13.350117,2020-10-11 18:04:13.350117,4
8ba5-157,2020-10-11 18:02:32.110146,2020-10-11 18:05:32.110146,0
8ba5-190,2020-10-11 18:04:24.597873,2020-10-11 18:07:24.597873,4
8ba5-392,2020-10-11 18:04:06.844507,2020-10-11 18:07:06.844507,0
8ba5-102,2020-10-11 18:05:24.111082,2020-10-11 18:08:24.111082,4
8ba5-79,2020-10-11 18:05:36.133451,2020-10-11 18:08:36.133451,5
8ba5-52,2020-10-11 18:05:36.133506,2020-10-11 18:08:36.133506,6
8ba5-28,2020-10-11 18:05:36.134318,2020-10-11 18:08:36.134318,5
8ba5-125,2020-10-11 18:05:36.134921,2020-10-11 18:08:36.134921,4
8ba5-2,2020-10-11 18:05:36.135144,2020-10-11 18:08:36.135144,4
8ba5-51,2020-10-11 18:05:36.134630,2020-10-11 18:08:36.134630,4
8ba5-301,2020-10-11 18:05:50.098760,2020-10-11 18:08:50.098760,0
8ba5-387,2020-10-11 18:05:50.099004,2020-10-11 18:08:50.099004,0
8ba5-321,2020-10-11 18:06:43.352247,2020-10-11 18:09:43.352247,2
8ba5-271,2020-10-11 18:07:15.758281,2020-10-11 18:10:15.758281,5
