GUID,Inicio,Fim,Contador
b06d-114,2020-10-11 17:54:38.135656,2020-10-11 17:57:38.135656,5
b06d-353,2020-10-11 17:54:47.321510,2020-10-11 17:57:47.321510,2
b06d-456,2020-10-11 17:54:47.513019,2020-10-11 17:57:47.513019,0
b06d-376,2020-10-11 17:54:47.321282,2020-10-11 17:57:47.321282,2
b06d-457,2020-10-11 17:54:47.513719,2020-10-11 17:57:47.513719,1
b06d-335,2020-10-11 17:54:43.063939,2020-10-11 17:57:43.063939,5
b06d-29,2020-10-11 17:56:24.322324,2020-10-11 17:59:24.322324,5
b06d-113,2020-10-11 17:56:24.321850,2020-10-11 17:59:24.321850,4
b06d-13,2020-10-11 17:56:24.322449,2020-10-11 17:59:24.322449,6
b06d-311,2020-10-11 17:58:10.966924,2020-10-11 18:01:10.966924,5
b06d-12,2020-10-11 17:58:34.425554,2020-10-11 18:01:34.425554,4
b06d-150,2020-10-11 18:04:19.738169,2020-10-11 18:07:19.738169,5
b06d-482,2020-10-11 18:04:48.490296,2020-10-11 18:07:48.490296,0
b06d-436,2020-10-11 18:07:47.684233,2020-10-11 18:10:47.684233,0
b06d-196,2020-10-11 18:12:14.634184,2020-10-11 18:15:14.634184,6
b06d-368,2020-10-11 18:12:55.688371,2020-10-11 18:15:55.688371,0
b06d-348,2020-10-11 18:12:55.688111,2020-10-11 18:15:55.688111,0
b06d-271,2020-10-11 18:13:16.671716,2020-10-11 18:16:16.671716,4
b06d-283,2020-10-11 18:14:20.119749,2020-10-11 18:17:20.119749,4
b06d-294,2020-10-11 18:14:20.119536,2020-10-11 18:17:20.119536,4
b06d-26,2020-10-11 18:15:08.264324,2020-10-11 18:18:08.264324,6
b06d-255,2020-10-11 18:16:36.911846,2020-10-11 18:19:36.911846,0
b06d-231,2020-10-11 18:16:36.879226,2020-10-11 18:19:36.879226,0
b06d-405,2020-10-11 18:16:36.951918,2020-10-11 18:19:36.951918,0
b06d-446,2020-10-11 18:16:37.024767,2020-10-11 18:19:37.024767,0
b06d-191,2020-10-11 18:16:36.883437,2020-10-11 18:19:36.883437,0
b06d-254,2020-10-11 18:16:36.881800,2020-10-11 18:19:36.881800,0
b06d-263,2020-10-11 18:16:36.943846,2020-10-11 18:19:36.943846,0
b06d-213,2020-10-11 18:16:36.816055,2020-10-11 18:19:36.816055,0
b06d-201,2020-10-11 18:16:36.841232,2020-10-11 18:19:36.841232,0
b06d-59,2020-10-11 18:16:36.639980,2020-10-11 18:19:36.639980,0
b06d-362,2020-10-11 18:16:37.031796,2020-10-11 18:19:37.031796,0
b06d-205,2020-10-11 18:16:36.862008,2020-10-11 18:19:36.862008,0
b06d-290,2020-10-11 18:16:36.860741,2020-10-11 18:19:36.860741,0
b06d-171,2020-10-11 18:16:36.867184,2020-10-11 18:19:36.867184,0
b06d-394,2020-10-11 18:16:36.976639,2020-10-11 18:19:36.976639,0
b06d-375,2020-10-11 18:16:37.018338,2020-10-11 18:19:37.018338,0
b06d-233,2020-10-11 18:16:36.866853,2020-10-11 18:19:36.866853,0
b06d-355,2020-10-11 18:16:37.034315,2020-10-11 18:19:37.034315,0
b06d-326,2020-10-11 18:16:37.009487,2020-10-11 18:19:37.009487,0
b06d-293,2020-10-11 18:16:36.949004,2020-10-11 18:19:36.949004,0
b06d-189,2020-10-11 18:16:36.841093,2020-10-11 18:19:36.841093,0
b06d-384,2020-10-11 18:16:36.964922,2020-10-11 18:19:36.964922,0
b06d-365,2020-10-11 18:16:37.016426,2020-10-11 18:19:37.016426,0
b06d-115,2020-10-11 18:16:36.767497,2020-10-11 18:19:36.767497,0
b06d-9,2020-10-11 18:16:36.536901,2020-10-11 18:19:36.536901,0
b06d-75,2020-10-11 18:16:36.709840,2020-10-11 18:19:36.709840,0
b06d-99,2020-10-11 18:16:36.747964,2020-10-11 18:19:36.747964,0
b06d-206,2020-10-11 18:16:36.862244,2020-10-11 18:19:36.862244,0
