GUID,Inicio,Fim,Contador
be35-97,2020-10-11 17:54:33.166564,2020-10-11 17:57:33.166564,4
be35-86,2020-10-11 17:54:33.158724,2020-10-11 17:57:33.158724,4
be35-154,2020-10-11 17:54:33.196968,2020-10-11 17:57:33.196968,4
be35-269,2020-10-11 17:54:33.343038,2020-10-11 17:57:33.343038,3
be35-315,2020-10-11 17:54:33.417391,2020-10-11 17:57:33.417391,6
be35-206,2020-10-11 17:54:33.242118,2020-10-11 17:57:33.242118,4
be35-361,2020-10-11 17:54:33.661866,2020-10-11 17:57:33.661866,0
be35-89,2020-10-11 17:54:33.118828,2020-10-11 17:57:33.118828,5
be35-182,2020-10-11 17:54:33.260468,2020-10-11 17:57:33.260468,3
be35-163,2020-10-11 17:54:33.196016,2020-10-11 17:57:33.196016,4
be35-208,2020-10-11 17:54:33.257792,2020-10-11 17:57:33.257792,5
be35-128,2020-10-11 17:54:33.158700,2020-10-11 17:57:33.158700,3
be35-325,2020-10-11 17:54:33.436824,2020-10-11 17:57:33.436824,4
be35-131,2020-10-11 17:54:33.147146,2020-10-11 17:57:33.147146,4
be35-193,2020-10-11 17:54:33.225440,2020-10-11 17:57:33.225440,5
be35-351,2020-10-11 17:54:33.664570,2020-10-11 17:57:33.664570,0
be35-158,2020-10-11 17:54:33.197018,2020-10-11 17:57:33.197018,4
be35-241,2020-10-11 17:54:33.292126,2020-10-11 17:57:33.292126,4
be35-307,2020-10-11 17:54:33.413422,2020-10-11 17:57:33.413422,4
be35-326,2020-10-11 17:54:33.490788,2020-10-11 17:57:33.490788,4
be35-100,2020-10-11 17:54:33.138745,2020-10-11 17:57:33.138745,5
be35-4,2020-10-11 17:54:32.972115,2020-10-11 17:57:32.972115,4
be35-191,2020-10-11 17:54:33.227091,2020-10-11 17:57:33.227091,5
be35-349,2020-10-11 17:54:33.599394,2020-10-11 17:57:33.599394,0
be35-78,2020-10-11 17:54:33.093372,2020-10-11 17:57:33.093372,5
be35-162,2020-10-11 17:54:33.189963,2020-10-11 17:57:33.189963,3
be35-225,2020-10-11 17:54:33.292150,2020-10-11 17:57:33.292150,5
be35-292,2020-10-11 17:54:33.359809,2020-10-11 17:57:33.359809,4
