GUID,Inicio,Fim,Contador
c27d-229,2020-10-11 17:55:18.880861,2020-10-11 17:58:18.880861,5
c27d-240,2020-10-11 17:55:18.881057,2020-10-11 17:58:18.881057,3
c27d-184,2020-10-11 17:55:18.878651,2020-10-11 17:58:18.878651,5
c27d-200,2020-10-11 17:55:18.879338,2020-10-11 17:58:18.879338,5
c27d-147,2020-10-11 17:54:39.430474,2020-10-11 17:57:39.430474,2
c27d-179,2020-10-11 17:55:18.880834,2020-10-11 17:58:18.880834,5
c27d-102,2020-10-11 17:55:45.713899,2020-10-11 17:58:45.713899,3
c27d-206,2020-10-11 17:55:18.878578,2020-10-11 17:58:18.878578,5
c27d-66,2020-10-11 17:55:45.718621,2020-10-11 17:58:45.718621,6
c27d-47,2020-10-11 17:55:45.842938,2020-10-11 17:58:45.842938,4
c27d-107,2020-10-11 17:55:45.713750,2020-10-11 17:58:45.713750,5
c27d-126,2020-10-11 17:55:45.715302,2020-10-11 17:58:45.715302,4
c27d-46,2020-10-11 17:55:45.811889,2020-10-11 17:58:45.811889,5
c27d-21,2020-10-11 17:55:45.719667,2020-10-11 17:58:45.719667,4
c27d-63,2020-10-11 17:55:45.715432,2020-10-11 17:58:45.715432,5
c27d-85,2020-10-11 17:55:45.716972,2020-10-11 17:58:45.716972,4
c27d-74,2020-10-11 17:55:45.719279,2020-10-11 17:58:45.719279,4
c27d-30,2020-10-11 17:55:45.810374,2020-10-11 17:58:45.810374,3
c27d-69,2020-10-11 17:55:26.215704,2020-10-11 17:58:26.215704,4
c27d-122,2020-10-11 17:55:45.719136,2020-10-11 17:58:45.719136,5
c27d-100,2020-10-11 17:55:45.718870,2020-10-11 17:58:45.718870,5
c27d-111,2020-10-11 17:55:45.811812,2020-10-11 17:58:45.811812,4
c27d-51,2020-10-11 17:56:06.914447,2020-10-11 17:59:06.914447,3
c27d-44,2020-10-11 17:55:45.721165,2020-10-11 17:58:45.721165,5
c27d-89,2020-10-11 17:56:06.912391,2020-10-11 17:59:06.912391,4
c27d-40,2020-10-11 17:56:06.919944,2020-10-11 17:59:06.919944,4
c27d-29,2020-10-11 17:55:45.798935,2020-10-11 17:58:45.798935,4
c27d-148,2020-10-11 17:56:06.915906,2020-10-11 17:59:06.915906,5
c27d-65,2020-10-11 17:55:45.708852,2020-10-11 17:58:45.708852,4
c27d-54,2020-10-11 17:55:45.714673,2020-10-11 17:58:45.714673,3
c27d-27,2020-10-11 17:55:45.666905,2020-10-11 17:58:45.666905,4
c27d-49,2020-10-11 17:55:45.707668,2020-10-11 17:58:45.707668,5
c27d-86,2020-10-11 17:56:06.919849,2020-10-11 17:59:06.919849,4
c27d-42,2020-10-11 17:55:45.711563,2020-10-11 17:58:45.711563,4
c27d-60,2020-10-11 17:56:06.915185,2020-10-11 17:59:06.915185,5
c27d-116,2020-10-11 17:55:45.721042,2020-10-11 17:58:45.721042,5
c27d-52,2020-10-11 17:56:06.916971,2020-10-11 17:59:06.916971,6
c27d-142,2020-10-11 17:55:45.843596,2020-10-11 17:58:45.843596,4
c27d-43,2020-10-11 17:55:45.715567,2020-10-11 17:58:45.715567,4
c27d-109,2020-10-11 17:55:45.719938,2020-10-11 17:58:45.719938,4
c27d-41,2020-10-11 17:56:06.910861,2020-10-11 17:59:06.910861,4
c27d-97,2020-10-11 17:56:06.913702,2020-10-11 17:59:06.913702,4
c27d-45,2020-10-11 17:56:06.914792,2020-10-11 17:59:06.914792,3
c27d-119,2020-10-11 17:55:45.718115,2020-10-11 17:58:45.718115,5
c27d-35,2020-10-11 17:55:45.666953,2020-10-11 17:58:45.666953,7
c27d-28,2020-10-11 17:56:06.918786,2020-10-11 17:59:06.918786,5
c27d-105,2020-10-11 17:56:06.920484,2020-10-11 17:59:06.920484,4
c27d-56,2020-10-11 17:55:45.842515,2020-10-11 17:58:45.842515,4
c27d-94,2020-10-11 17:55:45.718551,2020-10-11 17:58:45.718551,4
c27d-81,2020-10-11 17:55:45.666413,2020-10-11 17:58:45.666413,4
c27d-178,2020-10-11 17:55:18.880696,2020-10-11 17:58:18.880696,5
c27d-59,2020-10-11 17:55:45.721095,2020-10-11 17:58:45.721095,5
c27d-61,2020-10-11 17:56:06.920683,2020-10-11 17:59:06.920683,5
