GUID,Inicio,Fim,Contador
e1bb-299,2020-10-11 17:54:39.072017,2020-10-11 17:57:39.072017,5
e1bb-57,2020-10-11 17:55:34.887190,2020-10-11 17:58:34.887190,3
e1bb-222,2020-10-11 17:55:41.352411,2020-10-11 17:58:41.352411,4
e1bb-105,2020-10-11 17:55:34.887619,2020-10-11 17:58:34.887619,6
e1bb-411,2020-10-11 17:56:20.567702,2020-10-11 17:59:20.567702,0
e1bb-275,2020-10-11 17:55:41.368196,2020-10-11 17:58:41.368196,4
e1bb-338,2020-10-11 17:56:32.291623,2020-10-11 17:59:32.291623,0
e1bb-351,2020-10-11 17:56:32.290870,2020-10-11 17:59:32.290870,0
e1bb-100,2020-10-11 17:56:58.109030,2020-10-11 17:59:58.109030,5
e1bb-29,2020-10-11 17:56:58.109378,2020-10-11 17:59:58.109378,4
e1bb-311,2020-10-11 17:56:32.291555,2020-10-11 17:59:32.291555,5
e1bb-24,2020-10-11 17:56:58.108560,2020-10-11 17:59:58.108560,5
e1bb-99,2020-10-11 17:57:40.498480,2020-10-11 18:00:40.498480,5
e1bb-41,2020-10-11 17:57:40.498304,2020-10-11 18:00:40.498304,6
e1bb-34,2020-10-11 17:59:27.052746,2020-10-11 18:02:27.052746,5
e1bb-121,2020-10-11 17:59:50.878350,2020-10-11 18:02:50.878350,4
e1bb-439,2020-10-11 17:59:30.162489,2020-10-11 18:02:30.162489,0
e1bb-350,2020-10-11 17:59:30.162442,2020-10-11 18:02:30.162442,1
e1bb-229,2020-10-11 17:59:34.353554,2020-10-11 18:02:34.353554,4
e1bb-9,2020-10-11 18:01:10.184592,2020-10-11 18:04:10.184592,5
e1bb-292,2020-10-11 18:04:28.281362,2020-10-11 18:07:28.281362,0
e1bb-66,2020-10-11 18:05:53.184294,2020-10-11 18:08:53.184294,5
e1bb-151,2020-10-11 18:05:47.598001,2020-10-11 18:08:47.598001,4
e1bb-144,2020-10-11 18:05:47.597883,2020-10-11 18:08:47.597883,4
e1bb-491,2020-10-11 18:08:01.770496,2020-10-11 18:11:01.770496,0
e1bb-335,2020-10-11 18:08:52.463879,2020-10-11 18:11:52.463879,0
e1bb-483,2020-10-11 18:10:40.438768,2020-10-11 18:13:40.438768,0
e1bb-384,2020-10-11 18:12:45.111962,2020-10-11 18:15:45.111962,0
e1bb-377,2020-10-11 18:12:44.864987,2020-10-11 18:15:44.864987,0
e1bb-444,2020-10-11 18:12:45.915388,2020-10-11 18:15:45.915388,0
e1bb-273,2020-10-11 18:12:44.916763,2020-10-11 18:15:44.916763,4
e1bb-414,2020-10-11 18:12:44.916104,2020-10-11 18:15:44.916104,0
e1bb-145,2020-10-11 18:12:45.110520,2020-10-11 18:15:45.110520,5
e1bb-301,2020-10-11 18:12:45.907527,2020-10-11 18:15:45.907527,0
e1bb-461,2020-10-11 18:12:44.864681,2020-10-11 18:15:44.864681,0
e1bb-473,2020-10-11 18:12:44.996564,2020-10-11 18:15:44.996564,0
e1bb-497,2020-10-11 18:12:44.865490,2020-10-11 18:15:44.865490,0
e1bb-453,2020-10-11 18:12:45.877051,2020-10-11 18:15:45.877051,0
e1bb-280,2020-10-11 18:12:45.907801,2020-10-11 18:15:45.907801,5
e1bb-479,2020-10-11 18:12:44.996361,2020-10-11 18:15:44.996361,0
e1bb-329,2020-10-11 18:12:45.028068,2020-10-11 18:15:45.028068,0
e1bb-397,2020-10-11 18:12:44.916969,2020-10-11 18:15:44.916969,0
e1bb-469,2020-10-11 18:12:57.700025,2020-10-11 18:15:57.700025,0
e1bb-243,2020-10-11 18:12:45.111198,2020-10-11 18:15:45.111198,4
e1bb-430,2020-10-11 18:12:45.028129,2020-10-11 18:15:45.028129,0
e1bb-44,2020-10-11 18:12:45.880859,2020-10-11 18:15:45.880859,4
