GUID,Inicio,Fim,Contador
00c0-181,2020-10-11 19:17:49.610676,2020-10-11 19:20:49.610676,3
00c0-48,2020-10-11 19:17:49.527147,2020-10-11 19:20:49.527147,5
00c0-161,2020-10-11 19:17:49.588643,2020-10-11 19:20:49.588643,4
00c0-179,2020-10-11 19:17:49.600473,2020-10-11 19:20:49.600473,3
00c0-320,2020-10-11 19:17:49.985608,2020-10-11 19:20:49.985608,3
00c0-342,2020-10-11 19:17:50.174465,2020-10-11 19:20:50.174465,0
00c0-223,2020-10-11 19:17:49.718645,2020-10-11 19:20:49.718645,4
00c0-145,2020-10-11 19:17:49.541722,2020-10-11 19:20:49.541722,5
00c0-474,2020-10-11 19:17:50.882871,2020-10-11 19:20:50.882871,0
00c0-454,2020-10-11 19:17:50.847078,2020-10-11 19:20:50.847078,0
00c0-220,2020-10-11 19:17:49.665463,2020-10-11 19:20:49.665463,4
00c0-139,2020-10-11 19:17:49.570783,2020-10-11 19:20:49.570783,3
00c0-121,2020-10-11 19:17:49.529655,2020-10-11 19:20:49.529655,5
00c0-34,2020-10-11 19:17:49.442878,2020-10-11 19:20:49.442878,4
00c0-28,2020-10-11 19:17:49.501700,2020-10-11 19:20:49.501700,3
00c0-77,2020-10-11 19:17:49.477871,2020-10-11 19:20:49.477871,3
00c0-163,2020-10-11 19:17:49.586797,2020-10-11 19:20:49.586797,4
00c0-380,2020-10-11 19:17:50.273042,2020-10-11 19:20:50.273042,0
00c0-288,2020-10-11 19:17:49.893171,2020-10-11 19:20:49.893171,4
00c0-53,2020-10-11 19:17:49.513054,2020-10-11 19:20:49.513054,5
00c0-465,2020-10-11 19:17:50.868635,2020-10-11 19:20:50.868635,0
00c0-117,2020-10-11 19:17:49.560486,2020-10-11 19:20:49.560486,5
00c0-122,2020-10-11 19:17:49.570659,2020-10-11 19:20:49.570659,4
00c0-174,2020-10-11 19:17:49.605991,2020-10-11 19:20:49.605991,4
00c0-442,2020-10-11 19:17:50.750201,2020-10-11 19:20:50.750201,0
00c0-418,2020-10-11 19:17:50.585597,2020-10-11 19:20:50.585597,0
00c0-247,2020-10-11 19:17:49.805065,2020-10-11 19:20:49.805065,5
00c0-68,2020-10-11 19:17:49.518961,2020-10-11 19:20:49.518961,5
00c0-96,2020-10-11 19:17:49.477585,2020-10-11 19:20:49.477585,3
00c0-212,2020-10-11 19:17:49.661440,2020-10-11 19:20:49.661440,4
00c0-35,2020-10-11 19:17:49.491051,2020-10-11 19:20:49.491051,3
00c0-434,2020-10-11 19:17:50.717794,2020-10-11 19:20:50.717794,0
00c0-148,2020-10-11 19:17:49.567826,2020-10-11 19:20:49.567826,4
00c0-304,2020-10-11 19:17:49.954649,2020-10-11 19:20:49.954649,5
00c0-5,2020-10-11 19:17:49.408502,2020-10-11 19:20:49.408502,3
00c0-31,2020-10-11 19:17:49.485476,2020-10-11 19:20:49.485476,3
00c0-10,2020-10-11 19:17:49.414861,2020-10-11 19:20:49.414861,3
00c0-467,2020-10-11 19:17:50.868822,2020-10-11 19:20:50.868822,0
00c0-329,2020-10-11 19:17:50.004122,2020-10-11 19:20:50.004122,5
00c0-345,2020-10-11 19:17:50.115600,2020-10-11 19:20:50.115600,0
00c0-362,2020-10-11 19:17:50.173333,2020-10-11 19:20:50.173333,0
00c0-445,2020-10-11 19:17:50.750336,2020-10-11 19:20:50.750336,0
00c0-306,2020-10-11 19:17:49.954780,2020-10-11 19:20:49.954780,5
00c0-126,2020-10-11 19:17:49.528650,2020-10-11 19:20:49.528650,5
