GUID,Inicio,Fim,Contador
15d8-54,2020-10-11 19:17:50.225192,2020-10-11 19:20:50.225192,3
15d8-168,2020-10-11 19:17:50.489081,2020-10-11 19:20:50.489081,5
15d8-45,2020-10-11 19:17:49.989709,2020-10-11 19:20:49.989709,4
15d8-225,2020-10-11 19:17:50.747700,2020-10-11 19:20:50.747700,4
15d8-186,2020-10-11 19:17:50.591779,2020-10-11 19:20:50.591779,4
15d8-177,2020-10-11 19:17:50.588022,2020-10-11 19:20:50.588022,4
15d8-28,2020-10-11 19:17:50.102140,2020-10-11 19:20:50.102140,4
15d8-72,2020-10-11 19:17:50.218448,2020-10-11 19:20:50.218448,4
15d8-335,2020-10-11 19:17:51.287739,2020-10-11 19:20:51.287739,2
15d8-431,2020-10-11 19:17:51.533013,2020-10-11 19:20:51.533013,0
15d8-261,2020-10-11 19:17:50.884119,2020-10-11 19:20:50.884119,3
15d8-39,2020-10-11 19:17:49.984992,2020-10-11 19:20:49.984992,3
15d8-117,2020-10-11 19:17:50.365099,2020-10-11 19:20:50.365099,4
15d8-124,2020-10-11 19:17:50.387025,2020-10-11 19:20:50.387025,4
15d8-202,2020-10-11 19:17:50.659430,2020-10-11 19:20:50.659430,4
15d8-266,2020-10-11 19:17:50.930604,2020-10-11 19:20:50.930604,3
15d8-57,2020-10-11 19:17:50.134262,2020-10-11 19:20:50.134262,4
15d8-226,2020-10-11 19:17:50.750407,2020-10-11 19:20:50.750407,5
15d8-386,2020-10-11 19:17:51.317991,2020-10-11 19:20:51.317991,0
15d8-62,2020-10-11 19:17:50.216561,2020-10-11 19:20:50.216561,5
15d8-172,2020-10-11 19:17:50.582645,2020-10-11 19:20:50.582645,6
15d8-406,2020-10-11 19:17:51.388145,2020-10-11 19:20:51.388145,0
15d8-427,2020-10-11 19:17:51.534720,2020-10-11 19:20:51.534720,0
15d8-285,2020-10-11 19:17:51.118616,2020-10-11 19:20:51.118616,3
15d8-37,2020-10-11 19:17:50.091746,2020-10-11 19:20:50.091746,4
15d8-302,2020-10-11 19:17:51.212969,2020-10-11 19:20:51.212969,4
15d8-33,2020-10-11 19:17:50.127521,2020-10-11 19:20:50.127521,6
15d8-368,2020-10-11 19:17:51.369131,2020-10-11 19:20:51.369131,0
