GUID,Inicio,Fim,Contador
4a67-375,2020-10-11 19:18:00.575283,2020-10-11 19:21:00.575283,1
4a67-468,2020-10-11 19:18:04.830814,2020-10-11 19:21:04.830814,0
4a67-178,2020-10-11 19:18:04.415376,2020-10-11 19:21:04.415376,5
4a67-354,2020-10-11 19:17:59.385842,2020-10-11 19:20:59.385842,1
4a67-265,2020-10-11 19:18:58.423499,2020-10-11 19:21:58.423499,5
4a67-415,2020-10-11 19:21:11.473504,2020-10-11 19:24:11.473504,0
4a67-435,2020-10-11 19:20:51.017509,2020-10-11 19:23:51.017509,0
4a67-115,2020-10-11 19:21:07.103744,2020-10-11 19:24:07.103744,6
4a67-188,2020-10-11 19:24:35.827179,2020-10-11 19:27:35.827179,5
4a67-244,2020-10-11 19:27:44.398906,2020-10-11 19:30:44.398906,5
4a67-389,2020-10-11 19:28:53.889171,2020-10-11 19:31:53.889171,0
4a67-247,2020-10-11 19:28:54.253884,2020-10-11 19:31:54.253884,0
4a67-173,2020-10-11 19:28:54.255494,2020-10-11 19:31:54.255494,0
4a67-116,2020-10-11 19:29:17.740143,2020-10-11 19:32:17.740143,4
4a67-255,2020-10-11 19:29:17.740378,2020-10-11 19:32:17.740378,3
4a67-92,2020-10-11 19:29:17.740945,2020-10-11 19:32:17.740945,4
4a67-256,2020-10-11 19:28:54.254950,2020-10-11 19:31:54.254950,0
4a67-230,2020-10-11 19:29:17.739815,2020-10-11 19:32:17.739815,5
4a67-358,2020-10-11 19:33:22.127234,2020-10-11 19:36:22.127234,0
4a67-15,2020-10-11 19:34:36.277513,2020-10-11 19:37:36.277513,0
4a67-21,2020-10-11 19:34:36.278145,2020-10-11 19:37:36.278145,0
4a67-348,2020-10-11 19:36:24.542781,2020-10-11 19:39:24.542781,0
4a67-10,2020-10-11 19:39:30.218916,2020-10-11 19:42:30.218916,5
4a67-307,2020-10-11 19:39:34.393619,2020-10-11 19:42:34.393619,5
4a67-263,2020-10-11 19:39:51.671158,2020-10-11 19:42:51.671158,0
4a67-410,2020-10-11 19:39:51.863384,2020-10-11 19:42:51.863384,0
4a67-245,2020-10-11 19:39:51.645723,2020-10-11 19:42:51.645723,0
4a67-236,2020-10-11 19:39:51.645199,2020-10-11 19:42:51.645199,0
4a67-217,2020-10-11 19:39:51.652065,2020-10-11 19:42:51.652065,0
4a67-340,2020-10-11 19:39:51.841195,2020-10-11 19:42:51.841195,0
4a67-203,2020-10-11 19:39:51.663924,2020-10-11 19:42:51.663924,0
4a67-311,2020-10-11 19:39:51.697877,2020-10-11 19:42:51.697877,0
4a67-287,2020-10-11 19:39:51.792877,2020-10-11 19:42:51.792877,0
4a67-83,2020-10-11 19:39:51.574579,2020-10-11 19:42:51.574579,0
4a67-129,2020-10-11 19:39:51.572374,2020-10-11 19:42:51.572374,0
4a67-345,2020-10-11 19:39:51.791116,2020-10-11 19:42:51.791116,0
4a67-147,2020-10-11 19:39:51.618630,2020-10-11 19:42:51.618630,0
4a67-43,2020-10-11 19:39:51.492580,2020-10-11 19:42:51.492580,0
4a67-228,2020-10-11 19:39:51.684384,2020-10-11 19:42:51.684384,0
4a67-69,2020-10-11 19:39:51.569047,2020-10-11 19:42:51.569047,0
4a67-363,2020-10-11 19:39:51.793555,2020-10-11 19:42:51.793555,0
4a67-54,2020-10-11 19:39:51.494949,2020-10-11 19:42:51.494949,0
4a67-169,2020-10-11 19:39:51.575516,2020-10-11 19:42:51.575516,0
4a67-465,2020-10-11 19:39:51.867280,2020-10-11 19:42:51.867280,0
4a67-371,2020-10-11 19:39:51.781765,2020-10-11 19:42:51.781765,0
4a67-374,2020-10-11 19:39:51.829252,2020-10-11 19:42:51.829252,0
4a67-63,2020-10-11 19:39:51.466870,2020-10-11 19:42:51.466870,0
4a67-132,2020-10-11 19:39:51.574959,2020-10-11 19:42:51.574959,0
4a67-109,2020-10-11 19:39:51.622479,2020-10-11 19:42:51.622479,0
4a67-59,2020-10-11 19:39:51.471889,2020-10-11 19:42:51.471889,0
4a67-492,2020-10-11 19:39:51.965552,2020-10-11 19:42:51.965552,0
4a67-384,2020-10-11 19:39:51.851876,2020-10-11 19:42:51.851876,0
4a67-100,2020-10-11 19:39:51.562608,2020-10-11 19:42:51.562608,0
4a67-412,2020-10-11 19:39:51.767546,2020-10-11 19:42:51.767546,0
4a67-447,2020-10-11 19:39:51.885388,2020-10-11 19:42:51.885388,0
4a67-166,2020-10-11 19:39:51.556806,2020-10-11 19:42:51.556806,0
4a67-242,2020-10-11 19:39:51.653423,2020-10-11 19:42:51.653423,0
4a67-246,2020-10-11 19:39:51.699241,2020-10-11 19:42:51.699241,0
4a67-487,2020-10-11 19:39:51.926472,2020-10-11 19:42:51.926472,0
4a67-105,2020-10-11 19:39:51.570012,2020-10-11 19:42:51.570012,0
4a67-438,2020-10-11 19:39:51.880542,2020-10-11 19:42:51.880542,0
4a67-65,2020-10-11 19:39:51.562205,2020-10-11 19:42:51.562205,0
4a67-297,2020-10-11 19:39:51.790561,2020-10-11 19:42:51.790561,0
4a67-470,2020-10-11 19:39:51.881821,2020-10-11 19:42:51.881821,0
4a67-219,2020-10-11 19:39:51.684329,2020-10-11 19:42:51.684329,0
4a67-442,2020-10-11 19:39:51.881550,2020-10-11 19:42:51.881550,0
4a67-137,2020-10-11 19:39:51.563398,2020-10-11 19:42:51.563398,0
4a67-165,2020-10-11 19:39:51.571830,2020-10-11 19:42:51.571830,0
4a67-301,2020-10-11 19:39:51.769297,2020-10-11 19:42:51.769297,0
4a67-198,2020-10-11 19:39:51.622293,2020-10-11 19:42:51.622293,0
4a67-253,2020-10-11 19:39:51.680944,2020-10-11 19:42:51.680944,0
4a67-366,2020-10-11 19:39:51.780465,2020-10-11 19:42:51.780465,0
4a67-224,2020-10-11 19:39:51.660609,2020-10-11 19:42:51.660609,0
4a67-479,2020-10-11 19:39:51.886268,2020-10-11 19:42:51.886268,0
4a67-250,2020-10-11 19:39:51.706597,2020-10-11 19:42:51.706597,0
4a67-207,2020-10-11 19:39:51.585917,2020-10-11 19:42:51.585917,0
4a67-57,2020-10-11 19:39:51.475714,2020-10-11 19:42:51.475714,0
4a67-42,2020-10-11 19:39:51.475128,2020-10-11 19:42:51.475128,0
4a67-91,2020-10-11 19:39:51.564390,2020-10-11 19:42:51.564390,0
4a67-208,2020-10-11 19:39:51.659344,2020-10-11 19:42:51.659344,0
4a67-103,2020-10-11 19:39:51.585829,2020-10-11 19:42:51.585829,0
4a67-52,2020-10-11 19:39:51.487062,2020-10-11 19:42:51.487062,0
4a67-464,2020-10-11 19:39:51.876821,2020-10-11 19:42:51.876821,0
4a67-257,2020-10-11 19:39:51.675129,2020-10-11 19:42:51.675129,0
4a67-488,2020-10-11 19:39:51.925308,2020-10-11 19:42:51.925308,0
4a67-289,2020-10-11 19:39:51.768518,2020-10-11 19:42:51.768518,0
4a67-154,2020-10-11 19:39:51.558792,2020-10-11 19:42:51.558792,0
4a67-175,2020-10-11 19:39:51.675481,2020-10-11 19:42:51.675481,0
4a67-353,2020-10-11 19:39:51.835581,2020-10-11 19:42:51.835581,0
4a67-86,2020-10-11 19:39:51.566515,2020-10-11 19:42:51.566515,0
4a67-195,2020-10-11 19:39:51.676102,2020-10-11 19:42:51.676102,0
4a67-151,2020-10-11 19:39:51.532147,2020-10-11 19:42:51.532147,0
4a67-355,2020-10-11 19:39:51.845889,2020-10-11 19:42:51.845889,0
4a67-320,2020-10-11 19:39:51.775624,2020-10-11 19:42:51.775624,0
4a67-143,2020-10-11 19:39:51.629595,2020-10-11 19:42:51.629595,0
4a67-33,2020-10-11 19:39:51.494526,2020-10-11 19:42:51.494526,0
4a67-359,2020-10-11 19:39:51.779866,2020-10-11 19:42:51.779866,0
4a67-313,2020-10-11 19:39:51.709214,2020-10-11 19:42:51.709214,0
4a67-433,2020-10-11 19:39:51.878357,2020-10-11 19:42:51.878357,0
4a67-148,2020-10-11 19:39:51.557239,2020-10-11 19:42:51.557239,0
4a67-302,2020-10-11 19:39:51.760876,2020-10-11 19:42:51.760876,0
4a67-460,2020-10-11 19:39:51.943361,2020-10-11 19:42:51.943361,0
4a67-286,2020-10-11 19:39:51.787645,2020-10-11 19:42:51.787645,0
4a67-145,2020-10-11 19:39:51.618684,2020-10-11 19:42:51.618684,0
4a67-498,2020-10-11 19:39:51.958567,2020-10-11 19:42:51.958567,0
4a67-407,2020-10-11 19:39:51.801327,2020-10-11 19:42:51.801327,0
4a67-315,2020-10-11 19:39:51.773810,2020-10-11 19:42:51.773810,0
4a67-36,2020-10-11 19:39:51.463736,2020-10-11 19:42:51.463736,0
4a67-73,2020-10-11 19:39:51.572543,2020-10-11 19:42:51.572543,0
