GUID,Inicio,Fim,Contador
abf0-158,2020-10-11 19:18:03.540808,2020-10-11 19:21:03.540808,3
abf0-373,2020-10-11 19:18:09.414990,2020-10-11 19:21:09.414990,1
abf0-454,2020-10-11 19:18:18.798264,2020-10-11 19:21:18.798264,1
abf0-451,2020-10-11 19:18:17.983335,2020-10-11 19:21:17.983335,0
abf0-453,2020-10-11 19:18:18.799508,2020-10-11 19:21:18.799508,0
abf0-452,2020-10-11 19:18:18.799099,2020-10-11 19:21:18.799099,2
abf0-163,2020-10-11 19:18:04.120541,2020-10-11 19:21:04.120541,5
abf0-450,2020-10-11 19:18:17.981600,2020-10-11 19:21:17.981600,0
abf0-15,2020-10-11 19:19:30.774748,2020-10-11 19:22:30.774748,0
abf0-229,2020-10-11 19:20:12.705681,2020-10-11 19:23:12.705681,5
abf0-219,2020-10-11 19:20:12.706246,2020-10-11 19:23:12.706246,4
abf0-239,2020-10-11 19:20:12.717382,2020-10-11 19:23:12.717382,4
abf0-242,2020-10-11 19:20:12.725573,2020-10-11 19:23:12.725573,3
abf0-213,2020-10-11 19:20:12.707274,2020-10-11 19:23:12.707274,4
abf0-231,2020-10-11 19:20:12.739261,2020-10-11 19:23:12.739261,6
abf0-217,2020-10-11 19:20:12.718668,2020-10-11 19:23:12.718668,5
abf0-256,2020-10-11 19:20:12.706477,2020-10-11 19:23:12.706477,5
abf0-215,2020-10-11 19:20:12.706897,2020-10-11 19:23:12.706897,4
abf0-207,2020-10-11 19:20:12.719685,2020-10-11 19:23:12.719685,6
abf0-205,2020-10-11 19:20:12.739098,2020-10-11 19:23:12.739098,4
abf0-350,2020-10-11 19:21:26.298960,2020-10-11 19:24:26.298960,0
abf0-114,2020-10-11 19:21:43.156150,2020-10-11 19:24:43.156150,4
abf0-431,2020-10-11 19:21:26.299567,2020-10-11 19:24:26.299567,0
abf0-174,2020-10-11 19:21:43.154433,2020-10-11 19:24:43.154433,5
abf0-385,2020-10-11 19:21:12.650964,2020-10-11 19:24:12.650964,0
abf0-116,2020-10-11 19:21:43.155944,2020-10-11 19:24:43.155944,4
abf0-430,2020-10-11 19:21:47.250067,2020-10-11 19:24:47.250067,1
abf0-131,2020-10-11 19:21:43.159052,2020-10-11 19:24:43.159052,5
abf0-141,2020-10-11 19:21:43.156747,2020-10-11 19:24:43.156747,4
abf0-325,2020-10-11 19:22:11.507154,2020-10-11 19:25:11.507154,5
abf0-274,2020-10-11 19:22:59.019751,2020-10-11 19:25:59.019751,4
abf0-234,2020-10-11 19:22:59.019082,2020-10-11 19:25:59.019082,5
abf0-191,2020-10-11 19:22:59.018078,2020-10-11 19:25:59.018078,4
abf0-466,2020-10-11 19:24:21.591828,2020-10-11 19:27:21.591828,0
abf0-347,2020-10-11 19:24:21.591670,2020-10-11 19:27:21.591670,0
abf0-477,2020-10-11 19:24:52.652643,2020-10-11 19:27:52.652643,0
abf0-67,2020-10-11 19:27:59.025622,2020-10-11 19:30:59.025622,4
abf0-54,2020-10-11 19:28:53.888148,2020-10-11 19:31:53.888148,6
abf0-244,2020-10-11 19:28:54.750399,2020-10-11 19:31:54.750399,4
abf0-99,2020-10-11 19:28:58.532545,2020-10-11 19:31:58.532545,3
abf0-5,2020-10-11 19:28:54.257582,2020-10-11 19:31:54.257582,4
abf0-4,2020-10-11 19:29:04.255540,2020-10-11 19:32:04.255540,5
abf0-60,2020-10-11 19:30:31.548258,2020-10-11 19:33:31.548258,4
abf0-20,2020-10-11 19:30:18.207839,2020-10-11 19:33:18.207839,5
abf0-88,2020-10-11 19:30:31.546915,2020-10-11 19:33:31.546915,4
abf0-100,2020-10-11 19:30:31.547616,2020-10-11 19:33:31.547616,4
abf0-112,2020-10-11 19:30:31.548871,2020-10-11 19:33:31.548871,4
abf0-68,2020-10-11 19:30:55.145946,2020-10-11 19:33:55.145946,3
abf0-94,2020-10-11 19:30:55.192740,2020-10-11 19:33:55.192740,5
abf0-66,2020-10-11 19:30:55.034204,2020-10-11 19:33:55.034204,5
abf0-418,2020-10-11 19:32:19.020893,2020-10-11 19:35:19.020893,0
abf0-455,2020-10-11 19:32:19.021422,2020-10-11 19:35:19.021422,0
abf0-46,2020-10-11 19:32:36.140736,2020-10-11 19:35:36.140736,3
abf0-58,2020-10-11 19:32:36.140174,2020-10-11 19:35:36.140174,4
abf0-34,2020-10-11 19:32:36.042387,2020-10-11 19:35:36.042387,5
abf0-327,2020-10-11 19:33:23.355723,2020-10-11 19:36:23.355723,4
abf0-77,2020-10-11 19:35:23.837627,2020-10-11 19:38:23.837627,3
abf0-102,2020-10-11 19:35:23.837752,2020-10-11 19:38:23.837752,4
abf0-26,2020-10-11 19:36:48.271805,2020-10-11 19:39:48.271805,5
abf0-12,2020-10-11 19:36:48.246736,2020-10-11 19:39:48.246736,6
abf0-49,2020-10-11 19:36:48.244657,2020-10-11 19:39:48.244657,5
abf0-7,2020-10-11 19:36:48.246658,2020-10-11 19:39:48.246658,4
abf0-78,2020-10-11 19:36:48.270726,2020-10-11 19:39:48.270726,0
abf0-0,2020-10-11 19:36:48.246840,2020-10-11 19:39:48.246840,5
abf0-39,2020-10-11 19:36:48.247355,2020-10-11 19:39:48.247355,4
abf0-28,2020-10-11 19:36:48.271963,2020-10-11 19:39:48.271963,6
abf0-55,2020-10-11 19:36:48.255613,2020-10-11 19:39:48.255613,4
abf0-8,2020-10-11 19:36:48.241733,2020-10-11 19:39:48.241733,5
abf0-10,2020-10-11 19:36:48.242166,2020-10-11 19:39:48.242166,5
abf0-367,2020-10-11 19:37:35.417192,2020-10-11 19:40:35.417192,0
abf0-127,2020-10-11 19:38:25.414913,2020-10-11 19:41:25.414913,5
abf0-366,2020-10-11 19:39:23.774849,2020-10-11 19:42:23.774849,0
abf0-52,2020-10-11 19:39:50.614911,2020-10-11 19:42:50.614911,0
abf0-195,2020-10-11 19:39:50.772013,2020-10-11 19:42:50.772013,0
abf0-320,2020-10-11 19:39:50.935880,2020-10-11 19:42:50.935880,0
abf0-69,2020-10-11 19:39:50.649861,2020-10-11 19:42:50.649861,0
abf0-241,2020-10-11 19:39:50.855838,2020-10-11 19:42:50.855838,0
abf0-302,2020-10-11 19:39:50.952862,2020-10-11 19:42:50.952862,0
abf0-487,2020-10-11 19:39:51.036201,2020-10-11 19:42:51.036201,0
abf0-497,2020-10-11 19:39:51.100090,2020-10-11 19:42:51.100090,0
abf0-333,2020-10-11 19:39:50.987543,2020-10-11 19:42:50.987543,0
abf0-439,2020-10-11 19:39:50.984679,2020-10-11 19:42:50.984679,0
abf0-381,2020-10-11 19:39:50.986352,2020-10-11 19:42:50.986352,0
abf0-204,2020-10-11 19:39:50.810311,2020-10-11 19:42:50.810311,0
abf0-53,2020-10-11 19:39:50.643411,2020-10-11 19:42:50.643411,0
abf0-304,2020-10-11 19:39:50.855304,2020-10-11 19:42:50.855304,0
abf0-185,2020-10-11 19:39:50.777634,2020-10-11 19:42:50.777634,0
abf0-315,2020-10-11 19:39:50.987234,2020-10-11 19:42:50.987234,0
abf0-301,2020-10-11 19:39:50.944324,2020-10-11 19:42:50.944324,0
abf0-415,2020-10-11 19:39:51.053706,2020-10-11 19:42:51.053706,0
abf0-183,2020-10-11 19:39:50.836192,2020-10-11 19:42:50.836192,0
abf0-43,2020-10-11 19:39:50.655124,2020-10-11 19:42:50.655124,0
abf0-153,2020-10-11 19:39:50.835587,2020-10-11 19:42:50.835587,0
abf0-233,2020-10-11 19:39:50.839526,2020-10-11 19:42:50.839526,0
abf0-154,2020-10-11 19:39:50.761918,2020-10-11 19:42:50.761918,0
abf0-324,2020-10-11 19:39:50.874677,2020-10-11 19:42:50.874677,0
abf0-206,2020-10-11 19:39:50.823858,2020-10-11 19:42:50.823858,0
abf0-372,2020-10-11 19:39:51.055675,2020-10-11 19:42:51.055675,0
abf0-390,2020-10-11 19:39:51.049750,2020-10-11 19:42:51.049750,0
abf0-480,2020-10-11 19:39:51.059175,2020-10-11 19:42:51.059175,0
abf0-19,2020-10-11 19:39:50.544558,2020-10-11 19:42:50.544558,0
abf0-63,2020-10-11 19:39:50.666407,2020-10-11 19:42:50.666407,0
abf0-266,2020-10-11 19:39:50.866839,2020-10-11 19:42:50.866839,0
abf0-177,2020-10-11 19:39:50.771942,2020-10-11 19:42:50.771942,0
abf0-6,2020-10-11 19:39:50.529440,2020-10-11 19:42:50.529440,0
abf0-376,2020-10-11 19:39:51.060517,2020-10-11 19:42:51.060517,0
abf0-434,2020-10-11 19:39:51.101217,2020-10-11 19:42:51.101217,0
abf0-196,2020-10-11 19:39:50.823717,2020-10-11 19:42:50.823717,0
abf0-251,2020-10-11 19:39:50.837649,2020-10-11 19:42:50.837649,0
abf0-264,2020-10-11 19:39:50.858022,2020-10-11 19:42:50.858022,0
abf0-280,2020-10-11 19:39:50.836944,2020-10-11 19:42:50.836944,0
abf0-258,2020-10-11 19:39:50.809680,2020-10-11 19:42:50.809680,0
abf0-193,2020-10-11 19:39:50.778180,2020-10-11 19:42:50.778180,0
abf0-448,2020-10-11 19:39:51.062920,2020-10-11 19:42:51.062920,0
abf0-30,2020-10-11 19:39:50.620867,2020-10-11 19:42:50.620867,0
abf0-189,2020-10-11 19:39:50.780555,2020-10-11 19:42:50.780555,0
abf0-386,2020-10-11 19:39:50.973799,2020-10-11 19:42:50.973799,0
abf0-24,2020-10-11 19:39:50.656629,2020-10-11 19:42:50.656629,0
abf0-91,2020-10-11 19:39:50.772438,2020-10-11 19:42:50.772438,0
abf0-351,2020-10-11 19:39:51.062870,2020-10-11 19:42:51.062870,0
abf0-355,2020-10-11 19:39:50.977452,2020-10-11 19:42:50.977452,0
abf0-425,2020-10-11 19:39:51.059960,2020-10-11 19:42:51.059960,0
abf0-247,2020-10-11 19:39:50.823576,2020-10-11 19:42:50.823576,0
abf0-92,2020-10-11 19:39:50.773787,2020-10-11 19:42:50.773787,0
abf0-220,2020-10-11 19:39:50.823644,2020-10-11 19:42:50.823644,0
abf0-408,2020-10-11 19:39:51.059521,2020-10-11 19:42:51.059521,0
abf0-465,2020-10-11 19:39:51.099418,2020-10-11 19:42:51.099418,0
abf0-330,2020-10-11 19:39:50.904718,2020-10-11 19:42:50.904718,0
abf0-323,2020-10-11 19:39:50.936261,2020-10-11 19:42:50.936261,0
abf0-495,2020-10-11 19:39:51.041277,2020-10-11 19:42:51.041277,0
abf0-76,2020-10-11 19:39:50.618947,2020-10-11 19:42:50.618947,0
abf0-488,2020-10-11 19:39:51.064401,2020-10-11 19:42:51.064401,0
abf0-405,2020-10-11 19:39:51.060393,2020-10-11 19:42:51.060393,0
abf0-113,2020-10-11 19:39:50.722803,2020-10-11 19:42:50.722803,0
abf0-344,2020-10-11 19:39:51.049802,2020-10-11 19:42:51.049802,0
abf0-3,2020-10-11 19:39:50.622102,2020-10-11 19:42:50.622102,0
abf0-365,2020-10-11 19:39:50.935514,2020-10-11 19:42:50.935514,0
abf0-249,2020-10-11 19:39:50.810825,2020-10-11 19:42:50.810825,0
abf0-132,2020-10-11 19:39:50.727969,2020-10-11 19:42:50.727969,0
abf0-36,2020-10-11 19:39:50.555192,2020-10-11 19:42:50.555192,0
abf0-107,2020-10-11 19:39:50.657750,2020-10-11 19:42:50.657750,0
abf0-443,2020-10-11 19:39:51.084087,2020-10-11 19:42:51.084087,0
abf0-463,2020-10-11 19:39:51.104036,2020-10-11 19:42:51.104036,0
abf0-311,2020-10-11 19:39:50.947189,2020-10-11 19:42:50.947189,0
abf0-224,2020-10-11 19:39:50.855770,2020-10-11 19:42:50.855770,0
abf0-128,2020-10-11 19:39:50.704183,2020-10-11 19:42:50.704183,0
abf0-368,2020-10-11 19:39:50.974711,2020-10-11 19:42:50.974711,0
abf0-74,2020-10-11 19:39:50.621446,2020-10-11 19:42:50.621446,0
abf0-334,2020-10-11 19:39:50.909607,2020-10-11 19:42:50.909607,0
abf0-382,2020-10-11 19:39:50.989399,2020-10-11 19:42:50.989399,0
abf0-223,2020-10-11 19:39:50.773333,2020-10-11 19:42:50.773333,0
abf0-87,2020-10-11 19:39:50.757138,2020-10-11 19:42:50.757138,0
abf0-167,2020-10-11 19:39:50.760184,2020-10-11 19:42:50.760184,0
abf0-250,2020-10-11 19:39:50.857834,2020-10-11 19:42:50.857834,0
abf0-61,2020-10-11 19:39:50.704446,2020-10-11 19:42:50.704446,0
abf0-394,2020-10-11 19:39:51.052731,2020-10-11 19:42:51.052731,0
abf0-18,2020-10-11 19:39:50.545531,2020-10-11 19:42:50.545531,0
abf0-238,2020-10-11 19:39:50.810752,2020-10-11 19:42:50.810752,0
abf0-348,2020-10-11 19:39:50.993334,2020-10-11 19:42:50.993334,0
abf0-353,2020-10-11 19:39:50.958171,2020-10-11 19:42:50.958171,0
abf0-208,2020-10-11 19:39:50.837330,2020-10-11 19:42:50.837330,0
abf0-278,2020-10-11 19:39:50.851602,2020-10-11 19:42:50.851602,0
abf0-346,2020-10-11 19:39:51.052251,2020-10-11 19:42:51.052251,0
abf0-284,2020-10-11 19:39:50.866649,2020-10-11 19:42:50.866649,0
abf0-126,2020-10-11 19:39:50.704095,2020-10-11 19:42:50.704095,0
abf0-156,2020-10-11 19:39:50.788450,2020-10-11 19:42:50.788450,0
abf0-313,2020-10-11 19:39:50.958126,2020-10-11 19:42:50.958126,0
abf0-282,2020-10-11 19:39:50.887433,2020-10-11 19:42:50.887433,0
abf0-478,2020-10-11 19:39:51.047931,2020-10-11 19:42:51.047931,0
abf0-444,2020-10-11 19:39:51.102109,2020-10-11 19:42:51.102109,0
abf0-279,2020-10-11 19:39:50.918139,2020-10-11 19:42:50.918139,0
abf0-291,2020-10-11 19:39:50.826284,2020-10-11 19:42:50.826284,0
abf0-336,2020-10-11 19:39:50.989940,2020-10-11 19:42:50.989940,0
abf0-57,2020-10-11 19:39:50.593550,2020-10-11 19:42:50.593550,0
