GUID,Inicio,Fim,Contador
b360-260,2020-10-11 19:17:51.858872,2020-10-11 19:20:51.858872,1
b360-66,2020-10-11 19:17:51.535621,2020-10-11 19:20:51.535621,4
b360-295,2020-10-11 19:17:51.917308,2020-10-11 19:20:51.917308,1
b360-238,2020-10-11 19:17:51.836010,2020-10-11 19:20:51.836010,1
b360-333,2020-10-11 19:17:52.023194,2020-10-11 19:20:52.023194,1
b360-452,2020-10-11 19:17:52.118773,2020-10-11 19:20:52.118773,0
b360-58,2020-10-11 19:17:51.566667,2020-10-11 19:20:51.566667,1
b360-107,2020-10-11 19:17:51.673149,2020-10-11 19:20:51.673149,1
b360-95,2020-10-11 19:17:51.684709,2020-10-11 19:20:51.684709,0
b360-75,2020-10-11 19:17:51.668942,2020-10-11 19:20:51.668942,3
b360-248,2020-10-11 19:17:51.847265,2020-10-11 19:20:51.847265,0
b360-250,2020-10-11 19:17:51.872083,2020-10-11 19:20:51.872083,3
b360-198,2020-10-11 19:17:51.811469,2020-10-11 19:20:51.811469,4
b360-425,2020-10-11 19:17:52.106502,2020-10-11 19:20:52.106502,0
b360-409,2020-10-11 19:17:53.621311,2020-10-11 19:20:53.621311,0
b360-482,2020-10-11 19:17:52.118889,2020-10-11 19:20:52.118889,0
b360-364,2020-10-11 19:17:52.023638,2020-10-11 19:20:52.023638,0
b360-281,2020-10-11 19:17:51.909240,2020-10-11 19:20:51.909240,1
b360-172,2020-10-11 19:17:51.771289,2020-10-11 19:20:51.771289,2
b360-186,2020-10-11 19:17:51.807685,2020-10-11 19:20:51.807685,5
b360-202,2020-10-11 19:17:51.814980,2020-10-11 19:20:51.814980,1
b360-420,2020-10-11 19:17:52.087224,2020-10-11 19:20:52.087224,0
b360-201,2020-10-11 19:17:51.814393,2020-10-11 19:20:51.814393,1
b360-256,2020-10-11 19:17:51.866141,2020-10-11 19:20:51.866141,3
b360-331,2020-10-11 19:17:51.991203,2020-10-11 19:20:51.991203,3
b360-227,2020-10-11 19:17:51.811145,2020-10-11 19:20:51.811145,2
b360-87,2020-10-11 19:17:51.672876,2020-10-11 19:20:51.672876,1
b360-46,2020-10-11 19:17:51.549213,2020-10-11 19:20:51.549213,5
b360-421,2020-10-11 19:17:52.087694,2020-10-11 19:20:52.087694,0
b360-296,2020-10-11 19:17:51.916604,2020-10-11 19:20:51.916604,2
b360-286,2020-10-11 19:17:51.911971,2020-10-11 19:20:51.911971,2
b360-430,2020-10-11 19:17:55.620260,2020-10-11 19:20:55.620260,1
b360-424,2020-10-11 19:17:52.106321,2020-10-11 19:20:52.106321,0
b360-372,2020-10-11 19:17:52.070623,2020-10-11 19:20:52.070623,0
b360-342,2020-10-11 19:17:52.066018,2020-10-11 19:20:52.066018,0
b360-19,2020-10-11 19:17:51.326914,2020-10-11 19:20:51.326914,1
b360-206,2020-10-11 19:17:51.795855,2020-10-11 19:20:51.795855,5
b360-419,2020-10-11 19:17:52.068795,2020-10-11 19:20:52.068795,0
b360-84,2020-10-11 19:17:51.685327,2020-10-11 19:20:51.685327,5
b360-339,2020-10-11 19:17:52.021416,2020-10-11 19:20:52.021416,3
b360-318,2020-10-11 19:17:51.952382,2020-10-11 19:20:51.952382,0
b360-300,2020-10-11 19:17:51.919072,2020-10-11 19:20:51.919072,6
b360-99,2020-10-11 19:17:51.475126,2020-10-11 19:20:51.475126,0
b360-258,2020-10-11 19:17:51.871468,2020-10-11 19:20:51.871468,1
b360-111,2020-10-11 19:17:51.684144,2020-10-11 19:20:51.684144,1
b360-62,2020-10-11 19:17:51.567162,2020-10-11 19:20:51.567162,2
b360-254,2020-10-11 19:17:51.870080,2020-10-11 19:20:51.870080,0
b360-332,2020-10-11 19:17:52.019376,2020-10-11 19:20:52.019376,1
b360-255,2020-10-11 19:17:51.868265,2020-10-11 19:20:51.868265,2
b360-57,2020-10-11 19:17:51.458778,2020-10-11 19:20:51.458778,5
b360-337,2020-10-11 19:17:52.022620,2020-10-11 19:20:52.022620,3
b360-325,2020-10-11 19:17:51.969014,2020-10-11 19:20:51.969014,4
b360-192,2020-10-11 19:17:51.767320,2020-10-11 19:20:51.767320,5
b360-30,2020-10-11 19:17:51.397360,2020-10-11 19:20:51.397360,3
b360-168,2020-10-11 19:17:57.142818,2020-10-11 19:20:57.142818,4
b360-182,2020-10-11 19:17:51.747806,2020-10-11 19:20:51.747806,1
b360-110,2020-10-11 19:17:51.681322,2020-10-11 19:20:51.681322,2
b360-82,2020-10-11 19:17:51.684794,2020-10-11 19:20:51.684794,5
b360-61,2020-10-11 19:17:51.477326,2020-10-11 19:20:51.477326,1
b360-390,2020-10-11 19:17:52.023708,2020-10-11 19:20:52.023708,0
b360-395,2020-10-11 19:17:53.622610,2020-10-11 19:20:53.622610,0
b360-53,2020-10-11 19:17:51.668278,2020-10-11 19:20:51.668278,5
b360-261,2020-10-11 19:17:51.871548,2020-10-11 19:20:51.871548,1
b360-287,2020-10-11 19:17:51.906887,2020-10-11 19:20:51.906887,1
b360-359,2020-10-11 19:17:52.040613,2020-10-11 19:20:52.040613,0
b360-252,2020-10-11 19:17:51.867483,2020-10-11 19:20:51.867483,0
b360-317,2020-10-11 19:17:51.968413,2020-10-11 19:20:51.968413,5
b360-330,2020-10-11 19:17:52.003189,2020-10-11 19:20:52.003189,4
b360-220,2020-10-11 19:17:51.817247,2020-10-11 19:20:51.817247,5
b360-242,2020-10-11 19:17:51.846550,2020-10-11 19:20:51.846550,1
b360-42,2020-10-11 19:17:51.334885,2020-10-11 19:20:51.334885,4
b360-97,2020-10-11 19:17:51.458138,2020-10-11 19:20:51.458138,3
b360-4,2020-10-11 19:17:51.314459,2020-10-11 19:20:51.314459,0
b360-245,2020-10-11 19:17:51.847604,2020-10-11 19:20:51.847604,1
b360-64,2020-10-11 19:17:51.690119,2020-10-11 19:20:51.690119,1
b360-385,2020-10-11 19:17:52.039057,2020-10-11 19:20:52.039057,0
b360-41,2020-10-11 19:17:51.356089,2020-10-11 19:20:51.356089,5
b360-262,2020-10-11 19:17:51.865625,2020-10-11 19:20:51.865625,0
b360-386,2020-10-11 19:17:52.043361,2020-10-11 19:20:52.043361,0
b360-212,2020-10-11 19:17:51.816364,2020-10-11 19:20:51.816364,1
b360-207,2020-10-11 19:17:51.814682,2020-10-11 19:20:51.814682,1
b360-52,2020-10-11 19:17:51.445373,2020-10-11 19:20:51.445373,2
b360-171,2020-10-11 19:17:57.149139,2020-10-11 19:20:57.149139,6
b360-350,2020-10-11 19:17:52.021874,2020-10-11 19:20:52.021874,0
b360-187,2020-10-11 19:17:51.759169,2020-10-11 19:20:51.759169,3
b360-27,2020-10-11 19:17:51.455672,2020-10-11 19:20:51.455672,6
b360-305,2020-10-11 19:17:51.919178,2020-10-11 19:20:51.919178,2
b360-68,2020-10-11 19:17:51.535206,2020-10-11 19:20:51.535206,4
b360-265,2020-10-11 19:17:51.866595,2020-10-11 19:20:51.866595,5
b360-279,2020-10-11 19:17:55.371397,2020-10-11 19:20:55.371397,4
b360-406,2020-10-11 19:17:52.041022,2020-10-11 19:20:52.041022,0
b360-335,2020-10-11 19:17:52.004298,2020-10-11 19:20:52.004298,3
b360-243,2020-10-11 19:17:51.847350,2020-10-11 19:20:51.847350,1
b360-103,2020-10-11 19:17:51.680317,2020-10-11 19:20:51.680317,2
b360-290,2020-10-11 19:17:51.910880,2020-10-11 19:20:51.910880,3
b360-451,2020-10-11 19:17:52.118724,2020-10-11 19:20:52.118724,0
b360-28,2020-10-11 19:17:51.355637,2020-10-11 19:20:51.355637,2
b360-222,2020-10-11 19:17:51.820428,2020-10-11 19:20:51.820428,5
