GUID,Inicio,Fim,Contador
c558-103,2020-10-11 19:18:25.097283,2020-10-11 19:21:25.097283,6
c558-438,2020-10-11 19:18:25.122519,2020-10-11 19:21:25.122519,0
c558-108,2020-10-11 19:18:25.097552,2020-10-11 19:21:25.097552,5
c558-152,2020-10-11 19:18:22.377738,2020-10-11 19:21:22.377738,5
c558-147,2020-10-11 19:18:58.275502,2020-10-11 19:21:58.275502,3
c558-469,2020-10-11 19:19:00.736724,2020-10-11 19:22:00.736724,1
c558-158,2020-10-11 19:18:58.275749,2020-10-11 19:21:58.275749,5
c558-146,2020-10-11 19:18:58.276436,2020-10-11 19:21:58.276436,3
c558-437,2020-10-11 19:19:00.735157,2020-10-11 19:22:00.735157,1
c558-431,2020-10-11 19:18:58.517729,2020-10-11 19:21:58.517729,1
c558-455,2020-10-11 19:19:00.735423,2020-10-11 19:22:00.735423,1
c558-434,2020-10-11 19:19:00.736622,2020-10-11 19:22:00.736622,1
c558-477,2020-10-11 19:19:00.733866,2020-10-11 19:22:00.733866,0
c558-366,2020-10-11 19:19:14.845605,2020-10-11 19:22:14.845605,0
c558-101,2020-10-11 19:18:25.096540,2020-10-11 19:21:25.096540,5
c558-370,2020-10-11 19:18:58.517959,2020-10-11 19:21:58.517959,0
c558-338,2020-10-11 19:19:04.614547,2020-10-11 19:22:04.614547,7
c558-430,2020-10-11 19:19:04.715501,2020-10-11 19:22:04.715501,0
c558-344,2020-10-11 19:19:14.847495,2020-10-11 19:22:14.847495,1
c558-352,2020-10-11 19:19:14.846468,2020-10-11 19:22:14.846468,2
c558-130,2020-10-11 19:18:58.276531,2020-10-11 19:21:58.276531,4
c558-447,2020-10-11 19:19:00.736404,2020-10-11 19:22:00.736404,0
c558-452,2020-10-11 19:19:16.653198,2020-10-11 19:22:16.653198,1
c558-441,2020-10-11 19:19:00.736516,2020-10-11 19:22:00.736516,0
c558-471,2020-10-11 19:19:00.736940,2020-10-11 19:22:00.736940,1
c558-149,2020-10-11 19:18:58.274246,2020-10-11 19:21:58.274246,5
c558-148,2020-10-11 19:18:58.271804,2020-10-11 19:21:58.271804,5
c558-134,2020-10-11 19:18:58.274472,2020-10-11 19:21:58.274472,5
c558-383,2020-10-11 19:19:14.847015,2020-10-11 19:22:14.847015,0
c558-492,2020-10-11 19:19:00.823194,2020-10-11 19:22:00.823194,1
c558-154,2020-10-11 19:18:58.274935,2020-10-11 19:21:58.274935,4
c558-442,2020-10-11 19:19:00.731788,2020-10-11 19:22:00.731788,0
c558-480,2020-10-11 19:19:00.735058,2020-10-11 19:22:00.735058,0
c558-491,2020-10-11 19:19:00.733753,2020-10-11 19:22:00.733753,2
c558-387,2020-10-11 19:19:14.847085,2020-10-11 19:22:14.847085,0
c558-385,2020-10-11 19:19:14.846277,2020-10-11 19:22:14.846277,1
c558-369,2020-10-11 19:19:14.846375,2020-10-11 19:22:14.846375,1
c558-494,2020-10-11 19:20:19.323680,2020-10-11 19:23:19.323680,0
c558-495,2020-10-11 19:20:15.121283,2020-10-11 19:23:15.121283,0
