GUID,Inicio,Fim,Contador
dbf0-6,2020-10-11 19:17:52.085738,2020-10-11 19:20:52.085738,0
dbf0-192,2020-10-11 19:17:52.277870,2020-10-11 19:20:52.277870,0
dbf0-181,2020-10-11 19:17:52.313674,2020-10-11 19:20:52.313674,1
dbf0-256,2020-10-11 19:17:52.363357,2020-10-11 19:20:52.363357,1
dbf0-122,2020-10-11 19:17:52.182701,2020-10-11 19:20:52.182701,0
dbf0-117,2020-10-11 19:17:52.189563,2020-10-11 19:20:52.189563,1
dbf0-208,2020-10-11 19:17:52.240812,2020-10-11 19:20:52.240812,3
dbf0-213,2020-10-11 19:17:52.232874,2020-10-11 19:20:52.232874,4
dbf0-206,2020-10-11 19:17:52.233760,2020-10-11 19:20:52.233760,4
dbf0-220,2020-10-11 19:17:52.326047,2020-10-11 19:20:52.326047,1
dbf0-71,2020-10-11 19:17:52.127706,2020-10-11 19:20:52.127706,1
dbf0-238,2020-10-11 19:17:52.327686,2020-10-11 19:20:52.327686,1
dbf0-1,2020-10-11 19:17:52.073757,2020-10-11 19:20:52.073757,1
dbf0-76,2020-10-11 19:17:52.127083,2020-10-11 19:20:52.127083,6
dbf0-111,2020-10-11 19:17:52.177987,2020-10-11 19:20:52.177987,1
dbf0-214,2020-10-11 19:17:52.313216,2020-10-11 19:20:52.313216,1
dbf0-247,2020-10-11 19:17:52.352595,2020-10-11 19:20:52.352595,1
dbf0-32,2020-10-11 19:17:52.122391,2020-10-11 19:20:52.122391,1
dbf0-161,2020-10-11 19:17:52.194245,2020-10-11 19:20:52.194245,0
dbf0-239,2020-10-11 19:17:52.328125,2020-10-11 19:20:52.328125,1
dbf0-17,2020-10-11 19:17:52.119127,2020-10-11 19:20:52.119127,1
dbf0-184,2020-10-11 19:17:52.326742,2020-10-11 19:20:52.326742,2
dbf0-292,2020-10-11 19:17:52.437124,2020-10-11 19:20:52.437124,2
dbf0-123,2020-10-11 19:17:52.187129,2020-10-11 19:20:52.187129,1
dbf0-265,2020-10-11 19:17:52.381701,2020-10-11 19:20:52.381701,1
dbf0-182,2020-10-11 19:17:52.273689,2020-10-11 19:20:52.273689,0
dbf0-275,2020-10-11 19:17:52.381782,2020-10-11 19:20:52.381782,0
dbf0-10,2020-10-11 19:17:52.120072,2020-10-11 19:20:52.120072,1
dbf0-210,2020-10-11 19:17:52.211298,2020-10-11 19:20:52.211298,0
dbf0-259,2020-10-11 19:17:52.363292,2020-10-11 19:20:52.363292,1
dbf0-218,2020-10-11 19:17:52.270990,2020-10-11 19:20:52.270990,4
