GUID,Inicio,Fim,Contador
e3e3-335,2020-10-11 19:18:01.548670,2020-10-11 19:21:01.548670,4
e3e3-452,2020-10-11 19:18:25.096696,2020-10-11 19:21:25.096696,0
e3e3-458,2020-10-11 19:18:25.070318,2020-10-11 19:21:25.070318,1
e3e3-466,2020-10-11 19:18:25.086861,2020-10-11 19:21:25.086861,0
e3e3-454,2020-10-11 19:18:25.096258,2020-10-11 19:21:25.096258,0
e3e3-383,2020-10-11 19:17:57.373146,2020-10-11 19:20:57.373146,0
e3e3-494,2020-10-11 19:18:58.270858,2020-10-11 19:21:58.270858,0
e3e3-232,2020-10-11 19:19:00.297182,2020-10-11 19:22:00.297182,4
e3e3-239,2020-10-11 19:19:00.292287,2020-10-11 19:22:00.292287,4
e3e3-202,2020-10-11 19:19:00.295649,2020-10-11 19:22:00.295649,3
e3e3-235,2020-10-11 19:19:00.291784,2020-10-11 19:22:00.291784,3
e3e3-221,2020-10-11 19:19:00.296683,2020-10-11 19:22:00.296683,5
e3e3-498,2020-10-11 19:18:58.271360,2020-10-11 19:21:58.271360,0
e3e3-240,2020-10-11 19:19:00.296161,2020-10-11 19:22:00.296161,4
e3e3-231,2020-10-11 19:19:00.289818,2020-10-11 19:22:00.289818,5
e3e3-174,2020-10-11 19:19:00.293676,2020-10-11 19:22:00.293676,4
e3e3-242,2020-10-11 19:19:00.297493,2020-10-11 19:22:00.297493,4
e3e3-209,2020-10-11 19:19:00.292618,2020-10-11 19:22:00.292618,5
e3e3-245,2020-10-11 19:19:00.296621,2020-10-11 19:22:00.296621,4
e3e3-233,2020-10-11 19:19:00.293008,2020-10-11 19:22:00.293008,6
e3e3-246,2020-10-11 19:19:00.295753,2020-10-11 19:22:00.295753,5
e3e3-67,2020-10-11 19:20:00.803984,2020-10-11 19:23:00.803984,5
e3e3-236,2020-10-11 19:19:00.296273,2020-10-11 19:22:00.296273,5
e3e3-241,2020-10-11 19:21:08.981889,2020-10-11 19:24:08.981889,4
e3e3-211,2020-10-11 19:21:08.939424,2020-10-11 19:24:08.939424,1
e3e3-24,2020-10-11 19:21:10.724210,2020-10-11 19:24:10.724210,0
e3e3-420,2020-10-11 19:21:37.250710,2020-10-11 19:24:37.250710,0
e3e3-220,2020-10-11 19:21:09.749377,2020-10-11 19:24:09.749377,5
e3e3-12,2020-10-11 19:21:51.350962,2020-10-11 19:24:51.350962,4
e3e3-377,2020-10-11 19:21:16.782589,2020-10-11 19:24:16.782589,0
e3e3-43,2020-10-11 19:21:51.349225,2020-10-11 19:24:51.349225,5
e3e3-6,2020-10-11 19:22:50.284187,2020-10-11 19:25:50.284187,5
e3e3-9,2020-10-11 19:24:00.038421,2020-10-11 19:27:00.038421,5
e3e3-137,2020-10-11 19:25:58.353582,2020-10-11 19:28:58.353582,4
e3e3-73,2020-10-11 19:28:23.987016,2020-10-11 19:31:23.987016,5
e3e3-451,2020-10-11 19:28:37.569298,2020-10-11 19:31:37.569298,0
e3e3-496,2020-10-11 19:28:53.514030,2020-10-11 19:31:53.514030,0
e3e3-378,2020-10-11 19:28:55.451123,2020-10-11 19:31:55.451123,0
e3e3-160,2020-10-11 19:29:01.145632,2020-10-11 19:32:01.145632,5
e3e3-273,2020-10-11 19:29:07.705579,2020-10-11 19:32:07.705579,4
e3e3-125,2020-10-11 19:29:01.148427,2020-10-11 19:32:01.148427,6
e3e3-409,2020-10-11 19:28:52.684155,2020-10-11 19:31:52.684155,0
e3e3-163,2020-10-11 19:29:01.146209,2020-10-11 19:32:01.146209,3
e3e3-142,2020-10-11 19:29:01.145169,2020-10-11 19:32:01.145169,8
e3e3-196,2020-10-11 19:29:07.511471,2020-10-11 19:32:07.511471,4
e3e3-224,2020-10-11 19:29:07.705856,2020-10-11 19:32:07.705856,5
e3e3-190,2020-10-11 19:29:07.511359,2020-10-11 19:32:07.511359,5
e3e3-164,2020-10-11 19:29:01.147652,2020-10-11 19:32:01.147652,5
e3e3-199,2020-10-11 19:29:01.147292,2020-10-11 19:32:01.147292,3
e3e3-146,2020-10-11 19:29:01.146775,2020-10-11 19:32:01.146775,4
e3e3-293,2020-10-11 19:29:07.706730,2020-10-11 19:32:07.706730,4
e3e3-152,2020-10-11 19:29:07.706249,2020-10-11 19:32:07.706249,4
e3e3-476,2020-10-11 19:29:00.192661,2020-10-11 19:32:00.192661,1
e3e3-151,2020-10-11 19:29:42.354270,2020-10-11 19:32:42.354270,5
e3e3-336,2020-10-11 19:31:00.444117,2020-10-11 19:34:00.444117,5
e3e3-311,2020-10-11 19:31:00.451691,2020-10-11 19:34:00.451691,4
e3e3-328,2020-10-11 19:31:00.437201,2020-10-11 19:34:00.437201,3
e3e3-320,2020-10-11 19:31:00.451914,2020-10-11 19:34:00.451914,5
e3e3-319,2020-10-11 19:31:00.459445,2020-10-11 19:34:00.459445,4
e3e3-323,2020-10-11 19:31:00.469278,2020-10-11 19:34:00.469278,5
e3e3-292,2020-10-11 19:31:00.438022,2020-10-11 19:34:00.438022,4
e3e3-308,2020-10-11 19:31:00.469374,2020-10-11 19:34:00.469374,5
e3e3-113,2020-10-11 19:32:22.531112,2020-10-11 19:35:22.531112,4
e3e3-324,2020-10-11 19:33:08.386951,2020-10-11 19:36:08.386951,5
e3e3-388,2020-10-11 19:33:08.386253,2020-10-11 19:36:08.386253,0
e3e3-369,2020-10-11 19:34:29.048578,2020-10-11 19:37:29.048578,0
e3e3-414,2020-10-11 19:34:29.049266,2020-10-11 19:37:29.049266,0
e3e3-145,2020-10-11 19:36:19.319878,2020-10-11 19:39:19.319878,5
e3e3-490,2020-10-11 19:36:42.537327,2020-10-11 19:39:42.537327,0
e3e3-468,2020-10-11 19:36:42.526479,2020-10-11 19:39:42.526479,0
e3e3-290,2020-10-11 19:36:41.314022,2020-10-11 19:39:41.314022,6
e3e3-362,2020-10-11 19:37:29.987750,2020-10-11 19:40:29.987750,0
e3e3-294,2020-10-11 19:37:29.988271,2020-10-11 19:40:29.988271,4
e3e3-423,2020-10-11 19:37:37.241538,2020-10-11 19:40:37.241538,0
e3e3-416,2020-10-11 19:37:29.988891,2020-10-11 19:40:29.988891,0
e3e3-302,2020-10-11 19:38:35.376972,2020-10-11 19:41:35.376972,4
e3e3-304,2020-10-11 19:38:25.246987,2020-10-11 19:41:25.246987,5
e3e3-486,2020-10-11 19:38:49.670049,2020-10-11 19:41:49.670049,0
e3e3-382,2020-10-11 19:38:49.670216,2020-10-11 19:41:49.670216,0
e3e3-45,2020-10-11 19:39:52.259647,2020-10-11 19:42:52.259647,0
e3e3-205,2020-10-11 19:39:52.425079,2020-10-11 19:42:52.425079,0
e3e3-39,2020-10-11 19:39:52.183978,2020-10-11 19:42:52.183978,0
e3e3-175,2020-10-11 19:39:52.466273,2020-10-11 19:42:52.466273,0
e3e3-270,2020-10-11 19:39:52.583830,2020-10-11 19:42:52.583830,0
e3e3-312,2020-10-11 19:39:52.582215,2020-10-11 19:42:52.582215,0
e3e3-398,2020-10-11 19:39:52.593594,2020-10-11 19:42:52.593594,0
e3e3-117,2020-10-11 19:39:52.379209,2020-10-11 19:42:52.379209,0
e3e3-243,2020-10-11 19:39:52.445482,2020-10-11 19:42:52.445482,0
e3e3-4,2020-10-11 19:39:52.238585,2020-10-11 19:42:52.238585,0
e3e3-203,2020-10-11 19:39:52.436048,2020-10-11 19:42:52.436048,0
e3e3-300,2020-10-11 19:39:52.583612,2020-10-11 19:42:52.583612,0
e3e3-50,2020-10-11 19:39:52.305539,2020-10-11 19:42:52.305539,0
e3e3-195,2020-10-11 19:39:52.554243,2020-10-11 19:42:52.554243,0
e3e3-429,2020-10-11 19:39:52.622544,2020-10-11 19:42:52.622544,1
e3e3-248,2020-10-11 19:39:52.551324,2020-10-11 19:42:52.551324,0
e3e3-351,2020-10-11 19:39:52.588693,2020-10-11 19:42:52.588693,0
e3e3-70,2020-10-11 19:39:52.278458,2020-10-11 19:42:52.278458,0
e3e3-385,2020-10-11 19:39:52.715427,2020-10-11 19:42:52.715427,0
e3e3-64,2020-10-11 19:39:52.240289,2020-10-11 19:42:52.240289,0
e3e3-460,2020-10-11 19:39:52.740971,2020-10-11 19:42:52.740971,0
e3e3-94,2020-10-11 19:39:52.395711,2020-10-11 19:42:52.395711,0
e3e3-141,2020-10-11 19:39:52.432299,2020-10-11 19:42:52.432299,0
e3e3-49,2020-10-11 19:39:52.303379,2020-10-11 19:42:52.303379,0
e3e3-327,2020-10-11 19:39:52.593901,2020-10-11 19:42:52.593901,0
e3e3-403,2020-10-11 19:39:52.721598,2020-10-11 19:42:52.721598,0
e3e3-263,2020-10-11 19:39:52.565789,2020-10-11 19:42:52.565789,0
e3e3-22,2020-10-11 19:39:52.303797,2020-10-11 19:42:52.303797,1
e3e3-182,2020-10-11 19:39:52.431305,2020-10-11 19:42:52.431305,0
e3e3-76,2020-10-11 19:39:52.272022,2020-10-11 19:42:52.272022,0
e3e3-95,2020-10-11 19:39:52.334208,2020-10-11 19:42:52.334208,0
